,dataset,virchow_mean,virchow_std
0,IDC,0.5509999999999999,0.08009297722022823
1,PRAD,0.37105,0.011349999999999999
2,PAAD,0.47363333333333335,0.05815246244905616
3,SKCM,0.6235999999999999,0.024899999999999978
4,COAD,0.3366,0.01419999999999999
5,READ,0.14915,0.06785
6,CCRCC,0.23976666666666666,0.03302754742467095
7,LUNG,0.56915,0.0009500000000000064
8,LYMPH_IDC,0.25627500000000003,0.05115942606206603
9,HCC,0.0696,0.002800000000000004
