encoder,task,design,fold,repeat,n_train,n_test,n_eval_samples,pearson_pooled,pearson_within,test_slide,test_source
uni_v2,CCRCC,random,5,4.0,57566,16654,24,0.6584966778755188,0.2581171637090544,,
uni_v2,CCRCC,blocked,5,4.0,56692,17528,24,0.644806981086731,0.23494494489083687,,
uni_v2,COAD,patient,0,,5079,10572,3,0.2975705862045288,0.30504851043224335,,
uni_v2,COAD,random,0,0.0,5079,10572,4,0.7384706735610962,0.626898281276226,,
uni_v2,COAD,blocked,0,0.0,4798,10853,4,0.7000896334648132,0.5884257405996323,,
uni_v2,COAD,random,0,1.0,5079,10572,4,0.7401472330093384,0.6294350922107697,,
uni_v2,COAD,blocked,0,1.0,4879,10772,4,0.7072945237159729,0.5859439596533775,,
uni_v2,COAD,random,0,2.0,5079,10572,4,0.738393247127533,0.6289913356304169,,
uni_v2,COAD,blocked,0,2.0,4867,10784,4,0.696689784526825,0.5862731859087944,,
uni_v2,COAD,random,0,3.0,5079,10572,4,0.7381048798561096,0.6281091272830963,,
uni_v2,COAD,blocked,0,3.0,4730,10921,4,0.7133121490478516,0.5996316596865654,,
uni_v2,COAD,random,0,4.0,5079,10572,4,0.7402137517929077,0.6297286227345467,,
uni_v2,COAD,blocked,0,4.0,4806,10845,4,0.7119125127792358,0.5893036052584648,,
uni_v2,COAD,patient,1,,10572,5079,1,0.3055339455604553,0.3055339455604553,,
uni_v2,COAD,random,1,0.0,10572,5079,4,0.7420920729637146,0.6342754364013672,,
uni_v2,COAD,blocked,1,0.0,10178,5473,4,0.7250531911849976,0.6164283975958824,,
uni_v2,COAD,random,1,1.0,10572,5079,4,0.7458308339118958,0.6372607797384262,,
uni_v2,COAD,blocked,1,1.0,10252,5399,4,0.721714198589325,0.6034592464566231,,
uni_v2,COAD,random,1,2.0,10572,5079,4,0.7453628778457642,0.6358601823449135,,
uni_v2,COAD,blocked,1,2.0,10316,5335,4,0.7322151064872742,0.6132412552833557,,
uni_v2,COAD,random,1,3.0,10572,5079,4,0.74749356508255,0.6376084312796593,,
uni_v2,COAD,blocked,1,3.0,10225,5426,4,0.7322786450386047,0.6170646473765373,,
uni_v2,COAD,random,1,4.0,10572,5079,4,0.7487502098083496,0.6400712057948112,,
uni_v2,COAD,blocked,1,4.0,10274,5377,4,0.7247756719589233,0.5949444100260735,,
uni_v2,HCC,patient,0,,1941,2255,1,0.0698748379945755,0.0698748379945755,,
uni_v2,HCC,random,0,0.0,1941,2255,2,0.3673475384712219,0.24452370405197144,,
uni_v2,HCC,blocked,0,0.0,1911,2285,2,0.2888573706150055,0.16962836682796478,,
uni_v2,HCC,random,0,1.0,1941,2255,2,0.3628278970718384,0.24078284949064255,,
uni_v2,HCC,blocked,0,1.0,1853,2343,2,0.312374085187912,0.18648678809404373,,
uni_v2,HCC,random,0,2.0,1941,2255,2,0.3624503016471863,0.24038293957710266,,
uni_v2,HCC,blocked,0,2.0,1871,2325,2,0.3052539527416229,0.17691020667552948,,
uni_v2,HCC,random,0,3.0,1941,2255,2,0.3657734990119934,0.24284643679857254,,
uni_v2,HCC,blocked,0,3.0,1927,2269,2,0.32186630368232727,0.20430831611156464,,
uni_v2,HCC,random,0,4.0,1941,2255,2,0.3598549962043762,0.23933026939630508,,
uni_v2,HCC,blocked,0,4.0,1911,2285,2,0.3065505623817444,0.17017028480768204,,
uni_v2,HCC,patient,1,,2255,1941,1,0.0796036645770073,0.0796036645770073,,
uni_v2,HCC,random,1,0.0,2255,1941,2,0.3756156265735626,0.25101637095212936,,
uni_v2,HCC,blocked,1,0.0,2179,2017,2,0.32961195707321167,0.21166395395994186,,
uni_v2,HCC,random,1,1.0,2255,1941,2,0.3726920783519745,0.24949310719966888,,
uni_v2,HCC,blocked,1,1.0,2158,2038,2,0.33129456639289856,0.2098565772175789,,
uni_v2,HCC,random,1,2.0,2255,1941,2,0.37417498230934143,0.24875617027282715,,
uni_v2,HCC,blocked,1,2.0,2222,1974,2,0.3219674229621887,0.1837991178035736,,
uni_v2,HCC,random,1,3.0,2255,1941,2,0.37376177310943604,0.25393497943878174,,
uni_v2,HCC,blocked,1,3.0,2174,2022,2,0.2968028783798218,0.18374565243721008,,
uni_v2,HCC,random,1,4.0,2255,1941,2,0.3738095164299011,0.255050465464592,,
uni_v2,HCC,blocked,1,4.0,2183,2013,2,0.31947800517082214,0.1785983219742775,,
uni_v2,IDC,patient,0,,14775,20761,1,0.47366464138031006,0.47366464138031006,,
uni_v2,IDC,random,0,0.0,14775,20761,4,0.8091117739677429,0.7088727205991745,,
uni_v2,IDC,blocked,0,0.0,14152,21384,4,0.790181577205658,0.6871461272239685,,
uni_v2,IDC,random,0,1.0,14775,20761,4,0.8084473609924316,0.7070022076368332,,
uni_v2,IDC,blocked,0,1.0,14178,21358,4,0.7952365875244141,0.6914044916629791,,
uni_v2,IDC,random,0,2.0,14775,20761,4,0.8093788623809814,0.7077610045671463,,
uni_v2,IDC,blocked,0,2.0,14284,21252,4,0.797044038772583,0.6889514923095703,,
uni_v2,IDC,random,0,3.0,14775,20761,4,0.8080920577049255,0.7086730152368546,,
uni_v2,IDC,blocked,0,3.0,14342,21194,4,0.7913200855255127,0.6886797100305557,,
uni_v2,IDC,random,0,4.0,14775,20761,4,0.8094484210014343,0.7087500244379044,,
uni_v2,IDC,blocked,0,4.0,14559,20977,4,0.7993300557136536,0.6861188858747482,,
uni_v2,IDC,patient,1,,27776,7760,1,0.6368738412857056,0.6368738412857056,,
uni_v2,IDC,random,1,0.0,27776,7760,4,0.8095691800117493,0.7091589123010635,,
uni_v2,IDC,blocked,1,0.0,27328,8208,4,0.8048035502433777,0.7021945714950562,,
uni_v2,IDC,random,1,1.0,27776,7760,4,0.8120031952857971,0.7109891474246979,,
uni_v2,IDC,blocked,1,1.0,27244,8292,4,0.7849734425544739,0.6776321083307266,,
uni_v2,IDC,random,1,2.0,27776,7760,4,0.8134381771087646,0.7130180895328522,,
uni_v2,IDC,blocked,1,2.0,27488,8048,4,0.7987098693847656,0.7018591910600662,,
uni_v2,IDC,random,1,3.0,27776,7760,4,0.811164915561676,0.7118302136659622,,
uni_v2,IDC,blocked,1,3.0,27411,8125,4,0.812023401260376,0.6939126402139664,,
uni_v2,IDC,random,1,4.0,27776,7760,4,0.8124826550483704,0.7134119868278503,,
uni_v2,IDC,blocked,1,4.0,26908,8628,4,0.7755451798439026,0.6646374464035034,,
uni_v2,IDC,patient,2,,31526,4010,1,0.5597752928733826,0.5597752928733826,,
uni_v2,IDC,random,2,0.0,31526,4010,4,0.8122954368591309,0.7103842794895172,,
uni_v2,IDC,blocked,2,0.0,30933,4603,4,0.7974317669868469,0.674919843673706,,
uni_v2,IDC,random,2,1.0,31526,4010,4,0.8136683702468872,0.7095566391944885,,
uni_v2,IDC,blocked,2,1.0,30929,4607,4,0.8205755352973938,0.7052779346704483,,
uni_v2,IDC,random,2,2.0,31526,4010,4,0.8042173981666565,0.705426886677742,,
uni_v2,IDC,blocked,2,2.0,30625,4911,4,0.777449369430542,0.6819674521684647,,
uni_v2,IDC,random,2,3.0,31526,4010,4,0.8123236894607544,0.7118725031614304,,
uni_v2,IDC,blocked,2,3.0,31024,4512,4,0.7840491533279419,0.6666627526283264,,
uni_v2,IDC,random,2,4.0,31526,4010,4,0.8101803064346313,0.7091855108737946,,
uni_v2,IDC,blocked,2,4.0,30626,4910,4,0.8076227307319641,0.7025015354156494,,
uni_v2,IDC,patient,3,,32531,3005,1,0.6887449622154236,0.6887449622154236,,
uni_v2,IDC,random,3,0.0,32531,3005,4,0.8070225715637207,0.70676589012146,,
uni_v2,IDC,blocked,3,0.0,32351,3185,4,0.8200223445892334,0.6805649399757385,,
uni_v2,IDC,random,3,1.0,32531,3005,4,0.8095570206642151,0.7081366926431656,,
uni_v2,IDC,blocked,3,1.0,32038,3498,4,0.7798985838890076,0.6493998318910599,,
uni_v2,IDC,random,3,2.0,32531,3005,4,0.8094011545181274,0.7051578909158707,,
uni_v2,IDC,blocked,3,2.0,32104,3432,4,0.8022916913032532,0.6604611128568649,,
uni_v2,IDC,random,3,3.0,32531,3005,4,0.8115413784980774,0.7049337178468704,,
uni_v2,IDC,blocked,3,3.0,32154,3382,4,0.7811775803565979,0.6750238090753555,,
uni_v2,IDC,random,3,4.0,32531,3005,4,0.8127620220184326,0.7161673754453659,,
uni_v2,IDC,blocked,3,4.0,31701,3835,4,0.7898080945014954,0.6967450529336929,,
