encoder,task,design,fold,repeat,n_train,n_test,n_eval_samples,pearson_pooled,pearson_within,test_slide,test_source
virchow,COAD,random,0,0.0,5079,10572,4,0.7403337955474854,0.6297386363148689,,
virchow,COAD,blocked,0,0.0,4798,10853,4,0.6976983547210693,0.5863540023565292,,
virchow,COAD,random,0,1.0,5079,10572,4,0.7405956983566284,0.6308102458715439,,
virchow,COAD,blocked,0,1.0,4879,10772,4,0.7071892619132996,0.5866877064108849,,
virchow,COAD,random,0,2.0,5079,10572,4,0.7393777370452881,0.6298796385526657,,
virchow,COAD,blocked,0,2.0,4867,10784,4,0.6964678168296814,0.5860073864459991,,
virchow,COAD,random,0,3.0,5079,10572,4,0.7384379506111145,0.6287517845630646,,
virchow,COAD,blocked,0,3.0,4730,10921,4,0.7114633917808533,0.5981831401586533,,
virchow,COAD,random,0,4.0,5079,10572,4,0.7397541999816895,0.6293480694293976,,
virchow,COAD,blocked,0,4.0,4806,10845,4,0.7093198895454407,0.5851888582110405,,
virchow,COAD,patient,1,,10572,5079,1,0.30772411823272705,0.30772411823272705,,
virchow,COAD,random,1,0.0,10572,5079,4,0.7412436008453369,0.6341087147593498,,
virchow,COAD,blocked,1,0.0,10178,5473,4,0.7214147448539734,0.6127270311117172,,
virchow,COAD,random,1,1.0,10572,5079,4,0.7462738156318665,0.6377536952495575,,
virchow,COAD,blocked,1,1.0,10252,5399,4,0.7209259867668152,0.6039672419428825,,
virchow,COAD,random,1,2.0,10572,5079,4,0.7453105449676514,0.6366283670067787,,
virchow,COAD,blocked,1,2.0,10316,5335,4,0.7320299744606018,0.6120782569050789,,
virchow,COAD,random,1,3.0,10572,5079,4,0.7494010925292969,0.6404528096318245,,
virchow,COAD,blocked,1,3.0,10225,5426,4,0.7301285266876221,0.6163109987974167,,
virchow,COAD,random,1,4.0,10572,5079,4,0.7491371035575867,0.6418107450008392,,
virchow,COAD,blocked,1,4.0,10274,5377,4,0.7233409881591797,0.5957605540752411,,
virchow,HCC,patient,0,,1941,2255,1,0.06543132662773132,0.06543132662773132,,
virchow,HCC,random,0,0.0,1941,2255,2,0.3699505925178528,0.2503950968384743,,
virchow,HCC,blocked,0,0.0,1911,2285,2,0.28242728114128113,0.16963566094636917,,
virchow,HCC,random,0,1.0,1941,2255,2,0.36421993374824524,0.2439870908856392,,
virchow,HCC,blocked,0,1.0,1853,2343,2,0.3122223913669586,0.19052573293447495,,
virchow,HCC,random,0,2.0,1941,2255,2,0.36176764965057373,0.23958822339773178,,
virchow,HCC,blocked,0,2.0,1871,2325,2,0.3003385066986084,0.1739569753408432,,
virchow,HCC,random,0,3.0,1941,2255,2,0.36450138688087463,0.24367865920066833,,
virchow,HCC,blocked,0,3.0,1927,2269,2,0.30869269371032715,0.19284767657518387,,
virchow,HCC,random,0,4.0,1941,2255,2,0.3591196537017822,0.23878928273916245,,
virchow,HCC,blocked,0,4.0,1911,2285,2,0.3093738853931427,0.17382898181676865,,
virchow,HCC,patient,1,,2255,1941,1,0.1008496880531311,0.1008496880531311,,
virchow,HCC,random,1,0.0,2255,1941,2,0.3748414218425751,0.2533456161618233,,
virchow,HCC,blocked,1,0.0,2179,2017,2,0.32196512818336487,0.2026761919260025,,
virchow,HCC,random,1,1.0,2255,1941,2,0.37233397364616394,0.25177662819623947,,
virchow,HCC,blocked,1,1.0,2158,2038,2,0.32126376032829285,0.19924528896808624,,
virchow,HCC,random,1,2.0,2255,1941,2,0.3698727786540985,0.24513382464647293,,
virchow,HCC,blocked,1,2.0,2222,1974,2,0.3092218339443207,0.17546524107456207,,
virchow,HCC,random,1,3.0,2255,1941,2,0.3746989071369171,0.2569778636097908,,
virchow,HCC,blocked,1,3.0,2174,2022,2,0.2870626747608185,0.1751127913594246,,
virchow,HCC,random,1,4.0,2255,1941,2,0.3745296895503998,0.25398486107587814,,
virchow,HCC,blocked,1,4.0,2183,2013,2,0.30753475427627563,0.17323847115039825,,
virchow,IDC,patient,0,,14775,20761,1,0.4539499580860138,0.4539499580860138,,
virchow,IDC,random,0,0.0,14775,20761,4,0.812849760055542,0.714812844991684,,
virchow,IDC,blocked,0,0.0,14152,21384,4,0.7921793460845947,0.6874668449163437,,
virchow,IDC,random,0,1.0,14775,20761,4,0.8121558427810669,0.7124093174934387,,
virchow,IDC,blocked,0,1.0,14178,21358,4,0.7975634932518005,0.6937932372093201,,
virchow,IDC,random,0,2.0,14775,20761,4,0.8127801418304443,0.7136755585670471,,
virchow,IDC,blocked,0,2.0,14284,21252,4,0.7975314855575562,0.689229816198349,,
virchow,IDC,random,0,3.0,14775,20761,4,0.8118618130683899,0.7141758054494858,,
virchow,IDC,blocked,0,3.0,14342,21194,4,0.7930365800857544,0.6907159835100174,,
virchow,IDC,random,0,4.0,14775,20761,4,0.812705397605896,0.713297426700592,,
virchow,IDC,blocked,0,4.0,14559,20977,4,0.7996981143951416,0.68644018471241,,
virchow,IDC,patient,1,,27776,7760,1,0.6376659274101257,0.6376659274101257,,
virchow,IDC,random,1,0.0,27776,7760,4,0.8129144906997681,0.713775709271431,,
virchow,IDC,blocked,1,0.0,27328,8208,4,0.8058773279190063,0.702263593673706,,
virchow,IDC,random,1,1.0,27776,7760,4,0.8156013488769531,0.7177581638097763,,
virchow,IDC,blocked,1,1.0,27244,8292,4,0.7887760400772095,0.6802309155464172,,
virchow,IDC,random,1,2.0,27776,7760,4,0.816606879234314,0.7167148739099503,,
virchow,IDC,blocked,1,2.0,27488,8048,4,0.8001946806907654,0.7034139186143875,,
virchow,IDC,random,1,3.0,27776,7760,4,0.8140730857849121,0.716914489865303,,
virchow,IDC,blocked,1,3.0,27411,8125,4,0.8145664930343628,0.6989952921867371,,
virchow,IDC,random,1,4.0,27776,7760,4,0.8166855573654175,0.7206978797912598,,
virchow,IDC,blocked,1,4.0,26908,8628,4,0.778907060623169,0.6700940877199173,,
virchow,IDC,patient,2,,31526,4010,1,0.5437499284744263,0.5437499284744263,,
virchow,IDC,random,2,0.0,31526,4010,4,0.8146052360534668,0.7138041257858276,,
virchow,IDC,blocked,2,0.0,30933,4603,4,0.7969247698783875,0.6754422336816788,,
virchow,IDC,random,2,1.0,31526,4010,4,0.8163422346115112,0.7143878489732742,,
virchow,IDC,blocked,2,1.0,30929,4607,4,0.8223060369491577,0.7110678255558014,,
virchow,IDC,random,2,2.0,31526,4010,4,0.8070456981658936,0.7105714678764343,,
virchow,IDC,blocked,2,2.0,30625,4911,4,0.782826840877533,0.6892293691635132,,
virchow,IDC,random,2,3.0,31526,4010,4,0.8154923319816589,0.7167443335056305,,
virchow,IDC,blocked,2,3.0,31024,4512,4,0.7870928049087524,0.6698315888643265,,
virchow,IDC,random,2,4.0,31526,4010,4,0.8144773244857788,0.7162353843450546,,
virchow,IDC,blocked,2,4.0,30626,4910,4,0.808765172958374,0.7050892561674118,,
virchow,IDC,patient,3,,32531,3005,1,0.7031764984130859,0.7031764984130859,,
virchow,IDC,random,3,0.0,32531,3005,4,0.8092243671417236,0.7094698548316956,,
virchow,IDC,blocked,3,0.0,32351,3185,4,0.8213248252868652,0.6834560185670853,,
virchow,IDC,random,3,1.0,32531,3005,4,0.8117426037788391,0.7127721756696701,,
virchow,IDC,blocked,3,1.0,32038,3498,4,0.7825196981430054,0.6514791697263718,,
virchow,IDC,random,3,2.0,32531,3005,4,0.8130277395248413,0.7097191959619522,,
virchow,IDC,blocked,3,2.0,32104,3432,4,0.8045175075531006,0.6654621064662933,,
virchow,IDC,random,3,3.0,32531,3005,4,0.8144884705543518,0.7099853008985519,,
virchow,IDC,blocked,3,3.0,32154,3382,4,0.7847500443458557,0.6785438060760498,,
virchow,IDC,random,3,4.0,32531,3005,4,0.8173474669456482,0.7221941500902176,,
virchow,IDC,blocked,3,4.0,31701,3835,4,0.789910078048706,0.6994195580482483,,
virchow,IDC,source_unseen,NCBI783,0.0,28521,3005,1,0.6992586255073547,0.6992586255073547,NCBI783,NCBI
virchow,IDC,source_seen,NCBI783,0.0,28521,3005,1,0.7025895714759827,0.7025895714759827,NCBI783,NCBI
virchow,IDC,source_unseen,NCBI783,1.0,28521,3005,1,0.6992586255073547,0.6992586255073547,NCBI783,NCBI
virchow,IDC,source_seen,NCBI783,1.0,28521,3005,1,0.7018994688987732,0.7018994688987732,NCBI783,NCBI
virchow,IDC,source_unseen,NCBI783,2.0,28521,3005,1,0.6992586255073547,0.6992586255073547,NCBI783,NCBI
virchow,IDC,source_seen,NCBI783,2.0,28521,3005,1,0.7017160654067993,0.7017160654067993,NCBI783,NCBI
virchow,IDC,source_unseen,NCBI783,3.0,28521,3005,1,0.6992586255073547,0.6992586255073547,NCBI783,NCBI
virchow,IDC,source_seen,NCBI783,3.0,28521,3005,1,0.7013116478919983,0.7013116478919983,NCBI783,NCBI
virchow,IDC,source_unseen,NCBI783,4.0,28521,3005,1,0.6992586255073547,0.6992586255073547,NCBI783,NCBI
virchow,IDC,source_seen,NCBI783,4.0,28521,3005,1,0.7027289867401123,0.7027289867401123,NCBI783,NCBI
virchow,IDC,source_unseen,NCBI785,0.0,28521,4010,1,0.5329387784004211,0.5329387784004211,NCBI785,NCBI
virchow,IDC,source_seen,NCBI785,0.0,28521,4010,1,0.5442686676979065,0.5442686676979065,NCBI785,NCBI
virchow,IDC,source_unseen,NCBI785,1.0,28521,4010,1,0.5329387784004211,0.5329387784004211,NCBI785,NCBI
virchow,IDC,source_seen,NCBI785,1.0,28521,4010,1,0.5438477993011475,0.5438477993011475,NCBI785,NCBI
virchow,IDC,source_unseen,NCBI785,2.0,28521,4010,1,0.5329387784004211,0.5329387784004211,NCBI785,NCBI
virchow,IDC,source_seen,NCBI785,2.0,28521,4010,1,0.5428780317306519,0.5428780317306519,NCBI785,NCBI
virchow,IDC,source_unseen,NCBI785,3.0,28521,4010,1,0.5329387784004211,0.5329387784004211,NCBI785,NCBI
virchow,IDC,source_seen,NCBI785,3.0,28521,4010,1,0.5451949834823608,0.5451949834823608,NCBI785,NCBI
virchow,IDC,source_unseen,NCBI785,4.0,28521,4010,1,0.5329387784004211,0.5329387784004211,NCBI785,NCBI
virchow,IDC,source_seen,NCBI785,4.0,28521,4010,1,0.543300211429596,0.543300211429596,NCBI785,NCBI
virchow,IDC,source_unseen,TENX95,0.0,7015,7760,1,0.5625578761100769,0.5625578761100769,TENX95,TENX
virchow,IDC,source_seen,TENX95,0.0,7015,7760,1,0.6265743374824524,0.6265743374824524,TENX95,TENX
virchow,IDC,source_unseen,TENX95,1.0,7015,7760,1,0.5625578761100769,0.5625578761100769,TENX95,TENX
virchow,IDC,source_seen,TENX95,1.0,7015,7760,1,0.6289241313934326,0.6289241313934326,TENX95,TENX
virchow,IDC,source_unseen,TENX95,2.0,7015,7760,1,0.5625578761100769,0.5625578761100769,TENX95,TENX
virchow,IDC,source_seen,TENX95,2.0,7015,7760,1,0.6247066259384155,0.6247066259384155,TENX95,TENX
virchow,IDC,source_unseen,TENX95,3.0,7015,7760,1,0.5625578761100769,0.5625578761100769,TENX95,TENX
virchow,IDC,source_seen,TENX95,3.0,7015,7760,1,0.6281733512878418,0.6281733512878418,TENX95,TENX
virchow,IDC,source_unseen,TENX95,4.0,7015,7760,1,0.5625578761100769,0.5625578761100769,TENX95,TENX
virchow,IDC,source_seen,TENX95,4.0,7015,7760,1,0.6294503808021545,0.6294503808021545,TENX95,TENX
virchow,IDC,source_unseen,TENX99,0.0,7015,20761,1,0.35715705156326294,0.35715705156326294,TENX99,TENX
virchow,IDC,source_seen,TENX99,0.0,7015,20761,1,0.45526888966560364,0.45526888966560364,TENX99,TENX
virchow,IDC,source_unseen,TENX99,1.0,7015,20761,1,0.35715705156326294,0.35715705156326294,TENX99,TENX
virchow,IDC,source_seen,TENX99,1.0,7015,20761,1,0.44138631224632263,0.44138631224632263,TENX99,TENX
virchow,IDC,source_unseen,TENX99,2.0,7015,20761,1,0.35715705156326294,0.35715705156326294,TENX99,TENX
virchow,IDC,source_seen,TENX99,2.0,7015,20761,1,0.44680243730545044,0.44680243730545044,TENX99,TENX
virchow,IDC,source_unseen,TENX99,3.0,7015,20761,1,0.35715705156326294,0.35715705156326294,TENX99,TENX
virchow,IDC,source_seen,TENX99,3.0,7015,20761,1,0.4512825310230255,0.4512825310230255,TENX99,TENX
virchow,IDC,source_unseen,TENX99,4.0,7015,20761,1,0.35715705156326294,0.35715705156326294,TENX99,TENX
virchow,IDC,source_seen,TENX99,4.0,7015,20761,1,0.44996386766433716,0.44996386766433716,TENX99,TENX
virchow,LUNG,patient,0,,1944,3262,1,0.5401031970977783,0.5401031970977783,,
virchow,LUNG,random,0,0.0,1944,3262,2,0.8078906536102295,0.7446461617946625,,
virchow,LUNG,blocked,0,0.0,1821,3385,2,0.7866448163986206,0.7190894484519958,,
virchow,LUNG,random,0,1.0,1944,3262,2,0.8077645897865295,0.7439380586147308,,
virchow,LUNG,blocked,0,1.0,1825,3381,2,0.7864173650741577,0.7208350300788879,,
virchow,LUNG,random,0,2.0,1944,3262,2,0.8068046569824219,0.743105560541153,,
virchow,LUNG,blocked,0,2.0,1843,3363,2,0.7867451310157776,0.7180014848709106,,
virchow,LUNG,random,0,3.0,1944,3262,2,0.8060030341148376,0.7409843504428864,,
virchow,LUNG,blocked,0,3.0,1830,3376,2,0.7906532287597656,0.7248428463935852,,
virchow,LUNG,random,0,4.0,1944,3262,2,0.8068300485610962,0.7431302666664124,,
virchow,LUNG,blocked,0,4.0,1934,3272,2,0.7829326391220093,0.708105593919754,,
virchow,LUNG,patient,1,,3262,1944,1,0.5926454663276672,0.5926454663276672,,
virchow,LUNG,random,1,0.0,3262,1944,2,0.8134397268295288,0.7457215189933777,,
virchow,LUNG,blocked,1,0.0,3085,2121,2,0.8085466623306274,0.7424994707107544,,
virchow,LUNG,random,1,1.0,3262,1944,2,0.8185692429542542,0.7546498775482178,,
virchow,LUNG,blocked,1,1.0,3222,1984,2,0.8035398125648499,0.7419606745243073,,
virchow,LUNG,random,1,2.0,3262,1944,2,0.8131632804870605,0.7490318417549133,,
virchow,LUNG,blocked,1,2.0,3181,2025,2,0.7733631134033203,0.7131845951080322,,
virchow,LUNG,random,1,3.0,3262,1944,2,0.8141153454780579,0.751276433467865,,
virchow,LUNG,blocked,1,3.0,3160,2046,2,0.7936742901802063,0.7257306277751923,,
virchow,LUNG,random,1,4.0,3262,1944,2,0.8121446967124939,0.7484989762306213,,
virchow,LUNG,blocked,1,4.0,3168,2038,2,0.7952914237976074,0.7325990200042725,,
virchow,LYMPH_IDC,patient,0,,14972,4992,1,0.3171312212944031,0.3171312212944031,,
virchow,LYMPH_IDC,random,0,0.0,14972,4992,4,0.6780204772949219,0.35903990268707275,,
virchow,LYMPH_IDC,blocked,0,0.0,14815,5149,4,0.663684070110321,0.34535111486911774,,
virchow,LYMPH_IDC,random,0,1.0,14972,4992,4,0.6801438927650452,0.3616456761956215,,
virchow,LYMPH_IDC,blocked,0,1.0,14810,5154,4,0.6783800721168518,0.3581843450665474,,
virchow,LYMPH_IDC,random,0,2.0,14972,4992,4,0.6818574666976929,0.36192722618579865,,
virchow,LYMPH_IDC,blocked,0,2.0,14569,5395,4,0.6645575165748596,0.32284780219197273,,
virchow,LYMPH_IDC,random,0,3.0,14972,4992,4,0.6832377910614014,0.36635875701904297,,
virchow,LYMPH_IDC,blocked,0,3.0,14702,5262,4,0.6572740077972412,0.3164905458688736,,
virchow,LYMPH_IDC,random,0,4.0,14972,4992,4,0.6764997839927673,0.35619499534368515,,
virchow,LYMPH_IDC,blocked,0,4.0,14695,5269,4,0.6648505926132202,0.3137427791953087,,
virchow,LYMPH_IDC,patient,1,,14972,4992,1,0.2198478877544403,0.2198478877544403,,
virchow,LYMPH_IDC,random,1,0.0,14972,4992,4,0.6785547137260437,0.3604586496949196,,
virchow,LYMPH_IDC,blocked,1,0.0,14815,5149,4,0.7028754353523254,0.357745960354805,,
virchow,LYMPH_IDC,random,1,1.0,14972,4992,4,0.6811016201972961,0.35785575956106186,,
virchow,LYMPH_IDC,blocked,1,1.0,14563,5401,4,0.6605480313301086,0.31072022020816803,,
virchow,LYMPH_IDC,random,1,2.0,14972,4992,4,0.6787622570991516,0.3586149290204048,,
virchow,LYMPH_IDC,blocked,1,2.0,14680,5284,4,0.6225215196609497,0.30201852321624756,,
virchow,LYMPH_IDC,random,1,3.0,14972,4992,4,0.6832777261734009,0.3597947359085083,,
virchow,LYMPH_IDC,blocked,1,3.0,14599,5365,4,0.6569409966468811,0.3313601650297642,,
virchow,LYMPH_IDC,random,1,4.0,14972,4992,4,0.684316098690033,0.35616158694028854,,
virchow,LYMPH_IDC,blocked,1,4.0,14687,5277,4,0.6601254343986511,0.33512382954359055,,
virchow,LYMPH_IDC,patient,2,,14976,4988,1,0.2745392322540283,0.2745392322540283,,
virchow,LYMPH_IDC,random,2,0.0,14976,4988,4,0.6760703921318054,0.35652103647589684,,
virchow,LYMPH_IDC,blocked,2,0.0,14585,5379,4,0.6551645398139954,0.312502171844244,,
virchow,LYMPH_IDC,random,2,1.0,14976,4988,4,0.6789314150810242,0.35910701751708984,,
virchow,LYMPH_IDC,blocked,2,1.0,14706,5258,4,0.6566174030303955,0.2999216243624687,,
virchow,LYMPH_IDC,random,2,2.0,14976,4988,4,0.6817958950996399,0.35859181731939316,,
virchow,LYMPH_IDC,blocked,2,2.0,14570,5394,4,0.6752589344978333,0.3544486165046692,,
virchow,LYMPH_IDC,random,2,3.0,14976,4988,4,0.6818163394927979,0.36168359220027924,,
virchow,LYMPH_IDC,blocked,2,3.0,14709,5255,4,0.6462886333465576,0.3371839374303818,,
virchow,LYMPH_IDC,random,2,4.0,14976,4988,4,0.6802365183830261,0.36194055527448654,,
virchow,LYMPH_IDC,blocked,2,4.0,14829,5135,4,0.7003871202468872,0.36686529964208603,,
virchow,LYMPH_IDC,patient,3,,14972,4992,1,0.23240609467029572,0.23240609467029572,,
virchow,LYMPH_IDC,random,3,0.0,14972,4992,4,0.6840206384658813,0.3582877814769745,,
virchow,LYMPH_IDC,blocked,3,0.0,14428,5536,4,0.6472547650337219,0.32460077852010727,,
virchow,LYMPH_IDC,random,3,1.0,14972,4992,4,0.6846843957901001,0.36726000905036926,,
virchow,LYMPH_IDC,blocked,3,1.0,14817,5147,4,0.6091063022613525,0.3222871944308281,,
virchow,LYMPH_IDC,random,3,2.0,14972,4992,4,0.6827248334884644,0.3601921796798706,,
virchow,LYMPH_IDC,blocked,3,2.0,14561,5403,4,0.6815182566642761,0.3327449597418308,,
virchow,LYMPH_IDC,random,3,3.0,14972,4992,4,0.6801466941833496,0.36130937188863754,,
virchow,LYMPH_IDC,blocked,3,3.0,14694,5270,4,0.6610737442970276,0.30956820026040077,,
virchow,LYMPH_IDC,random,3,4.0,14972,4992,4,0.6812313795089722,0.3658324033021927,,
virchow,LYMPH_IDC,blocked,3,4.0,14812,5152,4,0.6999099254608154,0.3270377069711685,,
virchow,PAAD,patient,0,,5561,2010,1,0.44950684905052185,0.44950684905052185,,
virchow,PAAD,random,0,0.0,5561,2010,3,0.7635782361030579,0.6568873524665833,,
virchow,PAAD,blocked,0,0.0,5479,2092,3,0.7412065863609314,0.6302410165468851,,
virchow,PAAD,random,0,1.0,5561,2010,3,0.7746171355247498,0.6588607231775919,,
virchow,PAAD,blocked,0,1.0,5331,2240,3,0.7710468173027039,0.6415838400522867,,
virchow,PAAD,random,0,2.0,5561,2010,3,0.7675473690032959,0.66370556751887,,
virchow,PAAD,blocked,0,2.0,5489,2082,3,0.7569019198417664,0.6329053044319153,,
virchow,PAAD,random,0,3.0,5561,2010,3,0.772021472454071,0.6661210854848226,,
virchow,PAAD,blocked,0,3.0,5502,2069,3,0.7479602098464966,0.6538896759351095,,
virchow,PAAD,random,0,4.0,5561,2010,3,0.7646324634552002,0.652207632859548,,
virchow,PAAD,blocked,0,4.0,5502,2069,3,0.7709781527519226,0.6452722152074178,,
virchow,PAAD,patient,1,,3961,3610,1,0.6064885854721069,0.6064885854721069,,
virchow,PAAD,random,1,0.0,3961,3610,3,0.766190767288208,0.6599058906237284,,
virchow,PAAD,blocked,1,0.0,3929,3642,3,0.7082298994064331,0.6153409878412882,,
virchow,PAAD,random,1,1.0,3961,3610,3,0.7651145458221436,0.6538311640421549,,
virchow,PAAD,blocked,1,1.0,3820,3751,3,0.7499173879623413,0.6390542387962341,,
virchow,PAAD,random,1,2.0,3961,3610,3,0.7637566924095154,0.6523894468943278,,
virchow,PAAD,blocked,1,2.0,3778,3793,3,0.7497137188911438,0.6283853451410929,,
virchow,PAAD,random,1,3.0,3961,3610,3,0.7687497138977051,0.6588172912597656,,
virchow,PAAD,blocked,1,3.0,3860,3711,3,0.7407320141792297,0.6391488313674927,,
virchow,PAAD,random,1,4.0,3961,3610,3,0.7658467888832092,0.6589260697364807,,
virchow,PAAD,blocked,1,4.0,3857,3714,3,0.75272536277771,0.6239288846651713,,
virchow,PAAD,patient,2,,5620,1951,1,0.49152547121047974,0.49152547121047974,,
virchow,PAAD,random,2,0.0,5620,1951,3,0.7729410529136658,0.6651163895924886,,
virchow,PAAD,blocked,2,0.0,5468,2103,3,0.7769907116889954,0.6541321873664856,,
virchow,PAAD,random,2,1.0,5620,1951,3,0.7719772458076477,0.6575066447257996,,
virchow,PAAD,blocked,2,1.0,5412,2159,3,0.7248063683509827,0.6412519415219625,,
virchow,PAAD,random,2,2.0,5620,1951,3,0.7698322534561157,0.6591307123502096,,
