,dataset,uni_v1_mean,uni_v1_std
0,IDC,0.5735250000000001,0.07920020123080496
1,PRAD,0.2943,0.08510000000000001
2,PAAD,0.48069999999999996,0.07051184297690706
3,SKCM,0.6346,0.03589999999999999
4,COAD,0.26165,0.03084999999999999
5,READ,0.1836,0.0494
6,CCRCC,0.23996666666666666,0.03954114593966925
7,LUNG,0.5464,0.022499999999999964
8,LYMPH_IDC,0.25587499999999996,0.04410875054906906
9,HCC,0.07844999999999999,0.0015500000000000028
