,dataset,hoptimus0_mean,hoptimus0_std
0,IDC,0.5553750000000001,0.078252615770976
1,PRAD,0.38395,0.008349999999999996
2,PAAD,0.445,0.05556875620946241
3,SKCM,0.6491,0.030700000000000005
4,COAD,0.29169999999999996,0.004799999999999999
5,READ,0.17135,0.07485
6,CCRCC,0.2419,0.03594787893603738
7,LUNG,0.56375,0.007450000000000012
8,LYMPH_IDC,0.25707499999999994,0.05306478940879725
9,HCC,0.0676,0.014900000000000004
