,dataset,resnet50_mean,resnet50_std
0,IDC,0.47385000000000005,0.0452907551272884
1,PRAD,0.30435,0.031450000000000006
2,PAAD,0.3879666666666666,0.0762561181516313
3,SKCM,0.48214999999999997,0.11455000000000001
4,COAD,0.25,0.03749999999999999
5,READ,0.07830000000000001,0.055900000000000005
6,CCRCC,0.22521666666666665,0.056488506697282136
7,LUNG,0.49485,0.009549999999999975
8,LYMPH_IDC,0.23047499999999999,0.046142571178901595
9,HCC,0.060500000000000005,0.0366
