task,encoder,fold,scale,alpha,is_formula_value,formula_alpha,d,gram_cond,gram_diag_mean,pearson
READ,hoptimus0,0,raw,0.0,False,0.0013020833333333,1536,3177604978835456.0,3818.999267578125,0.1463243514299392
READ,hoptimus0,0,raw,0.0001,False,0.0013020833333333,1536,3177604978835456.0,3818.999267578125,0.1482546627521515
READ,hoptimus0,0,raw,0.001,False,0.0013020833333333,1536,3177604978835456.0,3818.999267578125,0.1482572704553604
READ,hoptimus0,0,raw,0.01,False,0.0013020833333333,1536,3177604978835456.0,3818.999267578125,0.1482736617326736
READ,hoptimus0,0,raw,0.1,False,0.0013020833333333,1536,3177604978835456.0,3818.999267578125,0.1484716385602951
READ,hoptimus0,0,raw,1.0,False,0.0013020833333333,1536,3177604978835456.0,3818.999267578125,0.1512549221515655
READ,hoptimus0,0,raw,10.0,False,0.0013020833333333,1536,3177604978835456.0,3818.999267578125,0.1679948270320892
READ,hoptimus0,0,raw,100.0,False,0.0013020833333333,1536,3177604978835456.0,3818.999267578125,0.2165461480617523
READ,hoptimus0,0,raw,1000.0,False,0.0013020833333333,1536,3177604978835456.0,3818.999267578125,0.2693310379981994
READ,hoptimus0,0,raw,10000.0,False,0.0013020833333333,1536,3177604978835456.0,3818.999267578125,0.2857270836830139
READ,hoptimus0,0,raw,100000.0,False,0.0013020833333333,1536,3177604978835456.0,3818.999267578125,0.2640208899974823
READ,hoptimus0,0,raw,1000000.0,False,0.0013020833333333,1536,3177604978835456.0,3818.999267578125,0.2262762635946273
READ,hoptimus0,1,pca256,0.0,False,0.0078125,256,669.5952758789062,25307.01953125,0.1737071871757507
READ,hoptimus0,1,pca256,0.0001,False,0.0078125,256,669.5952758789062,25307.01953125,0.1740276217460632
READ,hoptimus0,1,pca256,0.001,False,0.0078125,256,669.5952758789062,25307.01953125,0.1740276366472244
READ,hoptimus0,1,pca256,0.01,False,0.0078125,256,669.5952758789062,25307.01953125,0.1740278005599975
READ,hoptimus0,1,pca256,0.1,False,0.0078125,256,669.5952758789062,25307.01953125,0.1740296185016632
READ,hoptimus0,1,pca256,1.0,False,0.0078125,256,669.5952758789062,25307.01953125,0.1740477532148361
READ,hoptimus0,1,pca256,10.0,False,0.0078125,256,669.5952758789062,25307.01953125,0.1742166131734848
READ,hoptimus0,1,pca256,100.0,False,0.0078125,256,669.5952758789062,25307.01953125,0.1759759485721588
