setting,variant,n_L,label_unit,arm,estimand,population,gene,estimator,variance,n_draws,n_finite,frac_nonfinite,coverage,width_mean,width_median,nominal,theta_full,cluster_variance_form,df_cluster,status
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,CD14,classical,boot,200,200.0,0.0,0.865,0.6463653010180138,0.6272049519286953,0.9,0.09894604403348922,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,CD14,pp,iid,200,200.0,0.0,0.05,0.019774584519767817,0.01890897169591671,0.9,0.09894604403348922,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,CD14,pp,cluster,200,200.0,0.0,0.98,0.5900012124328271,0.5938935979379716,0.9,0.09894604403348922,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,CD14,pp,boot,200,200.0,0.0,0.92,0.45538873444176003,0.4694184426717501,0.9,0.09894604403348922,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,CHST15,classical,iid,200,200.0,0.0,0.015,0.01985121184657767,0.019153273180950947,0.9,0.1001267438070971,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,CHST15,classical,cluster,200,200.0,0.0,0.855,0.6582958685674063,0.650619951036582,0.9,0.1001267438070971,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,CHST15,classical,boot,200,200.0,0.0,0.81,0.49837336854488723,0.48953864482051473,0.9,0.1001267438070971,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,CHST15,pp,iid,200,200.0,0.0,0.07,0.01644354244408555,0.015468761544305508,0.9,0.1001267438070971,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,CHST15,pp,cluster,200,200.0,0.0,0.955,0.42243055860558115,0.36654590282201616,0.9,0.1001267438070971,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,CHST15,pp,boot,200,200.0,0.0,0.885,0.33123986765353586,0.2718164889251924,0.9,0.1001267438070971,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,CIB1,classical,iid,200,200.0,0.0,0.03,0.026731308129343587,0.02513349980586324,0.9,0.2387576135111758,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,CIB1,classical,cluster,200,200.0,0.0,0.89,0.951581857408339,0.9461326942077191,0.9,0.2387576135111758,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,CIB1,classical,boot,200,200.0,0.0,0.85,0.7267212860103585,0.7319598822967721,0.9,0.2387576135111758,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,CIB1,pp,iid,200,200.0,0.0,0.075,0.020284848834422012,0.018962797941033546,0.9,0.2387576135111758,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,CIB1,pp,cluster,200,200.0,0.0,0.935,0.5889149850473453,0.5536611883241769,0.9,0.2387576135111758,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,CIB1,pp,boot,200,200.0,0.0,0.895,0.4600899096161231,0.4192307930279418,0.9,0.2387576135111758,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,CKB,classical,iid,200,200.0,0.0,0.06,0.022009602590508607,0.021193047722026404,0.9,0.22001530475229403,separate,5.0,ok
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,CKB,classical,cluster,200,200.0,0.0,0.88,0.7572801414883701,0.7772148249746003,0.9,0.22001530475229403,separate,5.0,ok
