,dataset,uni_v1_mean,uni_v1_std
0,IDC,0.563025,0.07722717704927454
1,PRAD,0.257,0.08189999999999999
2,PAAD,0.377,0.055803643847572054
3,SKCM,0.3432,0.055499999999999994
4,COAD,0.1842,0.050699999999999995
5,READ,0.12385,0.04315000000000001
6,CCRCC,0.2396,0.055460796965063536
7,LUNG,0.37105,0.10994999999999999
8,LYMPH_IDC,0.22367499999999998,0.028798035957335714
9,HCC,0.016399999999999998,0.0014999999999999996
