,dataset,conch_v1_mean,conch_v1_std
0,IDC,0.5363249999999999,0.08421957536701309
1,PRAD,0.3548,0.00990000000000002
2,PAAD,0.44673333333333337,0.07200473749846065
3,SKCM,0.5789,0.052800000000000014
4,COAD,0.24880000000000002,0.012100000000000014
5,READ,0.1602,0.0525
6,CCRCC,0.21795,0.03523921820926224
7,LUNG,0.5321,0.011900000000000022
8,LYMPH_IDC,0.250675,0.04193902568014665
9,HCC,0.051449999999999996,0.02005
