,dataset,uni_v1_mean,uni_v1_std
0,IDC,0.5375,0.0580532083523383
1,PRAD,0.35109999999999997,0.020900000000000002
2,PAAD,0.4478,0.05731009218860726
3,SKCM,0.624,0.026100000000000012
4,COAD,0.2922,0.01780000000000001
5,READ,0.16275,0.06575
6,CCRCC,0.23409999999999997,0.03831344411561038
7,LUNG,0.53375,0.009250000000000036
8,LYMPH_IDC,0.24612499999999998,0.051179262157635685
9,HCC,0.05835,0.00895
