encoder,task,gene,random_minus_patient,blocked_minus_patient,novel_slide,same_patient_other_slide,replicate_leak,var_donor,var_slide,var_spot,frac_donor,frac_slide,n_donors,df_donor,donor_label_status,notes
hoptimus0,CCRCC,SCARB1,0.04935342,0.018082112,,,,0.3189075984287061,,0.2969199728024487,0.5178520958247289,,24,23,verified,
hoptimus0,CCRCC,SEMA4B,0.052896544,0.024180546,,,,0.1537816898448822,,0.2496885836910926,0.381147509324923,,24,23,verified,
hoptimus0,CCRCC,SLC15A4,0.04517512,0.013485923,,,,0.1104151342119679,,0.2602403565756351,0.2978915379813952,,24,23,verified,
hoptimus0,CCRCC,SLC39A14,0.059417307,0.01846975,,,,0.3358949417378406,,0.3372760084337892,0.4989742080406199,,24,23,verified,
hoptimus0,CCRCC,STK39,0.044329956,0.018521085,,,,0.2069869667812074,,0.2439788522914948,0.4589859320309997,,24,23,verified,
hoptimus0,CCRCC,TFRC,0.06436008,0.03573951,,,,0.1727081889384556,,0.2526295542580815,0.4060495258203592,,24,23,verified,
hoptimus0,CCRCC,TM2D3,0.030016571,0.01130183,,,,0.0807087214528674,,0.173128959671497,0.317954060623983,,24,23,verified,
hoptimus0,CCRCC,TMEM91,0.044896454,0.01384151,,,,0.1484021075495176,,0.2550557316997398,0.367825564687651,,24,23,verified,
hoptimus0,CCRCC,TP53INP1,0.06689863,0.035727605,,,,0.0458519861728305,,0.2130074346293729,0.1771308381620247,,24,23,verified,
hoptimus0,CCRCC,TRBC1,0.087627485,0.04944393,,,,0.1279433858007453,,0.2759695494678154,0.3167598128930337,,24,23,verified,
hoptimus0,CCRCC,VMP1,0.062096417,0.024234116,,,,0.2911624446636901,,0.3524637410389648,0.4523781833795721,,24,23,verified,
hoptimus0,CCRCC,YWHAE,0.037753478,0.007663831,,,,0.3591179131944613,,0.2404336260053043,0.5989775519111897,,24,23,verified,
hoptimus0,COAD,AQP8,0.29001707,0.26337928,0.022351444,0.26766562,,0.0324891238939176,,0.4457427004564952,0.0679359303159047,,4,3,contradicted;verified,
hoptimus0,COAD,AREG,0.36260432,0.32990062,-0.02707243,0.38967675,,1.462910130786821,,2.141050686757879,0.4059173239800842,,4,3,contradicted;verified,
hoptimus0,COAD,BANK1,0.13529569,0.09528345,0.10135341,0.033942282,,0.0090034569291058,,0.8896669636109394,0.0100186416769958,,4,3,contradicted;verified,
hoptimus0,COAD,CA1,0.66397434,0.6250899,-0.042986274,0.7069606,,0.1614955332244479,,1.246094556917511,0.1147319339312489,,4,3,contradicted;verified,
hoptimus0,COAD,CA4,0.62105113,0.57246244,-0.0919919,0.71304303,,0.1009383828876641,,1.0029245350800762,0.0914410487431682,,4,3,contradicted;verified,
hoptimus0,COAD,CALB2,0.08573714,0.048159808,0.10870032,-0.022963181,,0.0403851905043943,,0.4193334671847282,0.0878476212111978,,4,3,contradicted;verified,
hoptimus0,COAD,CCL20,0.24030632,0.21138078,0.049802244,0.19050407,,0.5028906272116721,,1.9758062153067637,0.2028850880774589,,4,3,contradicted;verified,
hoptimus0,COAD,CCR7,0.12204319,0.090294,0.06780714,0.054236054,,0.0197252651570185,,0.8548252397159668,0.0225547467494554,,4,3,contradicted;verified,
hoptimus0,COAD,CD177,0.4409885,0.39938506,-0.0142713785,0.4552599,,0.0927206303449346,,1.1668670886093828,0.0736118881993461,,4,3,contradicted;verified,
hoptimus0,COAD,CEACAM6,0.317559,0.30546492,-0.026864171,0.34442317,,1.8266686485086472,,4.134231200510496,0.3064417612735471,,4,3,contradicted;verified,
hoptimus0,COAD,CEACAM7,0.3553887,0.32898527,0.004549563,0.35083914,,0.2719894021312791,,1.2848752185066512,0.1747033097969884,,4,3,contradicted;verified,
hoptimus0,COAD,CHGA,0.2638629,0.22661576,-0.034800142,0.29866305,,0.0190348058657389,,0.470481775054649,0.0388849052466205,,4,3,contradicted;verified,
hoptimus0,COAD,CHGB,0.1732544,0.14013705,0.15139216,0.021862239,,0.0774341208753933,,0.5819346608059733,0.1174367410570138,,4,3,contradicted;verified,
hoptimus0,COAD,CHI3L2,0.2101875,0.15839833,0.21688455,-0.0066970587,,0.0468823839240788,,0.6325035769671693,0.0690069954677551,,4,3,contradicted;verified,
hoptimus0,COAD,CLCA1,0.64685315,0.6082611,-0.0570876,0.70394075,,0.4953899007449104,,2.1898996356819675,0.1844828626577416,,4,3,contradicted;verified,
hoptimus0,COAD,CLCA4,0.50345993,0.4617844,-0.027577281,0.5310372,,0.0828058921305042,,0.7943284390831977,0.094405029177144,,4,3,contradicted;verified,
hoptimus0,COAD,COL11A1,0.3160972,0.28441226,0.16585529,0.15024191,,0.2531611075652347,,1.896774193805596,0.1177528958214767,,4,3,contradicted;verified,
hoptimus0,COAD,CTSE,0.54882014,0.5218538,-0.0722639,0.62108403,,0.0213024167324309,,0.4189981033189139,0.0483815388860925,,4,3,contradicted;verified,
hoptimus0,COAD,CXCL10,0.12082073,0.070970416,0.15272409,-0.031903356,,0.3566887690039124,,1.6860626290371248,0.1746119323898007,,4,3,contradicted;verified,
hoptimus0,COAD,CXCL13,0.12843972,0.089574516,0.13184899,-0.0034092665,,0.1902518791905808,,1.3777297626560523,0.1213355272237235,,4,3,contradicted;verified,
hoptimus0,COAD,DMBT1,0.40936825,0.35497788,0.26227677,0.14709148,,0.27651744273106,,3.0380154523653826,0.0834257651025708,,4,3,contradicted;verified,
hoptimus0,COAD,DUOX2,0.3530994,0.32246816,-0.044543743,0.39764315,,0.3907157324432083,,1.5409474409898594,0.202269079732366,,4,3,contradicted;verified,
hoptimus0,COAD,FCRL1,0.13787067,0.09416437,0.09573501,0.042135656,,0.0233354172482559,,0.6050744966910696,0.0371340692287502,,4,3,contradicted;verified,
hoptimus0,COAD,GATA2,0.2758191,0.24737385,0.24861935,0.027199745,,0.7960509270123957,,1.5395369399413854,0.3408353581022215,,4,3,contradicted;verified,
hoptimus0,COAD,GCG,0.23547018,0.20523825,0.038102567,0.19736761,,0.0640027557526771,,0.4743819086148536,0.1188792326168216,,4,3,contradicted;verified,
hoptimus0,COAD,GUCA2A,0.65447825,0.61476684,-0.13822162,0.7926999,,0.0192965971952267,,0.361212781674799,0.050712540259929,,4,3,contradicted;verified,
hoptimus0,COAD,GUCA2B,0.3122088,0.27688476,-0.040186465,0.35239527,,0.0316968351459136,,0.3311032791813258,0.0873672137747002,,4,3,contradicted;verified,
hoptimus0,COAD,HEPACAM2,0.2835517,0.25418788,-0.056810915,0.3403626,,0.1170448884560824,,1.2685965824918215,0.0844698220355754,,4,3,contradicted;verified,
hoptimus0,COAD,IL1B,0.33082497,0.29051054,0.12582418,0.20500079,,0.1483134265211166,,1.0283237205501972,0.1260485672157074,,4,3,contradicted;verified,
hoptimus0,COAD,INSL5,0.13642389,0.099086136,0.09969255,0.036731333,,0.0298615665196446,,0.4479076177006239,0.0625020773752486,,4,3,contradicted;verified,
hoptimus0,COAD,ITLN1,0.45970035,0.43092245,-0.111219585,0.57091993,,0.323378645679883,,1.9400010060976025,0.1428742391608611,,4,3,contradicted;verified,
hoptimus0,COAD,LCN2,0.33928782,0.32272398,-0.081067204,0.42035502,,1.7672219376602918,,3.3599376823321068,0.3446785488732086,,4,3,contradicted;verified,
hoptimus0,COAD,MMP1,0.5694282,0.49901402,0.25159433,0.31783384,,0.0493286794307344,,1.190237158509627,0.0397951265845612,,4,3,contradicted;verified,
hoptimus0,COAD,MMP3,0.69763887,0.6231674,0.26935607,0.42828277,,0.07336030789442,,0.985095722121349,0.0693087911203331,,4,3,contradicted;verified,
hoptimus0,COAD,MS4A1,0.19165033,0.15414917,0.14918464,0.042465687,,0.0038643196251157,,1.389148383672345,0.0027740734998097,,4,3,contradicted;verified,
hoptimus0,COAD,MS4A12,0.53634346,0.5009811,0.020161927,0.5161815,,0.5227941848427701,,1.2261716781225482,0.2989161743593945,,4,3,contradicted;verified,
hoptimus0,COAD,NXPE4,0.5277662,0.5097765,-0.0002645254,0.52803075,,1.596294750859156,,2.1436374876633075,0.4268245115290658,,4,3,contradicted;verified,
hoptimus0,COAD,OLFM4,0.63222367,0.5938364,0.12862372,0.50359994,,1.2471885486428744,,3.4158860647612457,0.2674605602616353,,4,3,contradicted;verified,
hoptimus0,COAD,OTOP2,0.14636649,0.12574919,0.038624734,0.10774176,,0.0188142341545643,,0.2295668366593801,0.0757474556853714,,4,3,contradicted;verified,
hoptimus0,COAD,PI3,0.34470695,0.32678622,-0.05807191,0.40277886,,0.8838057986439296,,2.1746956065684664,0.288966942155959,,4,3,contradicted;verified,
hoptimus0,COAD,PRPH,0.15275604,0.11285359,0.110916525,0.04183951,,0.0330951822463185,,0.4013507173638063,0.0761779136965464,,4,3,contradicted;verified,
hoptimus0,COAD,RETNLB,0.38019133,0.35047168,-0.0015450716,0.3817364,,0.2043360143772652,,1.1905806342714682,0.1464861822211435,,4,3,contradicted;verified,
hoptimus0,COAD,SCG2,0.33065012,0.2926176,0.24490626,0.08574386,,0.1755183100885005,,0.6298610009029869,0.2179324793834388,,4,3,contradicted;verified,
hoptimus0,COAD,SCGN,0.19080254,0.15620828,0.07098502,0.119817525,,0.0521228105991398,,0.4540177337798189,0.1029809035810305,,4,3,contradicted;verified,
hoptimus0,COAD,SLC26A3,0.3642979,0.35271516,-0.10415691,0.4684548,,1.0589894319728828,,2.2764741360245937,0.3174939286201443,,4,3,contradicted;verified,
hoptimus0,COAD,SPIB,0.095988214,0.05713463,0.090955555,0.0050326586,,0.0096759207586861,,0.736672369786347,0.0129643503994899,,4,3,contradicted;verified,
hoptimus0,COAD,TCL1A,0.111471385,0.067123175,0.1167219,-0.0052505136,,0.0104688342891522,,0.435588076405751,0.0234697278265302,,4,3,contradicted;verified,
hoptimus0,COAD,TMIGD1,0.3159149,0.2940242,-0.04207498,0.35798988,,0.103899622356929,,0.690672167914213,0.1307617809102863,,4,3,contradicted;verified,
hoptimus0,COAD,TYMS,0.09500164,0.0790624,0.07402623,0.020975411,,0.7863627735242944,,3.171693580763842,0.1986739710444884,,4,3,contradicted;verified,
hoptimus0,COAD,UGT2B17,0.4339896,0.4134967,-0.08315748,0.51714706,,0.3989291678295817,,1.290945694336706,0.2360702420995751,,4,3,contradicted;verified,
