,dataset,conch_v1_mean,conch_v1_std
0,IDC,0.5278,0.0796771924706186
1,PRAD,0.3604,0.01369999999999999
2,PAAD,0.4224666666666666,0.07702788816756924
3,SKCM,0.5087,0.0295
4,COAD,0.247,0.0034000000000000002
5,READ,0.145,0.045599999999999995
6,CCRCC,0.23558333333333337,0.03868369237231053
7,LUNG,0.49524999999999997,0.021149999999999974
8,LYMPH_IDC,0.2462,0.03418076944716136
9,HCC,0.0382,0.006200000000000001
