,dataset,virchow2_mean,virchow2_std
0,CCRCC,0.21473333333333333,0.040543502013954784
1,LUNG,0.26875,0.04794999999999999
2,LYMPH_IDC,0.198125,0.01180219788852907
3,HCC,0.03685,0.010250000000000002
