head,encoder,task,pearson_mean,pearson_std,n_splits,run_ts
pca_ridge,resnet50,READ,0.0783,0.0791,2,26-09-13-16-30-55
pca_ridge,resnet50,SKCM,0.4822,0.162,2,26-09-13-16-30-55
pca_ridge,uni_v1,CCRCC,0.24,0.0433,6,26-09-13-16-30-32
pca_ridge,uni_v1,COAD,0.2616,0.0436,2,26-09-13-16-30-32
pca_ridge,uni_v1,HCC,0.0784,0.0022,2,26-09-13-16-30-32
pca_ridge,uni_v1,IDC,0.5735,0.0915,4,26-09-13-16-30-32
pca_ridge,uni_v1,LUNG,0.5464,0.0318,2,26-09-13-16-30-32
pca_ridge,uni_v1,LYMPH_IDC,0.2559,0.0509,4,26-09-13-16-30-32
pca_ridge,uni_v1,PAAD,0.4807,0.0864,3,26-09-13-16-30-32
pca_ridge,uni_v1,PRAD,0.2943,0.1203,2,26-09-13-16-30-32
pca_ridge,uni_v1,READ,0.1836,0.0699,2,26-09-13-16-30-32
pca_ridge,uni_v1,SKCM,0.6346,0.0508,2,26-09-13-16-30-32
pca_ridge,uni_v2,CCRCC,0.264,0.0512,6,26-09-13-17-27-49
pca_ridge,uni_v2,COAD,0.3016,0.0056,2,26-09-13-17-27-49
pca_ridge,uni_v2,HCC,0.0748,0.0069,2,26-09-13-17-27-49
pca_ridge,uni_v2,IDC,0.5898,0.0938,4,26-09-13-17-27-49
pca_ridge,uni_v2,LUNG,0.5588,0.0186,2,26-09-13-17-27-49
pca_ridge,uni_v2,LYMPH_IDC,0.2728,0.0461,4,26-09-13-17-27-49
pca_ridge,uni_v2,PAAD,0.5001,0.0486,3,26-09-13-17-27-49
pca_ridge,uni_v2,PRAD,0.3568,0.0699,2,26-09-13-17-27-49
pca_ridge,uni_v2,READ,0.2227,0.0532,2,26-09-13-17-27-49
pca_ridge,uni_v2,SKCM,0.6612,0.0213,2,26-09-13-17-27-49
pca_ridge,virchow,CCRCC,0.2586,0.0327,6,26-09-13-16-41-05
pca_ridge,virchow,COAD,0.3079,0.0004,2,26-09-13-16-41-05
pca_ridge,virchow,HCC,0.0832,0.0251,2,26-09-13-16-41-05
pca_ridge,virchow,IDC,0.5846,0.109,4,26-09-13-16-41-05
pca_ridge,virchow,LUNG,0.5663,0.0373,2,26-09-13-16-41-05
pca_ridge,virchow,LYMPH_IDC,0.261,0.0442,4,26-09-13-16-41-05
pca_ridge,virchow,PAAD,0.5159,0.0814,3,26-09-13-16-41-05
pca_ridge,virchow,PRAD,0.3378,0.0139,2,26-09-13-16-41-05
pca_ridge,virchow,READ,0.1981,0.0687,2,26-09-13-16-41-05
pca_ridge,virchow,SKCM,0.6242,0.0834,2,26-09-13-16-41-05
pca_ridge,virchow2,CCRCC,0.2719,0.0559,6,26-09-13-16-42-49
pca_ridge,virchow2,COAD,0.258,0.05,2,26-09-13-16-42-49
pca_ridge,virchow2,HCC,0.0942,0.0177,2,26-09-13-16-42-49
pca_ridge,virchow2,IDC,0.5971,0.0968,4,26-09-13-16-42-49
pca_ridge,virchow2,LUNG,0.5684,0.0228,2,26-09-13-16-42-49
pca_ridge,virchow2,LYMPH_IDC,0.2568,0.0386,4,26-09-13-16-42-49
pca_ridge,virchow2,PAAD,0.4778,0.0861,3,26-09-13-16-42-49
pca_ridge,virchow2,PRAD,0.3529,0.0492,2,26-09-13-16-42-49
pca_ridge,virchow2,READ,0.2074,0.0759,2,26-09-13-16-42-49
pca_ridge,virchow2,SKCM,0.6398,0.0545,2,26-09-13-16-42-49
ridge_nopca,resnet50,CCRCC,0.2102,0.0602,6,26-09-13-18-41-51
ridge_nopca,resnet50,COAD,0.2004,0.0858,2,26-09-13-18-41-51
ridge_nopca,resnet50,HCC,0.0386,0.0275,2,26-09-13-18-41-51
ridge_nopca,resnet50,IDC,0.4457,0.0436,4,26-09-13-18-41-51
ridge_nopca,resnet50,LUNG,0.3998,0.0892,2,26-09-13-18-41-51
ridge_nopca,resnet50,LYMPH_IDC,0.2033,0.0619,4,26-09-13-18-41-51
ridge_nopca,resnet50,PAAD,0.343,0.0806,3,26-09-13-18-41-51
ridge_nopca,resnet50,PRAD,0.2759,0.0873,2,26-09-13-18-41-51
ridge_nopca,resnet50,READ,0.067,0.091,2,26-09-13-18-41-51
ridge_nopca,resnet50,SKCM,0.4138,0.1153,2,26-09-13-18-41-51
