head,encoder,task,split,pearson,run_ts
pca_ridge,ctranspath,READ,1,0.0147,26-09-13-16-30-55
pca_ridge,ctranspath,SKCM,0,0.5929,26-09-13-16-30-55
pca_ridge,ctranspath,SKCM,1,0.4266,26-09-13-16-30-55
pca_ridge,gigapath,CCRCC,0,0.1966,26-09-13-16-30-32
pca_ridge,gigapath,CCRCC,1,0.2547,26-09-13-16-30-32
pca_ridge,gigapath,CCRCC,2,0.2253,26-09-13-16-30-32
pca_ridge,gigapath,CCRCC,3,0.2886,26-09-13-16-30-32
pca_ridge,gigapath,CCRCC,4,0.2169,26-09-13-16-30-32
pca_ridge,gigapath,CCRCC,5,0.2756,26-09-13-16-30-32
pca_ridge,gigapath,COAD,0,0.2781,26-09-13-16-30-32
pca_ridge,gigapath,COAD,1,0.3204,26-09-13-16-30-32
pca_ridge,gigapath,HCC,0,0.0577,26-09-13-16-30-32
pca_ridge,gigapath,HCC,1,0.0839,26-09-13-16-30-32
pca_ridge,gigapath,IDC,0,0.4511,26-09-13-16-30-32
pca_ridge,gigapath,IDC,1,0.5977,26-09-13-16-30-32
pca_ridge,gigapath,IDC,2,0.5174,26-09-13-16-30-32
pca_ridge,gigapath,IDC,3,0.6398,26-09-13-16-30-32
pca_ridge,gigapath,LUNG,0,0.5048,26-09-13-16-30-32
pca_ridge,gigapath,LUNG,1,0.5773,26-09-13-16-30-32
pca_ridge,gigapath,LYMPH_IDC,0,0.3093,26-09-13-16-30-32
pca_ridge,gigapath,LYMPH_IDC,1,0.1891,26-09-13-16-30-32
pca_ridge,gigapath,LYMPH_IDC,2,0.289,26-09-13-16-30-32
pca_ridge,gigapath,LYMPH_IDC,3,0.2126,26-09-13-16-30-32
pca_ridge,gigapath,PAAD,0,0.4324,26-09-13-16-30-32
pca_ridge,gigapath,PAAD,1,0.5418,26-09-13-16-30-32
pca_ridge,gigapath,PAAD,2,0.4498,26-09-13-16-30-32
pca_ridge,gigapath,PRAD,0,0.3913,26-09-13-16-30-32
pca_ridge,gigapath,PRAD,1,0.3484,26-09-13-16-30-32
pca_ridge,gigapath,READ,0,0.2579,26-09-13-16-30-32
pca_ridge,gigapath,READ,1,0.1343,26-09-13-16-30-32
pca_ridge,gigapath,SKCM,0,0.6235,26-09-13-16-30-32
pca_ridge,gigapath,SKCM,1,0.5006,26-09-13-16-30-32
pca_ridge,hoptimus0,CCRCC,0,0.2082,26-09-13-16-57-38
pca_ridge,hoptimus0,CCRCC,1,0.2849,26-09-13-16-57-38
pca_ridge,hoptimus0,CCRCC,2,0.2689,26-09-13-16-57-38
pca_ridge,hoptimus0,CCRCC,3,0.2829,26-09-13-16-57-38
pca_ridge,hoptimus0,CCRCC,4,0.2522,26-09-13-16-57-38
pca_ridge,hoptimus0,CCRCC,5,0.309,26-09-13-16-57-38
pca_ridge,hoptimus0,COAD,0,0.3089,26-09-13-16-57-38
pca_ridge,hoptimus0,COAD,1,0.3085,26-09-13-16-57-38
pca_ridge,hoptimus0,HCC,0,0.0735,26-09-13-16-57-38
pca_ridge,hoptimus0,HCC,1,0.0848,26-09-13-16-57-38
pca_ridge,hoptimus0,IDC,0,0.4767,26-09-13-16-57-38
pca_ridge,hoptimus0,IDC,1,0.6455,26-09-13-16-57-38
pca_ridge,hoptimus0,IDC,2,0.5652,26-09-13-16-57-38
pca_ridge,hoptimus0,IDC,3,0.7031,26-09-13-16-57-38
pca_ridge,hoptimus0,LUNG,0,0.5264,26-09-13-16-57-38
pca_ridge,hoptimus0,LUNG,1,0.5915,26-09-13-16-57-38
pca_ridge,hoptimus0,LYMPH_IDC,0,0.319,26-09-13-16-57-38
pca_ridge,hoptimus0,LYMPH_IDC,1,0.2242,26-09-13-16-57-38
pca_ridge,hoptimus0,LYMPH_IDC,2,0.2736,26-09-13-16-57-38
pca_ridge,hoptimus0,LYMPH_IDC,3,0.2199,26-09-13-16-57-38
pca_ridge,hoptimus0,PAAD,0,0.453,26-09-13-16-57-38
pca_ridge,hoptimus0,PAAD,1,0.5463,26-09-13-16-57-38
pca_ridge,hoptimus0,PAAD,2,0.4739,26-09-13-16-57-38
pca_ridge,hoptimus0,PRAD,0,0.385,26-09-13-16-57-38
pca_ridge,hoptimus0,PRAD,1,0.3845,26-09-13-16-57-38
pca_ridge,hoptimus0,READ,0,0.2692,26-09-13-16-57-38
pca_ridge,hoptimus0,READ,1,0.174,26-09-13-16-57-38
pca_ridge,hoptimus0,SKCM,0,0.7079,26-09-13-16-57-38
pca_ridge,hoptimus0,SKCM,1,0.5831,26-09-13-16-57-38
pca_ridge,phikon,CCRCC,0,0.199,26-09-13-16-30-45
pca_ridge,phikon,CCRCC,1,0.2296,26-09-13-16-30-45
pca_ridge,phikon,CCRCC,2,0.2434,26-09-13-16-30-45
pca_ridge,phikon,CCRCC,3,0.2869,26-09-13-16-30-45
pca_ridge,phikon,CCRCC,4,0.2416,26-09-13-16-30-45
pca_ridge,phikon,CCRCC,5,0.2534,26-09-13-16-30-45
pca_ridge,phikon,COAD,0,0.2607,26-09-13-16-30-45
pca_ridge,phikon,COAD,1,0.2641,26-09-13-16-30-45
pca_ridge,phikon,HCC,0,0.0479,26-09-13-16-30-45
pca_ridge,phikon,HCC,1,0.0727,26-09-13-16-30-45
pca_ridge,phikon,IDC,0,0.4026,26-09-13-16-30-45
pca_ridge,phikon,IDC,1,0.587,26-09-13-16-30-45
pca_ridge,phikon,IDC,2,0.4975,26-09-13-16-30-45
pca_ridge,phikon,IDC,3,0.6435,26-09-13-16-30-45
pca_ridge,phikon,LUNG,0,0.542,26-09-13-16-30-45
pca_ridge,phikon,LUNG,1,0.5511,26-09-13-16-30-45
pca_ridge,phikon,LYMPH_IDC,0,0.3142,26-09-13-16-30-45
pca_ridge,phikon,LYMPH_IDC,1,0.1954,26-09-13-16-30-45
pca_ridge,phikon,LYMPH_IDC,2,0.2253,26-09-13-16-30-45
pca_ridge,phikon,LYMPH_IDC,3,0.2141,26-09-13-16-30-45
pca_ridge,phikon,PAAD,0,0.3705,26-09-13-16-30-45
pca_ridge,phikon,PAAD,1,0.5365,26-09-13-16-30-45
pca_ridge,phikon,PAAD,2,0.4203,26-09-13-16-30-45
pca_ridge,phikon,PRAD,0,0.4188,26-09-13-16-30-45
pca_ridge,phikon,PRAD,1,0.2654,26-09-13-16-30-45
pca_ridge,phikon,READ,0,0.2333,26-09-13-16-30-45
pca_ridge,phikon,READ,1,0.0732,26-09-13-16-30-45
pca_ridge,phikon,SKCM,0,0.5953,26-09-13-16-30-45
pca_ridge,phikon,SKCM,1,0.4758,26-09-13-16-30-45
pca_ridge,resnet50,CCRCC,0,0.1408,26-09-13-16-30-55
pca_ridge,resnet50,CCRCC,1,0.2426,26-09-13-16-30-55
pca_ridge,resnet50,CCRCC,2,0.1567,26-09-13-16-30-55
pca_ridge,resnet50,CCRCC,3,0.263,26-09-13-16-30-55
pca_ridge,resnet50,CCRCC,4,0.2539,26-09-13-16-30-55
pca_ridge,resnet50,CCRCC,5,0.2943,26-09-13-16-30-55
pca_ridge,resnet50,COAD,0,0.2125,26-09-13-16-30-55
pca_ridge,resnet50,COAD,1,0.2875,26-09-13-16-30-55
pca_ridge,resnet50,HCC,0,0.0239,26-09-13-16-30-55
pca_ridge,resnet50,HCC,1,0.0971,26-09-13-16-30-55
pca_ridge,resnet50,IDC,0,0.4081,26-09-13-16-30-55
pca_ridge,resnet50,IDC,1,0.5138,26-09-13-16-30-55
pca_ridge,resnet50,IDC,2,0.4555,26-09-13-16-30-55
pca_ridge,resnet50,IDC,3,0.518,26-09-13-16-30-55
pca_ridge,resnet50,LUNG,0,0.4853,26-09-13-16-30-55
pca_ridge,resnet50,LUNG,1,0.5044,26-09-13-16-30-55
pca_ridge,resnet50,LYMPH_IDC,0,0.2948,26-09-13-16-30-55
pca_ridge,resnet50,LYMPH_IDC,1,0.1968,26-09-13-16-30-55
pca_ridge,resnet50,LYMPH_IDC,2,0.2524,26-09-13-16-30-55
pca_ridge,resnet50,LYMPH_IDC,3,0.1779,26-09-13-16-30-55
pca_ridge,resnet50,PAAD,0,0.3299,26-09-13-16-30-55
pca_ridge,resnet50,PAAD,1,0.4957,26-09-13-16-30-55
pca_ridge,resnet50,PAAD,2,0.3383,26-09-13-16-30-55
pca_ridge,resnet50,PRAD,0,0.3358,26-09-13-16-30-55
pca_ridge,resnet50,PRAD,1,0.2729,26-09-13-16-30-55
pca_ridge,resnet50,READ,0,0.1342,26-09-13-16-30-55
pca_ridge,resnet50,READ,1,0.0224,26-09-13-16-30-55
pca_ridge,resnet50,SKCM,0,0.5967,26-09-13-16-30-55
pca_ridge,resnet50,SKCM,1,0.3676,26-09-13-16-30-55
pca_ridge,uni_v1,CCRCC,0,0.1984,26-09-13-16-30-32
pca_ridge,uni_v1,CCRCC,1,0.2618,26-09-13-16-30-32
pca_ridge,uni_v1,CCRCC,2,0.1972,26-09-13-16-30-32
pca_ridge,uni_v1,CCRCC,3,0.2392,26-09-13-16-30-32
pca_ridge,uni_v1,CCRCC,4,0.2307,26-09-13-16-30-32
pca_ridge,uni_v1,CCRCC,5,0.3125,26-09-13-16-30-32
pca_ridge,uni_v1,COAD,0,0.2308,26-09-13-16-30-32
pca_ridge,uni_v1,COAD,1,0.2925,26-09-13-16-30-32
pca_ridge,uni_v1,HCC,0,0.08,26-09-13-16-30-32
