encoder,paper_name,task,paper,ours,diff,abs_diff
uni_v2,UNIv1.5,READ,0.224,0.2227,-0.0013,0.0013
uni_v2,UNIv1.5,CCRCC,0.2522,0.264,0.0118,0.0118
uni_v2,UNIv1.5,LUNG,0.5586,0.5588,0.0002,0.0002
uni_v2,UNIv1.5,LYMPH_IDC,0.2597,0.2728,0.0131,0.0131
hoptimus0,H-Optimus-0,IDC,0.5982,0.5976,-0.0006,0.0006
hoptimus0,H-Optimus-0,PRAD,0.385,0.3848,-0.0002,0.0002
hoptimus0,H-Optimus-0,PAAD,0.4932,0.4911,-0.0021,0.0021
hoptimus0,H-Optimus-0,SKCM,0.6432,0.6455,0.0023,0.0023
hoptimus0,H-Optimus-0,COAD,0.2991,0.3087,0.0096,0.0096
hoptimus0,H-Optimus-0,READ,0.2292,0.2216,-0.0076,0.0076
hoptimus0,H-Optimus-0,CCRCC,0.2654,0.2677,0.0023,0.0023
hoptimus0,H-Optimus-0,LUNG,0.5582,0.559,0.0008,0.0008
hoptimus0,H-Optimus-0,LYMPH_IDC,0.2595,0.2592,-0.0003,0.0003
