task,ours,pearson_mean,abs_diff
CCRCC,0.23999461186894525,0.24,5.388131054745449e-06
COAD,0.26160040523856876,0.2616,4.052385687569604e-07
HCC,0.07848023228929378,0.0784,8.02322892937829e-05
IDC,0.5735118904232512,0.5735,1.1890423251226245e-05
LUNG,0.546443629777059,0.5464,4.3629777058962205e-05
LYMPH_IDC,0.2558331728226039,0.2559,6.682717739608934e-05
PAAD,0.48064002486566704,0.4807,5.9975134332979074e-05
PRAD,0.2943651400506497,0.2943,6.514005064967021e-05
READ,0.18354680287186056,0.1836,5.3197128139448324e-05
SKCM,0.6345467345230282,0.6346,5.3265476971819936e-05
