task,ours,pearson_mean,abs_diff
CCRCC,0.23621129020679899,0.2362,1.1290206798991731e-05
COAD,0.23808042841032145,0.2382,0.00011957158967854098
HCC,0.052185314912348985,0.0523,0.0001146850876510147
IDC,0.4993661213223823,0.4994,3.387867761772689e-05
LUNG,0.5137590438313782,0.5137,5.9043831378113865e-05
LYMPH_IDC,0.2408188682072796,0.2408,1.8868207279615357e-05
PAAD,0.43154731258129075,0.4315,4.7312581290759326e-05
PRAD,0.35515275828540327,0.3551,5.275828540324268e-05
READ,0.09681988585274666,0.0969,8.011414725334065e-05
SKCM,0.5098355322051793,0.5097,0.00013553220517925624
