encoder,task,fold,max_abs_intercept_minus_ycentered,max_abs_intercept_minus_nointercept,max_abs_shift_minus_ybar,max_abs_intercept_minus_ycentered_exact,max_abs_intercept_minus_nointercept_exact,max_abs_shift_minus_ybar_exact
virchow2,CCRCC,0,0.00474780797958374,1.2118560075759888,0.012209177017211914,2.0265579223632812e-06,1.2026264667510986,3.0159950256347656e-05
virchow2,CCRCC,1,0.004709124565124512,1.148417353630066,0.014401435852050781,2.86102294921875e-06,1.1340439319610596,3.325939178466797e-05
virchow2,CCRCC,2,0.004192233085632324,1.2288057804107666,0.014069736003875732,2.0265579223632812e-06,1.2175283432006836,4.112720489501953e-05
virchow2,CCRCC,3,0.00457879900932312,1.1551105976104736,0.01409292221069336,1.9073486328125e-06,1.143325686454773,3.457069396972656e-05
virchow2,CCRCC,4,0.004870474338531494,1.173231840133667,0.013161182403564453,2.1457672119140625e-06,1.1653215885162354,3.9577484130859375e-05
virchow2,CCRCC,5,0.005786776542663574,1.1265686750411987,0.016887187957763672,1.7285346984863281e-06,1.1143311262130737,3.933906555175781e-05
virchow2,COAD,0,0.0071485042572021484,4.831653594970703,0.07411623001098633,3.814697265625e-06,4.75766658782959,0.00012922286987304688
virchow2,COAD,1,0.010568618774414062,3.7985355854034424,0.07198834419250488,4.291534423828125e-06,3.7265796661376953,7.200241088867188e-05
virchow2,HCC,0,0.007719278335571289,1.6779106855392456,0.03055393695831299,9.5367431640625e-07,1.6473599672317505,3.5762786865234375e-06
virchow2,HCC,1,0.008890628814697266,1.900945782661438,0.0488818883895874,1.430511474609375e-06,1.8762261867523193,4.0531158447265625e-06
virchow2,IDC,0,0.010300397872924805,4.725054740905762,0.07388067245483398,4.291534423828125e-06,4.680599689483643,0.00013065338134765625
virchow2,IDC,1,0.009969770908355713,3.9890973567962646,0.05570077896118164,4.291534423828125e-06,3.9452497959136963,0.0001227855682373047
virchow2,IDC,2,0.007952690124511719,4.345500946044922,0.07147598266601562,6.67572021484375e-06,4.300711154937744,0.00015401840209960938
virchow2,IDC,3,0.013330340385437012,4.555832862854004,0.06962442398071289,5.245208740234375e-06,4.514370918273926,0.00014352798461914062
virchow2,LUNG,0,0.008992671966552734,5.078895092010498,0.10266828536987305,4.5299530029296875e-06,5.034228324890137,3.62396240234375e-05
virchow2,LUNG,1,0.0066901445388793945,3.9130043983459473,0.04752993583679199,3.814697265625e-06,3.8856759071350098,8.606910705566406e-05
virchow2,LYMPH_IDC,0,0.008041635155677795,1.0954341888427734,0.018239855766296387,1.7881393432617188e-06,1.0772227048873901,2.8967857360839844e-05
virchow2,LYMPH_IDC,1,0.004552125930786133,1.1465270519256592,0.013474225997924805,1.6689300537109375e-06,1.1350947618484497,1.621246337890625e-05
virchow2,LYMPH_IDC,2,0.005734384059906006,0.8704706430435181,0.012853533029556274,1.4901161193847656e-06,0.8601189255714417,2.390146255493164e-05
virchow2,LYMPH_IDC,3,0.005956888198852539,0.96452796459198,0.01756727695465088,1.9669532775878906e-06,0.9544129371643066,1.901388168334961e-05
virchow2,PAAD,0,0.007887959480285645,3.850914478302002,0.045339345932006836,4.0531158447265625e-06,3.8206348419189453,0.00010442733764648438
virchow2,PAAD,1,0.012955904006958008,3.363105535507202,0.06754732131958008,4.76837158203125e-06,3.3207180500030518,0.00010848045349121094
virchow2,PAAD,2,0.008605271577835083,3.669450521469116,0.04393315315246582,4.0531158447265625e-06,3.6301350593566895,0.0001087188720703125
virchow2,PRAD,0,0.0063658952713012695,3.044772148132324,0.057607412338256836,2.6226043701171875e-06,2.999258041381836,0.0001690387725830078
virchow2,PRAD,1,0.011832714080810547,2.8096835613250732,0.023566722869873047,2.86102294921875e-06,2.7908172607421875,5.245208740234375e-05
virchow2,READ,0,0.011031746864318848,1.1437968015670776,0.017456352710723877,2.86102294921875e-06,1.1302369832992554,4.601478576660156e-05
virchow2,READ,1,0.006047308444976807,0.9747790098190308,0.029235482215881348,1.6689300537109375e-06,0.9455769658088684,5.841255187988281e-05
virchow2,SKCM,0,0.010411620140075684,5.348611831665039,0.08209562301635742,5.4836273193359375e-06,5.284125804901123,3.814697265625e-05
virchow2,SKCM,1,0.012826204299926758,4.885055065155029,0.09044361114501953,5.7220458984375e-06,4.794637680053711,3.2901763916015625e-05
