encoder,task,fold,max_abs_intercept_minus_ycentered,max_abs_intercept_minus_nointercept,max_abs_shift_minus_ybar,max_abs_intercept_minus_ycentered_exact,max_abs_intercept_minus_nointercept_exact,max_abs_shift_minus_ybar_exact
uni_v1,CCRCC,0,0.003167957067489624,1.2066936492919922,0.00959634780883789,2.1457672119140625e-06,1.2026290893554688,3.135204315185547e-05
uni_v1,CCRCC,1,0.002575397491455078,1.137387752532959,0.00723719596862793,1.9073486328125e-06,1.134047269821167,3.170967102050781e-05
uni_v1,CCRCC,2,0.0033132433891296387,1.2234292030334473,0.005941987037658691,1.5497207641601562e-06,1.2175041437149048,2.849102020263672e-05
uni_v1,CCRCC,3,0.0024681389331817627,1.1489180326461792,0.007005929946899414,1.5497207641601562e-06,1.1433281898498535,2.872943878173828e-05
uni_v1,CCRCC,4,0.002451658248901367,1.1716892719268799,0.009068131446838379,1.9073486328125e-06,1.1653153896331787,3.337860107421875e-05
uni_v1,CCRCC,5,0.002998650074005127,1.1211185455322266,0.011797785758972168,1.6093254089355469e-06,1.1143356561660767,4.220008850097656e-05
uni_v1,COAD,0,0.008186697959899902,4.794594764709473,0.03705739974975586,3.5762786865234375e-06,4.757602691650391,6.628036499023438e-05
uni_v1,COAD,1,0.0053195953369140625,3.751530408859253,0.026318788528442383,3.0994415283203125e-06,3.7266016006469727,5.435943603515625e-05
uni_v1,HCC,0,0.00496344268321991,1.6610766649246216,0.022696256637573242,1.430511474609375e-06,1.6474030017852783,4.6253204345703125e-05
uni_v1,HCC,1,0.006079912185668945,1.8884596824645996,0.020383596420288086,1.430511474609375e-06,1.876259684562683,6.651878356933594e-05
uni_v1,IDC,0,0.005120277404785156,4.707459449768066,0.038478851318359375,4.291534423828125e-06,4.680543899536133,8.58306884765625e-05
uni_v1,IDC,1,0.00437617301940918,3.979692220687866,0.034564971923828125,3.5762786865234375e-06,3.9452075958251953,0.00010371208190917969
uni_v1,IDC,2,0.0032219886779785156,4.314211845397949,0.029420852661132812,7.62939453125e-06,4.300661087036133,0.00010395050048828125
uni_v1,IDC,3,0.005315423011779785,4.527940273284912,0.028505802154541016,3.814697265625e-06,4.514377593994141,0.00011920928955078125
uni_v1,LUNG,0,0.006394624710083008,5.073615550994873,0.03942298889160156,4.76837158203125e-06,5.0342817306518555,0.00017309188842773438
uni_v1,LUNG,1,0.003363370895385742,3.9021506309509277,0.027326345443725586,3.814697265625e-06,3.8856751918792725,7.82012939453125e-05
uni_v1,LYMPH_IDC,0,0.003107011318206787,1.0822029113769531,0.007581472396850586,1.9669532775878906e-06,1.0772156715393066,2.1338462829589844e-05
uni_v1,LYMPH_IDC,1,0.0028395652770996094,1.1417776346206665,0.007960796356201172,2.1457672119140625e-06,1.1350905895233154,1.919269561767578e-05
uni_v1,LYMPH_IDC,2,0.0032657384872436523,0.8628175258636475,0.006274878978729248,1.9073486328125e-06,0.8601168394088745,1.239776611328125e-05
uni_v1,LYMPH_IDC,3,0.004031479358673096,0.958153486251831,0.010211169719696045,1.7881393432617188e-06,0.9544088840484619,1.6510486602783203e-05
uni_v1,PAAD,0,0.002145707607269287,3.8348326683044434,0.026110172271728516,2.86102294921875e-06,3.8206393718719482,4.9114227294921875e-05
uni_v1,PAAD,1,0.0069359540939331055,3.3400039672851562,0.025816917419433594,3.814697265625e-06,3.3206942081451416,8.463859558105469e-05
uni_v1,PAAD,2,0.004087686538696289,3.6432950496673584,0.017383098602294922,3.4570693969726562e-06,3.6300771236419678,6.198883056640625e-05
uni_v1,PRAD,0,0.004352927207946777,3.0184168815612793,0.020644426345825195,2.384185791015625e-06,2.999216318130493,0.00010442733764648438
uni_v1,PRAD,1,0.0069608986377716064,2.810412645339966,0.01963353157043457,2.6226043701171875e-06,2.790837526321411,5.936622619628906e-05
uni_v1,READ,0,0.004510641098022461,1.137718677520752,0.01080244779586792,2.86102294921875e-06,1.130229115486145,2.86102294921875e-05
uni_v1,READ,1,0.004195094108581543,0.9544671773910522,0.011862754821777344,1.1920928955078125e-06,0.9455618262290955,2.014636993408203e-05
uni_v1,SKCM,0,0.0034390687942504883,5.314520835876465,0.0408320426940918,4.76837158203125e-06,5.28420352935791,0.00013780593872070312
uni_v1,SKCM,1,0.0032300949096679688,4.834142684936523,0.04312729835510254,4.76837158203125e-06,4.794791221618652,0.00017976760864257812
