encoder,task,fold,head,n_train,n_test,n_test_samples,gene,pearson,r2,mse,mean_pred,mean_target,train_mean_pred,train_mean_target
virchow,CCRCC,0,nointercept,55849,18371,4,AKAP8,0.22248589992523193,-0.8175877332687378,0.3822604715824127,-0.07684323936700821,0.3477015793323517,-1.3114323849094944e-08,0.35207951068878174
virchow,CCRCC,0,nointercept,55849,18371,4,BLVRB,0.15890876948833466,-1.347045660018921,0.36659422516822815,-0.20482604205608368,0.2520582377910614,4.371441431061385e-09,0.37015095353126526
virchow,CCRCC,0,nointercept,55849,18371,4,BTF3,0.02534988336265087,-3.2555112838745117,0.6303159594535828,-0.43703484535217285,0.2396368533372879,-8.74288286212277e-09,0.6006410717964172
virchow,CCRCC,0,nointercept,55849,18371,4,CD109,0.3334919214248657,-0.47188878059387207,0.35428473353385925,0.0024395722430199385,0.35703882575035095,-2.7321508611066747e-08,0.48740237951278687
virchow,CCRCC,0,nointercept,55849,18371,4,CD14,0.16419635713100433,-1.2297842502593994,0.8480179905891418,-0.19458074867725372,0.4735223054885864,-8.742882329215718e-08,0.7004610300064087
virchow,CCRCC,0,nointercept,55849,18371,4,CHST15,0.2084011733531952,-0.9617893695831299,0.5212472081184387,-0.07896951586008072,0.426510214805603,-3.497153144849108e-08,0.4723576605319977
virchow,CCRCC,0,nointercept,55849,18371,4,CIB1,0.1724458932876587,-2.0422141551971436,0.8642356395721436,-0.19916149973869324,0.5336077809333801,-8.74288286212277e-09,0.7433766722679138
virchow,CCRCC,0,nointercept,55849,18371,4,CKB,0.24395331740379333,-0.774329423904419,0.7895759344100952,-0.11266691982746124,0.48686012625694275,-4.371441164607859e-08,0.5242236852645874
virchow,CCRCC,0,nointercept,55849,18371,4,CPD,0.18474529683589935,-0.9687092304229736,0.5751281976699829,0.07759281992912292,0.49838611483573914,6.120017559396729e-08,0.5640750527381897
virchow,CCRCC,0,nointercept,55849,18371,4,CPE,0.35665279626846313,-1.5244500637054443,2.649923086166382,-0.025016235187649727,1.281748652458191,-1.748576572424554e-08,1.101182460784912
virchow,CCRCC,0,nointercept,55849,18371,4,DERL1,0.39207491278648376,-1.0181374549865723,0.6361945867538452,-0.01661546900868416,0.551719069480896,3.497153144849108e-08,0.6185947060585022
virchow,CCRCC,0,nointercept,55849,18371,4,DNAJB12,0.052023399621248245,-1.0326218605041504,0.2531742453575134,-0.13400152325630188,0.19344381988048553,-2.1857205823039294e-08,0.33685410022735596
virchow,CCRCC,0,nointercept,55849,18371,4,EGFL7,0.14335660636425018,-1.6678192615509033,0.44296538829803467,-0.26386767625808716,0.25916171073913574,-1.9671485773642416e-08,0.4487183690071106
virchow,CCRCC,0,nointercept,55849,18371,4,FLNB,0.27375173568725586,-1.4177930355072021,0.8142924904823303,-0.1676473468542099,0.5235467553138733,-4.5900133471832305e-08,0.635085940361023
virchow,CCRCC,0,nointercept,55849,18371,4,GADD45B,0.1977185308933258,-1.1532878875732422,0.7977485060691833,-0.10689565539360046,0.5482276678085327,-1.748576572424554e-08,0.5517125129699707
virchow,CCRCC,0,nointercept,55849,18371,4,GPNMB,0.4253367483615875,-0.9722632169723511,0.7090145945549011,-0.24673403799533844,0.3970940411090851,-5.245729539637978e-08,0.5627884268760681
virchow,CCRCC,0,nointercept,55849,18371,4,H3F3A,0.1282743662595749,-3.4473018646240234,0.6829269528388977,-0.473308801651001,0.2360963523387909,-3.934297154728483e-08,0.7055453062057495
virchow,CCRCC,0,nointercept,55849,18371,4,HMOX1,0.33116647601127625,-0.5977908372879028,0.789879322052002,-0.08550341427326202,0.5029290914535522,8.74288286212277e-09,0.4311843514442444
virchow,CCRCC,0,nointercept,55849,18371,4,HNRNPK,0.09627251327037811,-3.246090888977051,0.8829079866409302,-0.4336293339729309,0.3734790086746216,-2.622864769818989e-08,0.8356579542160034
virchow,CCRCC,0,nointercept,55849,18371,4,HSPA1A,-0.0890335887670517,-1.2769129276275635,1.7190572023391724,0.10947778075933456,1.035993218421936,-2.1857205823039294e-08,0.6820328235626221
virchow,CCRCC,0,nointercept,55849,18371,4,HTRA1,0.22024212777614594,-3.383324146270752,2.7228097915649414,-0.39724835753440857,1.0581694841384888,6.775734107122844e-08,0.9139458537101746
virchow,CCRCC,0,nointercept,55849,18371,4,IFI27,0.15143269300460815,-2.6531975269317627,1.5763838291168213,-0.28874173760414124,0.7394761443138123,-2.622864769818989e-08,1.2027190923690796
virchow,CCRCC,0,nointercept,55849,18371,4,IFI6,0.184701070189476,-1.3983232975006104,1.0491141080856323,-0.1436680406332016,0.6172744035720825,-8.742882329215718e-08,0.8939899802207947
virchow,CCRCC,0,nointercept,55849,18371,4,IRF7,0.10513405501842499,-1.1029939651489258,0.3385846018791199,-0.17619316279888153,0.23679625988006592,-2.1857205823039294e-08,0.33066850900650024
virchow,CCRCC,0,nointercept,55849,18371,4,ISG15,0.2065085917711258,-0.9135961532592773,0.44823187589645386,-0.13724178075790405,0.32549721002578735,-2.1857205823039294e-08,0.4916550815105438
virchow,CCRCC,0,nointercept,55849,18371,4,KRTCAP2,0.10704520344734192,-2.1613247394561768,0.5577914118766785,-0.32384175062179565,0.281703382730484,-8.74288286212277e-09,0.5391302108764648
virchow,CCRCC,0,nointercept,55849,18371,4,LAPTM4B,0.4292977452278137,-0.7916805744171143,0.6766760945320129,-0.02772914059460163,0.5739158987998962,1.748576572424554e-08,0.5353134274482727
virchow,CCRCC,0,nointercept,55849,18371,4,LRRC41,0.3804772198200226,-1.1670243740081787,0.8020090460777283,-0.054605983197689056,0.6136590838432312,-2.622864769818989e-08,0.8226604461669922
virchow,CCRCC,0,nointercept,55849,18371,4,LY6E,0.1440296471118927,-3.7504115104675293,2.319193124771118,-0.40579965710639954,0.926900327205658,-5.027157357062606e-08,1.079782247543335
virchow,CCRCC,0,nointercept,55849,18371,4,NAMPT,0.15120787918567657,-0.9241149425506592,0.5847993493080139,0.01689612679183483,0.5111877918243408,8.74288286212277e-09,0.6358631253242493
virchow,CCRCC,0,nointercept,55849,18371,4,NOL3,0.11514877527952194,-2.3508243560791016,0.7928884029388428,-0.3660372793674469,0.37024691700935364,-3.497153144849108e-08,0.5354296565055847
virchow,CCRCC,0,nointercept,55849,18371,4,NOTCH3,0.18992871046066284,-1.8507728576660156,0.595439076423645,-0.29294896125793457,0.32917729020118713,4.371441431061385e-09,0.5420306921005249
virchow,CCRCC,0,nointercept,55849,18371,4,NT5DC2,0.1342879831790924,-0.7254992723464966,0.2037050724029541,-0.09233105927705765,0.1804121732711792,-8.74288286212277e-09,0.34182968735694885
virchow,CCRCC,0,nointercept,55849,18371,4,PARP10,0.14368677139282227,-1.5954153537750244,0.44107845425605774,-0.23767264187335968,0.27463242411613464,-5.245729539637978e-08,0.5014361143112183
virchow,CCRCC,0,nointercept,55849,18371,4,PTGS1,0.39606812596321106,-0.6668226718902588,0.7042034864425659,-0.023769719526171684,0.5660426020622253,-4.371441431061385e-09,0.3281203508377075
virchow,CCRCC,0,nointercept,55849,18371,4,PXN,0.18764303624629974,-2.2935116291046143,0.9630821943283081,-0.29582056403160095,0.5125220417976379,-8.74288286212277e-09,0.626606285572052
virchow,CCRCC,0,nointercept,55849,18371,4,RXRA,0.10568670928478241,-0.8279883861541748,0.404009073972702,-0.04548276960849762,0.3631996512413025,-1.3114323849094944e-08,0.428512305021286
virchow,CCRCC,0,nointercept,55849,18371,4,S100A9,0.31377747654914856,-0.29561877250671387,0.6206629872322083,0.06973101943731308,0.5041909217834473,-2.622864769818989e-08,0.4433532655239105
virchow,CCRCC,0,nointercept,55849,18371,4,SCARB1,0.504241943359375,-1.3267903327941895,1.0171900987625122,-0.18219654262065887,0.6490933895111084,8.74288286212277e-09,0.6143035888671875
virchow,CCRCC,0,nointercept,55849,18371,4,SEMA4B,0.19052304327487946,-0.9108176231384277,0.4184744954109192,-0.04414918273687363,0.3488627076148987,0.0,0.5149420499801636
virchow,CCRCC,0,nointercept,55849,18371,4,SLC15A4,0.3050529956817627,-0.8480048179626465,0.4680864214897156,-0.05376169830560684,0.42174988985061646,3.0600087796983644e-08,0.5096741318702698
virchow,CCRCC,0,nointercept,55849,18371,4,SLC39A14,0.41430410742759705,-1.1652958393096924,0.9162044525146484,-0.013218274340033531,0.7174714207649231,3.497153144849108e-08,0.7381115555763245
virchow,CCRCC,0,nointercept,55849,18371,4,STK39,0.5342166423797607,-0.8003948926925659,1.0349069833755493,-0.010968590155243874,0.771937370300293,8.74288286212277e-09,0.4193609356880188
virchow,CCRCC,0,nointercept,55849,18371,4,TFRC,0.20579968392848969,-0.6275531053543091,0.370324969291687,0.08035296201705933,0.3642186224460602,0.0,0.5276065468788147
