task,ours,pearson_mean,abs_diff
CCRCC,0.253298986395821,0.2533,1.0136041790342887e-06
COAD,0.3195104573050048,0.3195,1.0457305004818451e-05
HCC,0.0850487358076498,0.085,4.8735807649788465e-05
IDC,0.6024161852430552,0.6024,1.618524305513347e-05
LUNG,0.5778723648190498,0.578,0.00012763518095015858
LYMPH_IDC,0.2773549949171138,0.2774,4.5005082886184766e-05
PAAD,0.4964278171708186,0.4965,7.218282918142194e-05
PRAD,0.378138672709465,0.3782,6.132729053498487e-05
READ,0.24212376651586964,0.242,0.00012376651586964993
SKCM,0.6588365765707567,0.6589,6.342342924336997e-05
