encoder,task,fold,max_abs_intercept_minus_ycentered,max_abs_intercept_minus_nointercept,max_abs_shift_minus_ybar,max_abs_intercept_minus_ycentered_exact,max_abs_intercept_minus_nointercept_exact,max_abs_shift_minus_ybar_exact
hoptimus0,CCRCC,0,0.005160689353942871,1.2152783870697021,0.013195276260375977,1.6689300537109375e-06,1.202650785446167,4.4465065002441406e-05
hoptimus0,CCRCC,1,0.0045114606618881226,1.1418734788894653,0.008728981018066406,2.384185791015625e-06,1.1340409517288208,3.635883331298828e-05
hoptimus0,CCRCC,2,0.0025751590728759766,1.2255759239196777,0.009297013282775879,1.9073486328125e-06,1.2175102233886719,3.0159950256347656e-05
hoptimus0,CCRCC,3,0.002939939498901367,1.1486760377883911,0.009054780006408691,1.6689300537109375e-06,1.1433255672454834,2.6106834411621094e-05
hoptimus0,CCRCC,4,0.003953695297241211,1.1742346286773682,0.013596057891845703,2.1457672119140625e-06,1.1653214693069458,3.9577484130859375e-05
hoptimus0,CCRCC,5,0.004355907440185547,1.1226239204406738,0.00982743501663208,1.9073486328125e-06,1.114330530166626,3.7670135498046875e-05
hoptimus0,COAD,0,0.015072345733642578,4.789582252502441,0.04094839096069336,4.5299530029296875e-06,4.757610321044922,7.295608520507812e-05
hoptimus0,COAD,1,0.006423234939575195,3.7567994594573975,0.03025221824645996,3.814697265625e-06,3.726600170135498,5.2928924560546875e-05
hoptimus0,HCC,0,0.0066321492195129395,1.662484884262085,0.017929911613464355,1.1920928955078125e-06,1.6474002599716187,4.673004150390625e-05
hoptimus0,HCC,1,0.010411500930786133,1.8951326608657837,0.037781715393066406,1.7881393432617188e-06,1.8762764930725098,5.435943603515625e-05
hoptimus0,IDC,0,0.005552053451538086,4.7121477127075195,0.04684162139892578,4.0531158447265625e-06,4.680541038513184,9.012222290039062e-05
hoptimus0,IDC,1,0.00718235969543457,3.9656004905700684,0.03048253059387207,4.76837158203125e-06,3.945225477218628,0.0001385211944580078
hoptimus0,IDC,2,0.005325794219970703,4.335128307342529,0.048946380615234375,4.291534423828125e-06,4.300599575042725,0.000110626220703125
hoptimus0,IDC,3,0.006338834762573242,4.53395414352417,0.039768218994140625,6.318092346191406e-06,4.5144524574279785,0.0001678466796875
hoptimus0,LUNG,0,0.005589008331298828,5.0707597732543945,0.039942264556884766,3.5762786865234375e-06,5.034292221069336,9.965896606445312e-05
hoptimus0,LUNG,1,0.006043434143066406,3.9123075008392334,0.038436174392700195,4.291534423828125e-06,3.885673999786377,7.700920104980469e-05
hoptimus0,LYMPH_IDC,0,0.005872368812561035,1.0857622623443604,0.011864900588989258,1.5497207641601562e-06,1.0772221088409424,2.777576446533203e-05
hoptimus0,LYMPH_IDC,1,0.0038355588912963867,1.1410071849822998,0.007915258407592773,1.3113021850585938e-06,1.1350947618484497,1.621246337890625e-05
hoptimus0,LYMPH_IDC,2,0.00357760488986969,0.8634992241859436,0.0065558552742004395,1.6689300537109375e-06,0.8601159453392029,1.2040138244628906e-05
hoptimus0,LYMPH_IDC,3,0.005312502384185791,0.9603489637374878,0.012465119361877441,1.5497207641601562e-06,0.9544140696525574,2.014636993408203e-05
hoptimus0,PAAD,0,0.0041904449462890625,3.8476829528808594,0.03082871437072754,4.291534423828125e-06,3.820634365081787,6.67572021484375e-05
hoptimus0,PAAD,1,0.0075359344482421875,3.3536229133605957,0.04935288429260254,4.0531158447265625e-06,3.3206875324249268,8.20159912109375e-05
hoptimus0,PAAD,2,0.0056154727935791016,3.6573431491851807,0.027316808700561523,3.0994415283203125e-06,3.6300857067108154,5.936622619628906e-05
hoptimus0,PRAD,0,0.006773948669433594,3.0568904876708984,0.05777859687805176,2.6226043701171875e-06,2.9992215633392334,0.0001518726348876953
hoptimus0,PRAD,1,0.0047266483306884766,2.8120758533477783,0.02129673957824707,2.86102294921875e-06,2.7908387184143066,6.532669067382812e-05
hoptimus0,READ,0,0.007303833961486816,1.1485321521759033,0.01833164691925049,2.6226043701171875e-06,1.1302270889282227,3.254413604736328e-05
hoptimus0,READ,1,0.006440877914428711,0.9571259021759033,0.011582374572753906,1.430511474609375e-06,0.9455584287643433,1.4901161193847656e-05
hoptimus0,SKCM,0,0.005960941314697266,5.335776329040527,0.05885171890258789,4.291534423828125e-06,5.284173011779785,0.00014591217041015625
hoptimus0,SKCM,1,0.008765697479248047,4.833343982696533,0.04075479507446289,5.245208740234375e-06,4.794651508331299,4.00543212890625e-05
