encoder,task,fold,head,n_train,n_test,n_test_samples,gene,pearson,r2,mse,mean_pred,mean_target,train_mean_pred,train_mean_target
uni_v1,CCRCC,0,nointercept,55849,18371,4,AKAP8,0.19345834851264954,-0.8608608245849609,0.3913613259792328,-0.08283201605081558,0.3477015793323517,8.74288286212277e-09,0.35207951068878174
uni_v1,CCRCC,0,nointercept,55849,18371,4,BLVRB,0.13074587285518646,-1.0472450256347656,0.31976720690727234,-0.13361069560050964,0.2520582377910614,-1.748576572424554e-08,0.37015095353126526
uni_v1,CCRCC,0,nointercept,55849,18371,4,BTF3,0.07389581948518753,-2.842568874359131,0.5691518783569336,-0.38342124223709106,0.2396368533372879,-4.808585529758602e-08,0.6006410717964172
uni_v1,CCRCC,0,nointercept,55849,18371,4,CD109,0.32198643684387207,-0.32727038860321045,0.3194749653339386,0.10688794404268265,0.35703882575035095,1.1475033367958076e-08,0.48740237951278687
uni_v1,CCRCC,0,nointercept,55849,18371,4,CD14,-0.03835754841566086,-1.1904160976409912,0.8330457210540771,-0.10918314009904861,0.4735223054885864,1.748576572424554e-08,0.7004610300064087
uni_v1,CCRCC,0,nointercept,55849,18371,4,CHST15,0.13410234451293945,-0.9155071973800659,0.5089500546455383,-0.04476077854633331,0.426510214805603,2.1857207155306924e-09,0.4723576605319977
uni_v1,CCRCC,0,nointercept,55849,18371,4,CIB1,0.1495998650789261,-1.8547089099884033,0.8109689354896545,-0.14266042411327362,0.5336077809333801,-1.748576572424554e-08,0.7433766722679138
uni_v1,CCRCC,0,nointercept,55849,18371,4,CKB,0.1471835821866989,-0.7880920171737671,0.7957003116607666,-0.07847768813371658,0.48686012625694275,-1.5300043898491822e-08,0.5242236852645874
uni_v1,CCRCC,0,nointercept,55849,18371,4,CPD,0.17331767082214355,-1.0028352737426758,0.58509761095047,0.2105545848608017,0.49838611483573914,2.622864769818989e-08,0.5640750527381897
uni_v1,CCRCC,0,nointercept,55849,18371,4,CPE,0.5517234802246094,-0.7295016050338745,1.8154631853103638,0.24065685272216797,1.281748652458191,8.74288286212277e-09,1.101182460784912
uni_v1,CCRCC,0,nointercept,55849,18371,4,DERL1,0.4138462543487549,-0.7771164178848267,0.5602154731750488,0.08458339422941208,0.551719069480896,0.0,0.6185947060585022
uni_v1,CCRCC,0,nointercept,55849,18371,4,DNAJB12,0.029114538803696632,-0.9254069328308105,0.23982003331184387,-0.10564392060041428,0.19344381988048553,2.622864769818989e-08,0.33685410022735596
uni_v1,CCRCC,0,nointercept,55849,18371,4,EGFL7,0.1177138090133667,-1.4004414081573486,0.39856988191604614,-0.20847417414188385,0.25916171073913574,-4.371441431061385e-09,0.4487183690071106
uni_v1,CCRCC,0,nointercept,55849,18371,4,FLNB,0.18082770705223083,-1.4726312160491943,0.8327615261077881,-0.16321533918380737,0.5235467553138733,-8.74288286212277e-09,0.635085940361023
uni_v1,CCRCC,0,nointercept,55849,18371,4,GADD45B,0.19458051025867462,-1.079747200012207,0.7705031633377075,-0.07996971160173416,0.5482276678085327,4.371441431061385e-09,0.5517125129699707
uni_v1,CCRCC,0,nointercept,55849,18371,4,GPNMB,0.09860916435718536,-0.88402259349823,0.6772927641868591,-0.11752216517925262,0.3970940411090851,3.934297154728483e-08,0.5627884268760681
uni_v1,CCRCC,0,nointercept,55849,18371,4,H3F3A,0.08126043528318405,-3.032541275024414,0.6192363500595093,-0.4129207730293274,0.2360963523387909,-1.3114323849094944e-08,0.7055453062057495
uni_v1,CCRCC,0,nointercept,55849,18371,4,HMOX1,0.17903022468090057,-0.4614439010620117,0.7224752306938171,0.021356528624892235,0.5029290914535522,3.497153144849108e-08,0.4311843514442444
uni_v1,CCRCC,0,nointercept,55849,18371,4,HNRNPK,0.09316974878311157,-3.082854747772217,0.848965585231781,-0.40269219875335693,0.3734790086746216,-6.994306289698216e-08,0.8356579542160034
uni_v1,CCRCC,0,nointercept,55849,18371,4,HSPA1A,-0.07402925193309784,-1.1838231086730957,1.6487751007080078,0.14990949630737305,1.035993218421936,5.4643017222133494e-08,0.6820328235626221
uni_v1,CCRCC,0,nointercept,55849,18371,4,HTRA1,0.4617258608341217,-2.390552520751953,2.1061251163482666,-0.21355292201042175,1.0581694841384888,-7.431449944306223e-08,0.9139458537101746
uni_v1,CCRCC,0,nointercept,55849,18371,4,IFI27,0.07297585159540176,-2.7385940551757812,1.6132330894470215,-0.2895174026489258,0.7394761443138123,9.617171059517204e-08,1.2027190923690796
uni_v1,CCRCC,0,nointercept,55849,18371,4,IFI6,0.14175859093666077,-1.4638662338256836,1.0777850151062012,-0.15070952475070953,0.6172744035720825,5.245729539637978e-08,0.8939899802207947
uni_v1,CCRCC,0,nointercept,55849,18371,4,IRF7,0.05585397407412529,-1.147585153579712,0.34576383233070374,-0.17576806247234344,0.23679625988006592,-4.371441431061385e-09,0.33066850900650024
uni_v1,CCRCC,0,nointercept,55849,18371,4,ISG15,0.18495820462703705,-0.7792383432388306,0.41676053404808044,-0.09200736880302429,0.32549721002578735,3.0600087796983644e-08,0.4916550815105438
uni_v1,CCRCC,0,nointercept,55849,18371,4,KRTCAP2,0.16579465568065643,-1.6956532001495361,0.47562724351882935,-0.25074148178100586,0.281703382730484,-3.497153144849108e-08,0.5391302108764648
uni_v1,CCRCC,0,nointercept,55849,18371,4,LAPTM4B,0.4493258595466614,-0.6084425449371338,0.6074713468551636,0.044366270303726196,0.5739158987998962,-8.74288286212277e-09,0.5353134274482727
uni_v1,CCRCC,0,nointercept,55849,18371,4,LRRC41,0.35326293110847473,-0.8617674112319946,0.6890343427658081,0.03822213038802147,0.6136590838432312,2.622864769818989e-08,0.8226604461669922
uni_v1,CCRCC,0,nointercept,55849,18371,4,LY6E,0.0826113224029541,-3.392615795135498,2.1445140838623047,-0.3125862181186676,0.926900327205658,-8.961454511791089e-08,1.079782247543335
uni_v1,CCRCC,0,nointercept,55849,18371,4,NAMPT,0.10885041207075119,-0.8029789924621582,0.5479822754859924,0.08556625992059708,0.5111877918243408,4.371441431061385e-09,0.6358631253242493
uni_v1,CCRCC,0,nointercept,55849,18371,4,NOL3,0.13877998292446136,-2.186716079711914,0.7540563344955444,-0.33803802728652954,0.37024691700935364,-8.74288286212277e-09,0.5354296565055847
uni_v1,CCRCC,0,nointercept,55849,18371,4,NOTCH3,0.2567444443702698,-1.5295164585113525,0.5283384919166565,-0.2408427596092224,0.32917729020118713,1.9671485773642416e-08,0.5420306921005249
uni_v1,CCRCC,0,nointercept,55849,18371,4,NT5DC2,0.08731833845376968,-0.8501088619232178,0.21841594576835632,-0.10959706455469131,0.1804121732711792,-3.0600087796983644e-08,0.34182968735694885
uni_v1,CCRCC,0,nointercept,55849,18371,4,PARP10,0.1056007370352745,-1.6006309986114502,0.4419648349285126,-0.23003391921520233,0.27463242411613464,-2.1857205823039294e-08,0.5014361143112183
uni_v1,CCRCC,0,nointercept,55849,18371,4,PTGS1,0.3299861252307892,-0.8103245496749878,0.7648305296897888,-0.05701218545436859,0.5660426020622253,3.497153144849108e-08,0.3281203508377075
uni_v1,CCRCC,0,nointercept,55849,18371,4,PXN,0.1827324628829956,-2.0471994876861572,0.8910561203956604,-0.24457135796546936,0.5125220417976379,0.0,0.626606285572052
uni_v1,CCRCC,0,nointercept,55849,18371,4,RXRA,0.11412722617387772,-0.8358945846557617,0.4057564437389374,-0.04550192877650261,0.3631996512413025,0.0,0.428512305021286
uni_v1,CCRCC,0,nointercept,55849,18371,4,S100A9,0.22282573580741882,-0.2673156261444092,0.6071044206619263,0.12068784981966019,0.5041909217834473,0.0,0.4433532655239105
uni_v1,CCRCC,0,nointercept,55849,18371,4,SCARB1,0.47964543104171753,-1.0944666862487793,0.9156265258789062,-0.10030151903629303,0.6490933895111084,2.622864769818989e-08,0.6143035888671875
uni_v1,CCRCC,0,nointercept,55849,18371,4,SEMA4B,0.19719108939170837,-0.853756308555603,0.40597790479660034,-0.016415247693657875,0.3488627076148987,-4.371441431061385e-09,0.5149420499801636
uni_v1,CCRCC,0,nointercept,55849,18371,4,SLC15A4,0.29885149002075195,-0.6573166847229004,0.4197864830493927,0.025338858366012573,0.42174988985061646,5.682873549517353e-08,0.5096741318702698
uni_v1,CCRCC,0,nointercept,55849,18371,4,SLC39A14,0.4313373863697052,-0.9818943738937378,0.8386015295982361,0.03066937066614628,0.7174714207649231,6.994306289698216e-08,0.7381115555763245
uni_v1,CCRCC,0,nointercept,55849,18371,4,STK39,0.5260016322135925,-0.6739976406097412,0.9622510075569153,0.03511006012558937,0.771937370300293,1.748576572424554e-08,0.4193609356880188
uni_v1,CCRCC,0,nointercept,55849,18371,4,TFRC,0.20239593088626862,-0.7177603244781494,0.3908502161502838,0.13765573501586914,0.3642186224460602,0.0,0.5276065468788147
uni_v1,CCRCC,0,nointercept,55849,18371,4,TM2D3,0.16340060532093048,-0.7211136817932129,0.3013601303100586,-0.04617976397275925,0.2904095947742462,1.748576572424554e-08,0.31546756625175476
uni_v1,CCRCC,0,nointercept,55849,18371,4,TMEM91,0.4624117612838745,-0.6658183336257935,0.551860511302948,0.01811404712498188,0.5503664016723633,2.622864769818989e-08,0.4913979470729828
uni_v1,CCRCC,0,nointercept,55849,18371,4,TP53INP1,0.13417653739452362,-0.7725448608398438,0.44549423456192017,-0.05776728689670563,0.38048461079597473,0.0,0.3533923029899597
uni_v1,CCRCC,0,nointercept,55849,18371,4,TRBC1,0.19184093177318573,-0.6138273477554321,0.4072493314743042,-0.021622681990265846,0.3617956340312958,0.0,0.5053873062133789
uni_v1,CCRCC,0,nointercept,55849,18371,4,VMP1,0.1310923993587494,-3.0890417098999023,1.1141505241394043,-0.35917118191719055,0.5287051200866699,-2.622864769818989e-08,0.9123802185058594
uni_v1,CCRCC,0,nointercept,55849,18371,4,YWHAE,0.033487383276224136,-3.3334546089172363,0.5875839591026306,-0.4195154309272766,0.21967053413391113,-7.431449944306223e-08,0.6586275100708008
uni_v1,CCRCC,0,intercept,55849,18371,4,AKAP8,0.19349639117717743,-0.009002685546875,0.21220535039901733,0.26889628171920776,0.3477015793323517,0.35211071372032166,0.35207951068878174
uni_v1,CCRCC,0,intercept,55849,18371,4,BLVRB,0.13059628009796143,-0.09709513187408447,0.171359583735466,0.2368052750825882,0.2520582377910614,0.37018102407455444,0.37015095353126526
uni_v1,CCRCC,0,intercept,55849,18371,4,BTF3,0.07436925172805786,-0.22539913654327393,0.18150313198566437,0.21750709414482117,0.2396368533372879,0.60064697265625,0.6006410717964172
uni_v1,CCRCC,0,intercept,55849,18371,4,CD109,0.32194867730140686,-0.30131256580352783,0.3132269084453583,0.5941908359527588,0.35703882575035095,0.4874054193496704,0.48740237951278687
uni_v1,CCRCC,0,intercept,55849,18371,4,CD14,-0.038051992654800415,-0.3343329429626465,0.5074653625488281,0.5917336940765381,0.4735223054885864,0.7003998756408691,0.7004610300064087
uni_v1,CCRCC,0,intercept,55849,18371,4,CHST15,0.13410595059394836,-0.07960283756256104,0.28685036301612854,0.4275520145893097,0.426510214805603,0.4723750650882721,0.4723576605319977
uni_v1,CCRCC,0,intercept,55849,18371,4,CIB1,0.14945782721042633,-0.26082491874694824,0.358176589012146,0.600075364112854,0.5336077809333801,0.7432951331138611,0.7433766722679138
uni_v1,CCRCC,0,intercept,55849,18371,4,CKB,0.14723119139671326,-0.07358503341674805,0.4777449369430542,0.44582638144493103,0.48686012625694275,0.5242347717285156,0.5242236852645874
