task,ours,pearson_mean,abs_diff
CCRCC,0.2176271729155754,0.218,0.00037282708442459844
COAD,0.2485549369920045,0.2488,0.000245063007995483
HCC,0.05131988203167566,0.0514,8.011796832434193e-05
IDC,0.5364028539834544,0.5363,0.00010285398345444285
LUNG,0.5324404819309712,0.5321,0.0003404819309711371
LYMPH_IDC,0.25061630887794306,0.2507,8.369112205691698e-05
PAAD,0.4465599396824837,0.4467,0.00014006031751628845
PRAD,0.35468183144927024,0.3548,0.00011816855072976917
READ,0.16021741401986217,0.1602,1.7414019862160846e-05
SKCM,0.5789783496409655,0.5789,7.834964096553598e-05
