,dataset,uni_v2_mean,uni_v2_std
0,IDC,0.54835,0.07772623430991622
1,PRAD,0.39125,0.007349999999999995
2,PAAD,0.45376666666666665,0.056111931787177736
3,SKCM,0.60345,0.031450000000000033
4,COAD,0.32835000000000003,0.018049999999999983
5,READ,0.16465,0.06645
6,CCRCC,0.2292833333333333,0.035068999447121704
7,LUNG,0.5626,0.005599999999999994
8,LYMPH_IDC,0.2575,0.052502618982294594
9,HCC,0.0698,0.014499999999999999
