,dataset,ctranspath_mean,ctranspath_std
0,IDC,0.475525,0.05363843654507464
1,PRAD,0.3634,0.027100000000000013
2,PAAD,0.42746666666666666,0.06571444962022346
3,SKCM,0.5257499999999999,0.07405
4,COAD,0.2953,0.008699999999999986
5,READ,0.06484999999999999,0.08815
6,CCRCC,0.18896666666666664,0.038438551250303675
7,LUNG,0.5367500000000001,0.011550000000000005
8,LYMPH_IDC,0.23902500000000002,0.0576068301072017
9,HCC,0.0444,0.0051
