sample_id,status,n_patches,seconds
NCBI783,cached,3501,0.0
NCBI784,cached,2901,0.0
NCBI785,cached,4074,0.0
TENX191,cached,4949,0.0
TENX192,cached,6347,0.0
TENX193,cached,8021,0.0
TENX195,cached,6254,0.0
TENX196,cached,9103,0.0
TENX197,cached,9119,0.0
TENX198,cached,7221,0.0
TENX199,cached,2259,0.0
TENX200,cached,4657,0.0
TENX201,cached,5488,0.0
TENX202,cached,4291,0.0
TENX95,cached,7592,0.0
TENX97,written,7718,50.2
TENX98,written,20289,127.1
TENX99,written,20549,129.7
