encoder,task,label_set,design,fold,repeat,cal_draw,n_T,n_C,n_E,overlap_T_C,overlap_T_E,overlap_C_E,disjoint,scaler_pca_fit_rows_equal_T,n_samples_seen,pca_n_samples,max_abs_scaler_mean_minus_T,max_abs_scaler_var_minus_T,max_abs_pca_mean_minus_T
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND139,-1,0,46244,6465,3749,0,0,0,True,True,46244,46244,0.0,0.0,0.0
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND139,-1,1,46244,5828,3749,0,0,0,True,True,46244,46244,0.0,0.0,0.0
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND139,-1,2,46244,7269,3749,0,0,0,True,True,46244,46244,0.0,0.0,0.0
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND140,-1,0,46244,6744,1935,0,0,0,True,True,46244,46244,0.0,0.0,0.0
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND140,-1,1,46244,5926,1935,0,0,0,True,True,46244,46244,0.0,0.0,0.0
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND140,-1,2,46244,5828,1935,0,0,0,True,True,46244,46244,0.0,0.0,0.0
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND141,-1,0,46244,7046,1794,0,0,0,True,True,46244,46244,0.0,0.0,0.0
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND141,-1,1,46244,6815,1794,0,0,0,True,True,46244,46244,0.0,0.0,0.0
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND141,-1,2,46244,5828,1794,0,0,0,True,True,46244,46244,0.0,0.0,0.0
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND142,-1,0,46244,6646,2997,0,0,0,True,True,46244,46244,0.0,0.0,0.0
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND142,-1,1,46244,6465,2997,0,0,0,True,True,46244,46244,0.0,0.0,0.0
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND142,-1,2,46244,6744,2997,0,0,0,True,True,46244,46244,0.0,0.0,0.0
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND143,-1,0,46244,7633,3816,0,0,0,True,True,46244,46244,0.0,0.0,0.0
