encoder,task,label_set,design,arm,fold,slide,n_genes,n_test,coverage,width_mean,sum_miss_above,sum_miss_below,abs_b_over_sy,b_over_sy_signed,log_w_ratio,w_star_over_w_hat,w_hat,calibration_unit,miss_asymmetry,shortfall,group,uses_test_labels,scope,n,r2,intercept,coef_level,t_level,p_level,share_level,coef_scale,t_scale,p_scale,share_scale,n_tasks,n_folds,mean_shortfall,mean_abs_b_over_sy,mean_miss_asymmetry,mean_w_star_over_w_hat,superseded_label_set
hoptimus0,CCRCC,shipped,donor,a1,INT1,INT1,50.0,1084.0,0.7575461254612545,2.012050302558845,4.059040590405904,32.30904059040591,1.3185290368481093,-0.3918529033351208,-0.0014379106698391665,1.0399600408230059,1.0060251512794223,donor,-0.7767800522537605,0.14245387453874547,A1_unit_calibrated,True,slide,,,,,,,,,,,,,,,,,,False
hoptimus0,CCRCC,shipped,donor,a1,INT10,INT10,50.0,1983.0,0.8118440073962011,2.0827806829682802,26.911749873928393,1.3116490166414523,0.4202092880090406,0.3316513365380231,0.1531575116774249,1.1934877060269449,1.0413903414841401,donor,0.9070523701466935,0.08815599260379892,A1_unit_calibrated,True,slide,,,,,,,,,,,,,,,,,,False
hoptimus0,CCRCC,shipped,donor,a1,INT11,INT11,50.0,1439.0,0.7897567755385685,2.0161141857000096,8.988186240444753,22.548297428769978,0.596979321506075,-0.1848730277708338,0.1453415186653579,1.1673251286694017,1.0080570928500048,donor,-0.4299817104074392,0.11024322446143153,A1_unit_calibrated,True,slide,,,,,,,,,,,,,,,,,,False
hoptimus0,CCRCC,shipped,donor,a1,INT12,INT12,50.0,1451.0,0.8158603262118079,2.1033395451440686,2.5444521019986217,25.076498966230186,0.7920882543590293,-0.37161412335193544,0.06424803263471637,1.0746740434163244,1.0516697725720343,donor,-0.815759269424622,0.0841396737881921,A1_unit_calibrated,True,slide,,,,,,,,,,,,,,,,,,False
hoptimus0,CCRCC,shipped,donor,a1,INT13,INT13,50.0,4359.0,0.8976386021258698,2.1214283456708967,14.015370497820602,1.3388391832989217,0.3670667502189018,0.1548907030592308,-0.07666763454885266,0.9433124596880643,1.0607141728354483,donor,0.8256062394477731,0.0023613978741302555,A1_unit_calibrated,True,slide,,,,,,,,,,,,,,,,,,False
hoptimus0,CCRCC,shipped,donor,a1,INT14,INT14,50.0,4562.0,0.9651395586730965,2.137279780100175,4.763700131521262,0.46536606751424814,0.24215051215257857,0.000281530176221616,-0.33695277374975713,0.7147242315910629,1.0686398900500875,donor,0.8220079647872565,-0.06513955867309651,A1_unit_calibrated,True,slide,,,,,,,,,,,,,,,,,,False
hoptimus0,CCRCC,shipped,donor,a1,INT15,INT15,50.0,4940.0,0.9195060728744939,2.0491498473506096,9.16842105263158,2.905668016194332,0.37679546961526417,0.03187282441880247,-0.16527436886275793,0.8476684120895533,1.0245749236753048,donor,0.5186936257251116,-0.019506072874493907,A1_unit_calibrated,True,slide,,,,,,,,,,,,,,,,,,False
hoptimus0,CCRCC,shipped,donor,a1,INT16,INT16,50.0,3206.0,0.9160677895612392,1.9713683387357275,10.755770430442919,1.834061135371179,0.37670789533819105,0.0864656596163612,-0.1500763250647676,0.8935535941239252,0.9856841693678637,donor,0.7086440551990684,-0.01606778956123922,A1_unit_calibrated,True,slide,,,,,,,,,,,,,,,,,,False
hoptimus0,CCRCC,shipped,donor,a1,INT17,INT17,50.0,3585.0,0.9427466294746629,1.9732452181966873,5.6251046025104605,2.9629009762900975,0.44846566962521894,-0.08906040711600811,-0.2169320789007555,0.8147277802989062,0.9866226090983437,donor,0.309990905547616,-0.0427466294746629,A1_unit_calibrated,True,slide,,,,,,,,,,,,,,,,,,False
hoptimus0,CCRCC,shipped,donor,a1,INT18,INT18,50.0,4915.0,0.8734825364530349,2.2352787763740976,14.327975584944049,4.649643947100712,0.5198420351539703,0.1518055885608932,-0.06646110106701211,0.9576411131028151,1.1176393881870488,donor,0.5099865987670865,0.02651746354696516,A1_unit_calibrated,True,slide,,,,,,,,,,,,,,,,,,False
