encoder,task,label_set,design,fold,repeat,cal_draw,calibration_unit,n_units_in_pool,n_cal_units,n_cal_spots,n_cal_slides,n_pool_spots,n_train_natural,n_train_matched,n_match_target,n_train_buffer_dropped,n_blocks_total,n_test,n_test_slides,test_slides,cal_slides,cal_shares_donor_with_test,cal_shares_session_with_test,cal_shares_resolution_group_with_test,cal_shares_exact_session_with_test,cal_status,size_match
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND139,-1,0,slide,8,2,6465,2,58961,52496,46244,46244,0,,3749,1,MEND139,MEND159;MEND162,False,False,False,False,ok,task
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND139,-1,1,slide,8,2,5828,2,58961,53133,46244,46244,0,,3749,1,MEND139,MEND154;MEND158,False,False,False,False,ok,task
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND139,-1,2,slide,8,2,7269,2,58961,51692,46244,46244,0,,3749,1,MEND139,MEND157;MEND160,False,False,False,False,ok,task
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND140,-1,0,slide,8,2,6744,2,60775,54031,46244,46244,0,,1935,1,MEND140,MEND156;MEND157,False,False,False,False,ok,task
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND140,-1,1,slide,8,2,5926,2,60775,54849,46244,46244,0,,1935,1,MEND140,MEND154;MEND157,False,False,False,False,ok,task
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND140,-1,2,slide,8,2,5828,2,60775,54947,46244,46244,0,,1935,1,MEND140,MEND154;MEND158,False,False,False,False,ok,task
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND141,-1,0,slide,8,2,7046,2,60916,53870,46244,46244,0,,1794,1,MEND141,MEND157;MEND159,False,False,False,False,ok,task
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND141,-1,1,slide,8,2,6815,2,60916,54101,46244,46244,0,,1794,1,MEND141,MEND154;MEND160,False,False,False,False,ok,task
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND141,-1,2,slide,8,2,5828,2,60916,55088,46244,46244,0,,1794,1,MEND141,MEND154;MEND158,False,False,False,False,ok,task
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND142,-1,0,slide,8,2,6646,2,59713,53067,46244,46244,0,,2997,1,MEND142,MEND156;MEND158,False,False,False,False,ok,task
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND142,-1,1,slide,8,2,6465,2,59713,53248,46244,46244,0,,2997,1,MEND142,MEND159;MEND162,False,False,False,False,ok,task
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND142,-1,2,slide,8,2,6744,2,59713,52969,46244,46244,0,,2997,1,MEND142,MEND156;MEND157,False,False,False,False,ok,task
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND143,-1,0,slide,8,2,7633,2,58894,51261,46244,46244,0,,3816,1,MEND143,MEND156;MEND160,False,False,False,False,ok,task
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND143,-1,1,slide,8,2,5965,2,58894,52929,46244,46244,0,,3816,1,MEND143,MEND157;MEND161,False,False,False,False,ok,task
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND143,-1,2,slide,8,2,6290,2,58894,52604,46244,46244,0,,3816,1,MEND143,MEND154;MEND156,False,False,False,False,ok,task
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND144,-1,0,slide,8,2,6631,2,58636,52005,46244,46244,0,,4074,1,MEND144,MEND159;MEND161,False,False,False,False,ok,task
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND144,-1,1,slide,8,2,5926,2,58636,52710,46244,46244,0,,4074,1,MEND144,MEND154;MEND157,False,False,False,False,ok,task
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND144,-1,2,slide,8,2,6688,2,58636,51948,46244,46244,0,,4074,1,MEND144,MEND160;MEND162,False,False,False,False,ok,task
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND145,-1,0,slide,8,2,7269,2,61292,54023,46244,46244,0,,1418,1,MEND145,MEND157;MEND160,False,False,False,False,ok,task
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND145,-1,1,slide,8,2,6646,2,61292,54646,46244,46244,0,,1418,1,MEND145,MEND156;MEND158,False,False,False,False,ok,task
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND145,-1,2,slide,8,2,6163,2,61292,55129,46244,46244,0,,1418,1,MEND145,MEND156;MEND162,False,False,False,False,ok,task
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND146,-1,0,slide,8,2,5828,2,60746,54918,46244,46244,0,,1964,1,MEND146,MEND154;MEND158,False,False,False,False,ok,task
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND146,-1,1,slide,8,2,5701,2,60746,55045,46244,46244,0,,1964,1,MEND146,MEND158;MEND162,False,False,False,False,ok,task
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND146,-1,2,slide,8,2,6290,2,60746,54456,46244,46244,0,,1964,1,MEND146,MEND154;MEND156,False,False,False,False,ok,task
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND147,-1,0,slide,8,2,6290,2,60375,54085,46244,46244,0,,2335,1,MEND147,MEND154;MEND156,False,False,False,False,ok,task
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND147,-1,1,slide,8,2,6592,2,60375,53783,46244,46244,0,,2335,1,MEND147,MEND154;MEND159,False,False,False,False,ok,task
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND147,-1,2,slide,8,2,5511,2,60375,54864,46244,46244,0,,2335,1,MEND147,MEND154;MEND161,False,False,False,False,ok,task
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND148,-1,0,slide,8,2,6948,2,61077,54129,46244,46244,0,,1633,1,MEND148,MEND158;MEND159,False,False,False,False,ok,task
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND148,-1,1,slide,8,2,6688,2,61077,54389,46244,46244,0,,1633,1,MEND148,MEND160;MEND162,False,False,False,False,ok,task
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND148,-1,2,slide,8,2,5799,2,61077,55278,46244,46244,0,,1633,1,MEND148,MEND157;MEND162,False,False,False,False,ok,task
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND149,-1,0,slide,8,2,6163,2,60859,54696,46244,46244,0,,1851,1,MEND149,MEND156;MEND162,False,False,False,False,ok,task
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND149,-1,1,slide,8,2,6815,2,60859,54044,46244,46244,0,,1851,1,MEND149,MEND154;MEND160,False,False,False,False,ok,task
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND149,-1,2,slide,8,2,6329,2,60859,54530,46244,46244,0,,1851,1,MEND149,MEND156;MEND161,False,False,False,False,ok,task
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND150,-1,0,slide,8,2,6646,2,60959,54313,46244,46244,0,,1751,1,MEND150,MEND156;MEND158,False,False,False,False,ok,task
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND150,-1,1,slide,8,2,5867,2,60959,55092,46244,46244,0,,1751,1,MEND150,MEND158;MEND161,False,False,False,False,ok,task
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND150,-1,2,slide,8,2,5828,2,60959,55131,46244,46244,0,,1751,1,MEND150,MEND154;MEND158,False,False,False,False,ok,task
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND151,-1,0,slide,8,2,6282,2,60110,53828,46244,46244,0,,2600,1,MEND151,MEND157;MEND158,False,False,False,False,ok,task
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND151,-1,1,slide,8,2,5701,2,60110,54409,46244,46244,0,,2600,1,MEND151,MEND158;MEND162,False,False,False,False,ok,task
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND151,-1,2,slide,8,2,5965,2,60110,54145,46244,46244,0,,2600,1,MEND151,MEND157;MEND161,False,False,False,False,ok,task
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND152,-1,0,slide,8,2,6592,2,59628,53036,46244,46244,0,,3082,1,MEND152,MEND154;MEND159,False,False,False,False,ok,task
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND152,-1,1,slide,8,2,6948,2,59628,52680,46244,46244,0,,3082,1,MEND152,MEND158;MEND159,False,False,False,False,ok,task
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND152,-1,2,slide,8,2,5799,2,59628,53829,46244,46244,0,,3082,1,MEND152,MEND157;MEND162,False,False,False,False,ok,task
