task,label_set,encoder,design,score,fold,stratum_kind,stratum_value,n_spot_gene,n_covered,coverage,width_mean,pred_mean,superseded_label_set
CCRCC,shipped,resnet50,patient,abs,0,predicted_value_decile,0,290417,269428,0.9277280599964878,2.6012659072875977,-0.009892245754599571,False
CCRCC,shipped,resnet50,patient,abs,0,predicted_value_decile,1,324464,309408,0.9535973174219636,2.5995445251464844,0.18194863200187683,False
CCRCC,shipped,resnet50,patient,abs,0,predicted_value_decile,2,335331,321495,0.9587392755217978,2.5889077186584473,0.2821645438671112,False
CCRCC,shipped,resnet50,patient,abs,0,predicted_value_decile,3,334622,322842,0.9647960982840339,2.571218490600586,0.3651955723762512,False
CCRCC,shipped,resnet50,patient,abs,0,predicted_value_decile,4,326347,315130,0.9656286100377819,2.5548596382141113,0.4449898302555084,False
CCRCC,shipped,resnet50,patient,abs,0,predicted_value_decile,5,313383,303030,0.9669637472358105,2.536249876022339,0.5279207825660706,False
CCRCC,shipped,resnet50,patient,abs,0,predicted_value_decile,6,290554,281529,0.9689386482375049,2.509072780609131,0.624139130115509,False
CCRCC,shipped,resnet50,patient,abs,0,predicted_value_decile,7,251801,244982,0.972919090869377,2.4898476600646973,0.7478575706481934,False
CCRCC,shipped,resnet50,patient,abs,0,predicted_value_decile,8,190641,179629,0.9422369794535278,2.475123167037964,0.915065348148346,False
CCRCC,shipped,resnet50,patient,abs,0,predicted_value_decile,9,98090,79620,0.81170353756754,2.3764731884002686,1.1933385133743286,False
CCRCC,shipped,resnet50,patient,abs,1,predicted_value_decile,0,36907,33642,0.9115343972688108,2.11181902885437,0.00948961079120636,False
CCRCC,shipped,resnet50,patient,abs,1,predicted_value_decile,1,34169,31640,0.9259855424507595,2.1742103099823,0.21104870736598969,False
CCRCC,shipped,resnet50,patient,abs,1,predicted_value_decile,2,34537,31990,0.9262530040246691,2.1885826587677,0.314054936170578,False
CCRCC,shipped,resnet50,patient,abs,1,predicted_value_decile,3,36405,33611,0.923252300508172,2.1920628547668457,0.39850711822509766,False
CCRCC,shipped,resnet50,patient,abs,1,predicted_value_decile,4,40731,37638,0.9240627531855343,2.196167469024658,0.47832560539245605,False
CCRCC,shipped,resnet50,patient,abs,1,predicted_value_decile,5,47937,44290,0.9239209796190834,2.213313102722168,0.5647922158241272,False
CCRCC,shipped,resnet50,patient,abs,1,predicted_value_decile,6,61818,57146,0.9244233071273739,2.2244527339935303,0.6594536304473877,False
CCRCC,shipped,resnet50,patient,abs,1,predicted_value_decile,7,90632,82442,0.9096345661576485,2.1840920448303223,0.7710045576095581,False
CCRCC,shipped,resnet50,patient,abs,1,predicted_value_decile,8,163035,134436,0.8245836783512742,2.094276189804077,0.9528159499168396,False
CCRCC,shipped,resnet50,patient,abs,1,predicted_value_decile,9,439179,265196,0.6038449015094073,1.8956353664398193,1.5010738372802734,False
CCRCC,shipped,resnet50,patient,abs,2,predicted_value_decile,0,114459,90141,0.7875396430162765,2.3550093173980713,0.015492971986532211,False
