task,label_set,encoder,design,score,fold,stratum_kind,stratum_value,n_spot_gene,n_covered,coverage,width_mean,pred_mean,superseded_label_set
IDC,audited,uni_v2,slide_out,abs,NCBI785,predicted_value_decile,2,62903,49247,0.7829038360650525,3.6518256664276123,1.2088639736175537,True
IDC,audited,uni_v2,slide_out,abs,NCBI785,predicted_value_decile,3,61569,51035,0.8289074047004175,3.748406171798706,1.4488121271133423,True
IDC,audited,uni_v2,slide_out,abs,NCBI785,predicted_value_decile,4,51668,41853,0.8100371603313463,3.699831485748291,1.568690538406372,True
IDC,audited,uni_v2,slide_out,abs,NCBI785,predicted_value_decile,5,50584,40293,0.7965562233117192,3.912623167037964,1.8058526515960693,True
IDC,audited,uni_v2,slide_out,abs,NCBI785,predicted_value_decile,6,54209,40458,0.746333634636315,3.87910532951355,2.1371331214904785,True
IDC,audited,uni_v2,slide_out,abs,NCBI785,predicted_value_decile,7,54224,38636,0.7125258188256123,3.770949363708496,2.345015287399292,True
IDC,audited,uni_v2,slide_out,abs,NCBI785,predicted_value_decile,8,57844,38736,0.6696632321416223,3.6503262519836426,2.5841760635375977,True
IDC,audited,uni_v2,slide_out,abs,NCBI785,predicted_value_decile,9,73562,47857,0.6505668687637639,3.539559841156006,3.297041416168213,True
IDC,audited,uni_v2,slide_out,abs,TENX95,predicted_value_decile,0,130431,102786,0.7880488534167491,4.903066158294678,0.4979708790779114,True
IDC,audited,uni_v2,slide_out,abs,TENX95,predicted_value_decile,1,111641,86892,0.7783162099945361,4.5569539070129395,0.8679384589195251,True
IDC,audited,uni_v2,slide_out,abs,TENX95,predicted_value_decile,2,105674,88674,0.8391278838692583,4.406045913696289,1.071831464767456,True
IDC,audited,uni_v2,slide_out,abs,TENX95,predicted_value_decile,3,107836,94219,0.8737249156125969,4.299709320068359,1.3216712474822998,True
IDC,audited,uni_v2,slide_out,abs,TENX95,predicted_value_decile,4,109966,96889,0.8810814251677791,4.323105812072754,1.5616517066955566,True
IDC,audited,uni_v2,slide_out,abs,TENX95,predicted_value_decile,5,111411,99642,0.8943641112636993,4.3462090492248535,1.8204140663146973,True
IDC,audited,uni_v2,slide_out,abs,TENX95,predicted_value_decile,6,108163,99261,0.9176982886939157,4.294902324676514,2.0938780307769775,True
IDC,audited,uni_v2,slide_out,abs,TENX95,predicted_value_decile,7,106667,100044,0.9379095690325968,4.261227130889893,2.325082778930664,True
IDC,audited,uni_v2,slide_out,abs,TENX95,predicted_value_decile,8,115947,108430,0.9351686546439322,4.2016401290893555,2.495469093322754,True
IDC,audited,uni_v2,slide_out,abs,TENX95,predicted_value_decile,9,156264,139163,0.8905634055188655,4.048399448394775,3.153181314468384,True
IDC,audited,uni_v2,slide_out,abs,TENX99,predicted_value_decile,0,268146,256927,0.9581608526698142,4.078710556030273,0.4287000000476837,True
IDC,audited,uni_v2,slide_out,abs,TENX99,predicted_value_decile,1,299788,285222,0.9514123313808425,4.13222599029541,0.867651641368866,True
IDC,audited,uni_v2,slide_out,abs,TENX99,predicted_value_decile,2,316563,297201,0.9388368192113418,4.103291988372803,1.1248935461044312,True
IDC,audited,uni_v2,slide_out,abs,TENX99,predicted_value_decile,3,321674,291320,0.9056373844326865,3.925821542739868,1.3564438819885254,True
IDC,audited,uni_v2,slide_out,abs,TENX99,predicted_value_decile,4,334351,293385,0.8774760655718092,3.9011428356170654,1.6006397008895874,True
IDC,audited,uni_v2,slide_out,abs,TENX99,predicted_value_decile,5,338380,289977,0.8569566759264732,3.8024978637695312,1.818432331085205,True
IDC,audited,uni_v2,slide_out,abs,TENX99,predicted_value_decile,6,339342,281253,0.8288187138638895,3.70288348197937,2.0379443168640137,True
IDC,audited,uni_v2,slide_out,abs,TENX99,predicted_value_decile,7,341263,273439,0.8012559228512907,3.720165252685547,2.3476552963256836,True
IDC,audited,uni_v2,slide_out,abs,TENX99,predicted_value_decile,8,324634,248858,0.7665802103291707,3.8425464630126953,2.8011868000030518,True
IDC,audited,uni_v2,slide_out,abs,TENX99,predicted_value_decile,9,230009,150899,0.656056936902469,4.100395202636719,3.6681337356567383,True
IDC,audited,uni_v2,slide_out,abs,NCBI783,neoplastic_fraction_tertile,1,320400,290913,0.9079681647940074,4.240603923797607,1.626099705696106,True
IDC,audited,uni_v2,slide_out,abs,NCBI783,neoplastic_fraction_tertile,2,117600,102431,0.8710119047619047,4.240603923797607,2.0647084712982178,True
IDC,audited,uni_v2,slide_out,abs,NCBI785,neoplastic_fraction_tertile,1,368250,275695,0.7486625933469111,3.598810911178589,1.5818133354187012,True
IDC,audited,uni_v2,slide_out,abs,NCBI785,neoplastic_fraction_tertile,2,222750,154811,0.6949988776655444,3.598810911178589,2.184565305709839,True
IDC,audited,uni_v2,slide_out,abs,TENX95,neoplastic_fraction_tertile,1,668700,590597,0.8832017347091371,4.360826015472412,1.6400725841522217,True
IDC,audited,uni_v2,slide_out,abs,TENX95,neoplastic_fraction_tertile,2,475500,406059,0.8539621451104101,4.360826015472412,1.9882832765579224,True
IDC,audited,uni_v2,slide_out,abs,TENX99,neoplastic_fraction_tertile,1,2135550,1843507,0.8632469387277282,3.918229579925537,1.6522167921066284,True
IDC,audited,uni_v2,slide_out,abs,TENX99,neoplastic_fraction_tertile,2,931200,780337,0.837990764604811,3.918229818344116,2.148709535598755,True
