task,label_set,encoder,design,score,fold,stratum_kind,stratum_value,n_spot_gene,n_covered,coverage,width_mean,pred_mean,scope,n_folds
CCRCC,shipped,hoptimus0,patient,abs,3,predicted_value_decile,1,35722,31922,0.8936229774368737,2.023689985275269,0.195474311709404,fold,
CCRCC,shipped,hoptimus0,patient,abs,3,predicted_value_decile,2,53043,47090,0.8877702995682748,1.976237177848816,0.2785772383213043,fold,
CCRCC,shipped,hoptimus0,patient,abs,3,predicted_value_decile,3,70014,61679,0.8809523809523809,1.9605480432510376,0.3565368950366974,fold,
CCRCC,shipped,hoptimus0,patient,abs,3,predicted_value_decile,4,87815,75966,0.8650686101463304,1.9557955265045168,0.4378800690174103,fold,
CCRCC,shipped,hoptimus0,patient,abs,3,predicted_value_decile,5,106741,91176,0.8541797434912546,1.9608420133590696,0.5256150364875793,fold,
CCRCC,shipped,hoptimus0,patient,abs,3,predicted_value_decile,6,125060,105330,0.8422357268511115,1.95340633392334,0.620972216129303,fold,
CCRCC,shipped,hoptimus0,patient,abs,3,predicted_value_decile,7,158635,126535,0.7976486903898887,1.9143797159194944,0.7373252511024475,fold,
CCRCC,shipped,hoptimus0,patient,abs,3,predicted_value_decile,8,238871,157890,0.6609843806908331,1.884031057357788,0.9703809022903442,fold,
CCRCC,shipped,hoptimus0,patient,abs,3,predicted_value_decile,9,175319,85867,0.4897757801493278,1.8430265188217163,1.3337392807006836,fold,
CCRCC,shipped,hoptimus0,patient,abs,4,predicted_value_decile,0,155680,148947,0.9567510277492292,2.190558671951294,-0.0002877583319786,fold,
CCRCC,shipped,hoptimus0,patient,abs,4,predicted_value_decile,1,190666,182935,0.9594526554288652,2.241908073425293,0.1737717241048813,fold,
CCRCC,shipped,hoptimus0,patient,abs,4,predicted_value_decile,2,212140,202777,0.9558640520411048,2.237245798110962,0.2743906676769256,fold,
CCRCC,shipped,hoptimus0,patient,abs,4,predicted_value_decile,3,227639,215802,0.9480010015858442,2.2164347171783447,0.357655793428421,fold,
CCRCC,shipped,hoptimus0,patient,abs,4,predicted_value_decile,4,241602,227807,0.9429019627320966,2.191896438598633,0.4341952800750732,fold,
CCRCC,shipped,hoptimus0,patient,abs,4,predicted_value_decile,5,262795,248131,0.94419985159535,2.1803619861602783,0.5117104053497314,fold,
CCRCC,shipped,hoptimus0,patient,abs,4,predicted_value_decile,6,286000,271086,0.9478531468531468,2.17905330657959,0.6007447242736816,fold,
CCRCC,shipped,hoptimus0,patient,abs,4,predicted_value_decile,7,276982,260848,0.9417507274840964,2.173032283782959,0.7221296429634094,fold,
CCRCC,shipped,hoptimus0,patient,abs,4,predicted_value_decile,8,209108,188992,0.9038009067084952,2.170124053955078,0.9082456827163696,fold,
CCRCC,shipped,hoptimus0,patient,abs,4,predicted_value_decile,9,149588,102505,0.6852488167500067,2.117865800857544,1.2313930988311768,fold,
CCRCC,shipped,hoptimus0,patient,abs,5,predicted_value_decile,0,379117,362971,0.9574115642400632,2.2726285457611084,-0.0234414618462324,fold,
CCRCC,shipped,hoptimus0,patient,abs,5,predicted_value_decile,1,319030,307281,0.9631727423753252,2.347905158996582,0.1757987886667251,fold,
CCRCC,shipped,hoptimus0,patient,abs,5,predicted_value_decile,2,292944,282647,0.9648499371893604,2.369277000427246,0.277238667011261,fold,
CCRCC,shipped,hoptimus0,patient,abs,5,predicted_value_decile,3,272210,263032,0.9662833841519416,2.372006893157959,0.3595274984836578,fold,
CCRCC,shipped,hoptimus0,patient,abs,5,predicted_value_decile,4,255839,247627,0.9679016881710764,2.37399959564209,0.4366512894630432,fold,
CCRCC,shipped,hoptimus0,patient,abs,5,predicted_value_decile,5,239595,231490,0.9661720820551348,2.3752191066741943,0.5167981386184692,fold,
CCRCC,shipped,hoptimus0,patient,abs,5,predicted_value_decile,6,224647,216534,0.9638855626827868,2.3545897006988525,0.6039015054702759,fold,
CCRCC,shipped,hoptimus0,patient,abs,5,predicted_value_decile,7,198290,188891,0.952599727671592,2.295762300491333,0.7104447484016418,fold,
CCRCC,shipped,hoptimus0,patient,abs,5,predicted_value_decile,8,168071,151080,0.8989058195643508,2.2438559532165527,0.8642951846122742,fold,
CCRCC,shipped,hoptimus0,patient,abs,5,predicted_value_decile,9,148357,111362,0.7506352918972479,2.235639810562134,1.214810848236084,fold,
CCRCC,shipped,hoptimus0,patient,abs,0,neoplastic_fraction_tertile,0,562650,539077,0.9581036168132944,2.5057687759399414,0.2717749178409576,fold,
CCRCC,shipped,hoptimus0,patient,abs,0,neoplastic_fraction_tertile,1,1328850,1265858,0.9525966060879708,2.5057685375213623,0.3776777684688568,fold,
CCRCC,shipped,hoptimus0,patient,abs,0,neoplastic_fraction_tertile,2,853800,804199,0.94190559850082,2.5057685375213623,0.4809119403362274,fold,
CCRCC,shipped,hoptimus0,patient,abs,1,neoplastic_fraction_tertile,0,704850,571125,0.8102787827197276,1.9886353015899656,0.8464854955673218,fold,
