level,task,label_set,encoder,n_genes,spearman,mean_shortfall,mean_random_minus_patient,note
task_encoder,CCRCC,shipped,hoptimus0,50,-0.3271548619447779,0.03894401156246508,0.06225813059999999,
task_encoder,CCRCC,shipped,resnet50,50,-0.007635054021608643,0.033917720873917784,0.03676174666,
task_encoder,CCRCC,shipped,uni_v2,50,-0.10770708283313324,0.03462728704403467,0.05213747956,
task_encoder,COAD,shipped,hoptimus0,50,0.08177671068427371,0.030090871453285234,0.33184104577999995,
task_encoder,COAD,shipped,resnet50,50,0.04835534213685474,0.031108932942152043,0.30419277798000005,
task_encoder,COAD,shipped,uni_v2,50,-0.052004801920768305,0.027907576858997363,0.3276539836400001,
task_encoder,HCC,shipped,hoptimus0,50,0.2934453781512605,0.14696449622511865,0.17450945839999998,
task_encoder,HCC,shipped,resnet50,50,0.5008883553421368,0.16133974619209768,0.13676627618,
task_encoder,HCC,shipped,uni_v2,50,0.4863865546218487,0.1374363269656897,0.17187248236,
task_encoder,IDC,audited,hoptimus0,50,-0.013973589435774309,0.06618494619925819,0.12020370215999998,
task_encoder,IDC,shipped,hoptimus0,50,-0.2342857142857143,0.0860785868763924,0.12020370215999998,
task_encoder,IDC,audited,resnet50,50,-0.08600240096038414,0.05742080320914589,0.12325545487999998,
task_encoder,IDC,shipped,resnet50,50,-0.23121248499399757,0.058094851002097145,0.12325545487999998,
task_encoder,IDC,audited,uni_v2,50,-0.015990396158463382,0.07250892370939258,0.11958804322000001,
task_encoder,IDC,shipped,uni_v2,50,-0.006962785114045618,0.0685919923335314,0.11958804322000001,
task_encoder,LUNG,shipped,hoptimus0,50,0.08129651860744297,0.2955341400951147,0.18896854918000003,
task_encoder,LUNG,shipped,resnet50,50,0.0168547418967587,0.2523166987299919,0.1704136059,
task_encoder,LUNG,shipped,uni_v2,50,-0.013397358943577431,0.2822978077083826,0.18024036448,
task_encoder,LYMPH_IDC,shipped,hoptimus0,50,-0.014933973589435772,0.08379357963800434,0.11295865658000002,
task_encoder,LYMPH_IDC,shipped,resnet50,50,-0.043841536614645855,0.07820632532238962,0.079371827202,
task_encoder,LYMPH_IDC,shipped,uni_v2,50,-0.04182472989195678,0.08417033419013027,0.094069073954,
task_encoder,PAAD,shipped,hoptimus0,50,-0.1059783913565426,0.009090839624404929,0.16514739652,
task_encoder,PAAD,shipped,resnet50,50,-0.10424969987995197,0.01308414926131569,0.18206426649999996,
task_encoder,PAAD,shipped,uni_v2,50,-0.06458583433373348,0.00470011790593468,0.14954057828,
task_encoder,PRAD,shipped,hoptimus0,50,0.28720288115246095,0.02918567061424257,0.11670192111999998,
task_encoder,PRAD,shipped,resnet50,50,0.4076350540216086,0.03255067467689516,0.15452458548,
task_encoder,PRAD,shipped,uni_v2,50,0.3024729891956782,0.016691026091575644,0.1352742784,
task_encoder,READ,shipped,hoptimus0,50,0.04403361344537814,0.06905822932720186,0.17746954484,
task_encoder,READ,shipped,resnet50,50,0.6105642256902761,0.11996971458196644,0.21651250425999996,
task_encoder,READ,shipped,uni_v2,50,0.31082833133253296,0.06761698305606843,0.156313331848,
task_encoder,SKCM,shipped,hoptimus0,50,0.17512605042016804,0.2326270143687725,0.17470242719999998,
task_encoder,SKCM,shipped,resnet50,50,0.31006002400960386,0.24270395651459695,0.2495380368,
task_encoder,SKCM,shipped,uni_v2,50,0.06304921968787515,0.21985848888754844,0.15493783832,
task_encoder_averaged,CCRCC,shipped,MEAN_OVER_3_R7_ENCODERS,50,-0.1836734693877551,0.03582967316013918,0.05038578560666667,encoders averaged within a gene first
task_encoder_averaged,COAD,shipped,MEAN_OVER_3_R7_ENCODERS,50,0.07783913565426169,0.029702460418144883,0.3212292691333334,encoders averaged within a gene first
task_encoder_averaged,HCC,shipped,MEAN_OVER_3_R7_ENCODERS,50,0.4693877551020407,0.14858018979430201,0.16104940564666667,encoders averaged within a gene first
task_encoder_averaged,IDC,audited,MEAN_OVER_3_R7_ENCODERS,50,-0.020984393757503002,0.06537155770593221,0.12101573341999998,encoders averaged within a gene first
task_encoder_averaged,IDC,shipped,MEAN_OVER_3_R7_ENCODERS,50,-0.16849939975990394,0.07092181007067365,0.12101573341999998,encoders averaged within a gene first
task_encoder_averaged,LUNG,shipped,MEAN_OVER_3_R7_ENCODERS,50,0.09445378151260504,0.2767162155111631,0.17987417318666668,encoders averaged within a gene first
task_encoder_averaged,LYMPH_IDC,shipped,MEAN_OVER_3_R7_ENCODERS,50,-0.02674669867947179,0.08205674638350807,0.09546651924533332,encoders averaged within a gene first
task_encoder_averaged,PAAD,shipped,MEAN_OVER_3_R7_ENCODERS,50,-0.18530612244897962,0.008958368930551765,0.16558408043333334,encoders averaged within a gene first
task_encoder_averaged,PRAD,shipped,MEAN_OVER_3_R7_ENCODERS,50,0.3192797118847539,0.026142457127571128,0.13550026166666665,encoders averaged within a gene first
task_encoder_averaged,READ,shipped,MEAN_OVER_3_R7_ENCODERS,50,0.41186074429771913,0.08554830898841226,0.18343179364933332,encoders averaged within a gene first
task_encoder_averaged,SKCM,shipped,MEAN_OVER_3_R7_ENCODERS,50,0.08907563025210084,0.2317298199236393,0.19305943410666668,encoders averaged within a gene first
task_pooled_over_3_r7_encoders,CCRCC,shipped,hoptimus0;resnet50;uni_v2,150,-0.07311791635183786,0.035829673160139186,0.05038578560666667,"items are (encoder, gene) pairs"
task_pooled_over_3_r7_encoders,COAD,shipped,hoptimus0;resnet50;uni_v2,150,0.033539268411929425,0.02970246041814488,0.32122926913333333,"items are (encoder, gene) pairs"
task_pooled_over_3_r7_encoders,HCC,shipped,hoptimus0;resnet50;uni_v2,150,0.3656749188852838,0.14858018979430201,0.16104940564666664,"items are (encoder, gene) pairs"
task_pooled_over_3_r7_encoders,IDC,audited,hoptimus0;resnet50;uni_v2,150,-0.012599671096493178,0.06537155770593223,0.12101573342,"items are (encoder, gene) pairs"
task_pooled_over_3_r7_encoders,IDC,shipped,hoptimus0;resnet50;uni_v2,150,-0.14876216720743146,0.07092181007067365,0.12101573342,"items are (encoder, gene) pairs"
task_pooled_over_3_r7_encoders,LUNG,shipped,hoptimus0;resnet50;uni_v2,150,0.036373172140984046,0.276716215511163,0.17987417318666668,"items are (encoder, gene) pairs"
task_pooled_over_3_r7_encoders,LYMPH_IDC,shipped,hoptimus0;resnet50;uni_v2,150,-0.010825370016445176,0.08205674638350807,0.09546651924533334,"items are (encoder, gene) pairs"
task_pooled_over_3_r7_encoders,PAAD,shipped,hoptimus0;resnet50;uni_v2,150,-0.07610471576514513,0.008958368930551765,0.1655840804333333,"items are (encoder, gene) pairs"
task_pooled_over_3_r7_encoders,PRAD,shipped,hoptimus0;resnet50;uni_v2,150,0.2432090315125117,0.026142457127571125,0.13550026166666668,"items are (encoder, gene) pairs"
task_pooled_over_3_r7_encoders,READ,shipped,hoptimus0;resnet50;uni_v2,150,0.3645228676830082,0.08554830898841224,0.18343179364933335,"items are (encoder, gene) pairs"
task_pooled_over_3_r7_encoders,SKCM,shipped,hoptimus0;resnet50;uni_v2,150,0.21357571447619894,0.2317298199236392,0.19305943410666668,"items are (encoder, gene) pairs"
