encoder,task,label_set,design,fold,K,calibration_unit,block_fold,between_var,within_var,between_share,coverage_observed,n_cal_per_unit_cap,uses_test_labels,scope,simulated_coverage_mean,simulated_coverage_sd,simulated_coverage_q05,simulated_coverage_q50,simulated_coverage_q95,quantile_infinite,n_cal_simulated,n_sim,observed_minus_simulated,n_folds,coverage_observed_sd,n_sim_requested
hoptimus0,CCRCC,shipped,donor,INT1,6.0,donor,False,0.021904674644126293,0.10203450992652346,0.18864856495266974,0.7575461254612547,2000.0,True,fold,0.8955405105339843,0.08603252137357738,0.725282121803967,0.9191000320811118,0.984138681653459,False,11949.0,1000.0,-0.13799438507272965,,,1000
hoptimus0,CCRCC,shipped,donor,INT10,6.0,donor,False,0.03267974346698055,0.11990483034541141,0.19570578318733572,0.8118440073962011,2000.0,True,fold,0.8855718916571905,0.10996495076059025,0.662262081225482,0.9156792683033295,0.9915793322345733,False,11186.0,1000.0,-0.07372788426098942,,,1000
hoptimus0,CCRCC,shipped,donor,INT11,6.0,donor,False,0.023368431656559593,0.10160146919133894,0.17630354578037183,0.7897567755385685,2000.0,True,fold,0.8932381842754598,0.0916017460820231,0.7037028805345947,0.9188030448024141,0.987785614563606,False,11129.0,1000.0,-0.10348140873689127,,,1000
hoptimus0,CCRCC,shipped,donor,INT12,6.0,donor,False,0.016728049433943862,0.11993184749783566,0.12889839367214487,0.815860326211808,2000.0,True,fold,0.8955284306563819,0.07481331443354705,0.7531493219544212,0.9121956110268032,0.976396618940178,False,11645.0,1000.0,-0.07966810444457384,,,1000
hoptimus0,CCRCC,shipped,donor,INT13,6.0,donor,False,0.014143772859790682,0.11289892945228272,0.11978998949311509,0.8976386021258698,2000.0,True,fold,0.8970620606411831,0.07072186880814046,0.7571558145139407,0.9152273266885431,0.975314933696454,False,10762.0,1000.0,0.0005765414846866657,,,1000
hoptimus0,CCRCC,shipped,donor,INT14,6.0,donor,False,0.012101779675418145,0.11001118629785878,0.10140203453376163,0.9651395586730964,2000.0,True,fold,0.8957921263840766,0.06504982689840687,0.7706023319387326,0.9102759033291401,0.9754914023623042,False,11400.0,1000.0,0.06934743228901985,,,1000
hoptimus0,CCRCC,shipped,donor,INT15,6.0,donor,False,0.01797030735861821,0.10006439726209035,0.14921510747935715,0.9195060728744938,2000.0,True,fold,0.8926738486945048,0.08216917895724679,0.7488559659998173,0.9115307481330488,0.9827395127472998,False,11679.0,1000.0,0.026832224179988984,,,1000
hoptimus0,CCRCC,shipped,donor,INT16,6.0,donor,False,0.014029885598700997,0.1011333558823363,0.12429713920690788,0.9160677895612396,2000.0,True,fold,0.898937125468929,0.0701934936844303,0.7590078904887767,0.9154123468082354,0.9806386564202696,False,10825.0,1000.0,0.017130664092310566,,,1000
hoptimus0,CCRCC,shipped,donor,INT17,6.0,donor,False,0.01110946912904881,0.09743340817908283,0.11576588264303794,0.9427466294746628,2000.0,True,fold,0.8941063328422604,0.0684043147960464,0.7681742492731917,0.9091971127153597,0.9739383140148031,False,11084.0,1000.0,0.048640296632402436,,,1000
hoptimus0,CCRCC,shipped,donor,INT18,6.0,donor,False,0.07064279127471974,0.12439734786413552,0.3339987511700784,0.873482536453035,2000.0,True,fold,0.8884933608154538,0.14532195444662344,0.5451322971810448,0.950118716963185,0.9984536885557045,False,11349.0,1000.0,-0.015010824362418851,,,1000
hoptimus0,CCRCC,shipped,donor,INT19,6.0,donor,False,0.013991129733774685,0.09878282796396723,0.12854626677000353,0.9759350579358662,2000.0,True,fold,0.896161078628159,0.07291278053860875,0.7565007161304366,0.9140298975841161,0.9774201779799053,False,11678.0,1000.0,0.07977397930770724,,,1000
hoptimus0,CCRCC,shipped,donor,INT2,6.0,donor,False,0.01532366556605997,0.12047310688397686,0.11569422249796746,0.9212222222222222,2000.0,True,fold,0.8904963029064505,0.07101519540146839,0.7524376178820468,0.9056091352696236,0.9718612479772554,False,11281.0,1000.0,0.03072591931577162,,,1000
hoptimus0,CCRCC,shipped,donor,INT20,6.0,donor,False,0.011694851400101458,0.10456874699926359,0.10953709611428186,0.965824417009602,2000.0,True,fold,0.8963635700657059,0.06462081011295567,0.7707662475906071,0.9119052980238558,0.9763807697662459,False,10129.0,1000.0,0.06946084694389609,,,1000
hoptimus0,CCRCC,shipped,donor,INT21,6.0,donor,False,0.01893829723427265,0.11608050073005124,0.13508154940136796,0.9339671691792294,2000.0,True,fold,0.8951021118044126,0.07729673716998525,0.7519136180697759,0.9152736268580945,0.9811326522520375,False,9974.0,1000.0,0.038865057374816825,,,1000
hoptimus0,CCRCC,shipped,donor,INT22,6.0,donor,False,0.010743514933546167,0.09451148928228137,0.11239466919966301,0.8689892922434056,2000.0,True,fold,0.8938851780839794,0.0636697454989902,0.7729923582034054,0.9061286648149787,0.9729013427597717,False,10788.0,1000.0,-0.024895885840573784,,,1000
hoptimus0,CCRCC,shipped,donor,INT23,6.0,donor,False,0.0660443800120531,0.11866175779732899,0.3260404336657676,0.8598247458815281,2000.0,True,fold,0.8926969110406221,0.13602815284070538,0.5834818572671855,0.94639830527728,0.9978346209791095,False,11678.0,1000.0,-0.03287216515909397,,,1000
hoptimus0,CCRCC,shipped,donor,INT24,6.0,donor,False,0.021856426940547957,0.1120924208810665,0.15447465405889027,0.9190022172949002,2000.0,True,fold,0.8923397336378316,0.08500853131738063,0.7182972626067824,0.9164930192381429,0.9851396754518498,False,10535.0,1000.0,0.02666248365706858,,,1000
hoptimus0,CCRCC,shipped,donor,INT3,6.0,donor,False,0.10364009892854531,0.1160024768944754,0.46922209395888703,0.9619199468526825,2000.0,True,fold,0.8802808869791638,0.17090112464468535,0.47603003564005275,0.9571137048978081,0.9997949948812719,False,10864.0,1000.0,0.0816390598735186,,,1000
hoptimus0,CCRCC,shipped,donor,INT4,6.0,donor,False,0.024862751935751604,0.10226168557199668,0.1871565860032266,0.8758191252779838,2000.0,True,fold,0.8904792939900862,0.09531936002027763,0.6897391212129629,0.9173046118251955,0.9863953855173274,False,10196.0,1000.0,-0.014660168712102406,,,1000
hoptimus0,CCRCC,shipped,donor,INT5,6.0,donor,False,0.09377194709306244,0.1145509951429655,0.47645600273498256,0.2708544125913434,2000.0,True,fold,0.8707799795775754,0.17433214740506434,0.4868202487195575,0.945949685376684,0.9994333817221381,False,11084.0,1000.0,-0.599925566986232,,,1000
hoptimus0,CCRCC,shipped,donor,INT6,6.0,donor,False,0.025013191353333936,0.11942229209888536,0.15772841086997624,0.8902940007945968,2000.0,True,fold,0.8997608791108309,0.08080392226303316,0.7390068976699581,0.9215753828790931,0.9864619447426183,False,11383.0,1000.0,-0.009466878316234162,,,1000
hoptimus0,CCRCC,shipped,donor,INT7,6.0,donor,False,0.012664911102869311,0.11010977097953611,0.10408719889298182,0.85722549845549,2000.0,True,fold,0.8962052586709074,0.06321917483276147,0.7771452116309141,0.9089649428919233,0.9748508411938995,False,11100.0,1000.0,-0.03897976021541738,,,1000
hoptimus0,CCRCC,shipped,donor,INT8,6.0,donor,False,0.024925379435772457,0.10610632370853737,0.17525700809916406,0.7560013682230204,2000.0,True,fold,0.8938625396023167,0.09154641089093886,0.7085073595080397,0.9200573439783972,0.9869881645446835,False,11451.0,1000.0,-0.1378611713792962,,,1000
hoptimus0,CCRCC,shipped,donor,INT9,6.0,donor,False,0.06797120616812485,0.11447246561432825,0.3536225564897485,0.918875786163522,2000.0,True,fold,0.880500379356687,0.1474442221912013,0.5314121649420621,0.9381326959911963,0.9984522615360354,False,9670.0,1000.0,0.03837540680683493,,,1000
hoptimus0,CCRCC,shipped,patient,0,5.0,patient,False,0.04219721544632457,0.12335156953522158,0.24850626564813785,0.9503548026678508,2000.0,True,fold,0.8835195599045931,0.11966098034828271,0.640471489464308,0.9244169746543462,0.9938614289409128,False,8150.0,1000.0,0.0668352427632577,,,1000
hoptimus0,CCRCC,shipped,patient,1,5.0,patient,False,0.020461507834317938,0.12087022159168764,0.13871927037929427,0.7878004273427001,2000.0,True,fold,0.8984645586001552,0.07653084094724928,0.7553142854594932,0.9169704905620336,0.9828248288350433,False,10000.0,1000.0,-0.11066413125745511,,,1000
hoptimus0,CCRCC,shipped,patient,2,5.0,patient,False,0.019864401726138126,0.13946477361495765,0.11913454508938381,0.8459109613638067,2000.0,True,fold,0.8952470624128285,0.07777492028062784,0.7579492299149345,0.9152870453490911,0.98150030836451,False,10000.0,1000.0,-0.04933610104902175,,,1000
hoptimus0,CCRCC,shipped,patient,3,5.0,patient,False,0.027977702215435496,0.17850103455556018,0.13282357704674067,0.7013660895586025,2000.0,True,fold,0.8926347741278973,0.07993546344460895,0.7352354847462764,0.9143014856174474,0.9809918972447649,False,9610.0,1000.0,-0.1912686845692948,,,1000
hoptimus0,CCRCC,shipped,patient,4,5.0,patient,False,0.014449756558748722,0.10630770859451949,0.12727369507594247,0.9008688052243256,2000.0,True,fold,0.8961111566625963,0.07029044009418765,0.7641838711296961,0.9141984835767436,0.9785691001651116,False,8625.0,1000.0,0.004757648561729222,,,1000
hoptimus0,CCRCC,shipped,patient,5,5.0,patient,False,0.01357503336253578,0.11093256897721541,0.10066622479463608,0.9472287706103992,2000.0,True,fold,0.8971023337621522,0.06611851043401613,0.7653206285518507,0.9127848400975658,0.9736665882409457,False,9332.0,1000.0,0.050126436848247025,,,1000
hoptimus0,COAD,shipped,donor,COAD_Oliveira_P1,1.0,donor,False,0.002409105237891701,0.33101039343143335,0.00800045915845237,0.9003020257826888,2000.0,True,fold,0.8984197257430354,0.02197524258582739,0.8613566236172682,0.9003019845361493,0.9322014322589065,False,2000.0,1000.0,0.001882300039653395,,,1000
hoptimus0,COAD,shipped,donor,COAD_Oliveira_P2,1.0,donor,False,0.004223609474917248,0.3432139069844983,0.013868804409372826,0.8356869401225837,2000.0,True,fold,0.8970182312675847,0.027637185020274454,0.8501188666994085,0.8992083497568646,0.9365151360269982,False,2000.0,1000.0,-0.06133129114500102,,,1000
hoptimus0,COAD,shipped,donor,COAD_Oliveira_P5,1.0,donor,False,0.004062259714914446,0.3551739997259294,0.014077125721518514,0.891198907423666,2000.0,True,fold,0.8976373430663702,0.027811978419484233,0.8481082141998063,0.9003648939953589,0.9383924519773615,False,2000.0,1000.0,-0.006438435642704188,,,1000
hoptimus0,COAD,shipped,donor,COAD_donor_TENX111,1.0,donor,False,0.005838808951363086,0.28383738866545627,0.023786332462379225,0.8524486447463411,2000.0,True,fold,0.8969801615543039,0.03702485353394835,0.8280971163672867,0.9027678463859966,0.9468611987648515,False,2000.0,1000.0,-0.044531516807962856,,,1000
hoptimus0,COAD,shipped,patient,0,8.0,block,True,0.01840152135001455,0.62389630614368,0.025971695449489997,0.6070091798610534,2000.0,True,fold,0.8989047104103997,0.03215757922024956,0.841249970086112,0.9029318481656579,0.9442460309143407,False,1255.0,1000.0,-0.29189553054934625,,,1000
hoptimus0,COAD,shipped,patient,1,1.0,slide,False,0.0036375344888398,0.27424761052617863,0.018524581159592768,0.8453829493994881,2000.0,True,fold,0.8983287790813299,0.027619421770456495,0.8489676728549541,0.8996981687429817,0.939201308518469,False,2000.0,1000.0,-0.052945829681841805,,,1000
hoptimus0,HCC,shipped,donor,CHC20,6.0,block,True,0.003045958973104057,0.1382337900758006,0.01805032636964595,0.7751914820539242,2000.0,True,fold,0.900703150429063,0.03077880214724762,0.8445147681821047,0.9037360897071016,0.9449809630907888,False,513.0,1000.0,-0.12551166837513883,,,1000
hoptimus0,HCC,shipped,donor,CHC23,7.0,block,True,0.004028593379273457,0.1345975993925526,0.025205471471990294,0.7308795269770879,2000.0,True,fold,0.9013782331797721,0.03682506080522731,0.8357221385450696,0.9055696046568874,0.9529253328880094,False,338.0,1000.0,-0.17049870620268415,,,1000
