level,task,label_set,design,encoder,score,test_slide,n_draws_share,n_draws_noshare,K_share,K_noshare,coverage_share,coverage_noshare,coverage_diff_share_minus_noshare,width_share,width_noshare,width_diff_share_minus_noshare,cal_slides_share,cal_slides_noshare,res_group_shared_share,res_group_shared_noshare,session_shared_share,session_shared_noshare
pair,PRAD,shipped,slide_out,conch_v1,abs,MEND156,2,1,6.0,6.0,0.7374198086662915,0.6848677546426561,0.052552054023635386,2.029801268407226,1.6971097507378143,0.33269151766941185,MEND144;MEND145;MEND151;MEND153;MEND158;MEND159 | MEND145;MEND152;MEND157;MEND158;MEND160;MEND162,MEND142;MEND144;MEND146;MEND147;MEND150;MEND152,True,False,True,False
pair,PRAD,shipped,slide_out,conch_v1,abs,MEND157,2,1,6.0,6.0,0.8639278996865203,0.7702194357366772,0.09370846394984311,2.074045467636078,1.6582664510728091,0.4157790165632691,MEND140;MEND141;MEND151;MEND152;MEND156;MEND162 | MEND142;MEND143;MEND148;MEND153;MEND158;MEND161,MEND142;MEND144;MEND145;MEND147;MEND148;MEND152,True,False,True,False
pair,PRAD,shipped,slide_out,conch_v1,abs,MEND159,2,1,6.0,6.0,0.7236488589211618,0.6159076763485477,0.10774118257261411,2.007237464697806,1.610087318460914,0.39715014623689204,MEND141;MEND144;MEND148;MEND149;MEND154;MEND161 | MEND146;MEND147;MEND151;MEND154;MEND157;MEND162,MEND141;MEND142;MEND143;MEND148;MEND149;MEND151,True,False,True,False
pair,PRAD,shipped,slide_out,conch_v1,abs,MEND160,2,1,6.0,6.0,0.9048418730080903,0.8098014219171366,0.09504045109095371,2.4034096371886173,1.703542353756007,0.6998672834326103,MEND140;MEND146;MEND153;MEND156;MEND158;MEND159 | MEND141;MEND143;MEND144;MEND148;MEND152;MEND159,MEND141;MEND144;MEND148;MEND149;MEND151;MEND152,True,False,True,False
pair,PRAD,shipped,slide_out,conch_v1,abs,MEND162,2,1,6.0,6.0,0.9654005366040629,0.948593330778076,0.016807205825986937,1.9888811649941336,1.7963698473803476,0.19251131761378604,MEND140;MEND142;MEND143;MEND153;MEND156;MEND159 | MEND140;MEND146;MEND147;MEND149;MEND151;MEND160,MEND140;MEND141;MEND144;MEND147;MEND150;MEND152,False,False,False,False
pair,PRAD,shipped,slide_out,conch_v1,scaled,MEND156,2,1,6.0,6.0,0.8041840180078785,0.8112999437253798,-0.0071159257175013035,2.1995420239661665,2.2103897807204818,-0.010847756754315263,MEND144;MEND145;MEND151;MEND153;MEND158;MEND159 | MEND145;MEND152;MEND157;MEND158;MEND160;MEND162,MEND142;MEND144;MEND146;MEND147;MEND150;MEND152,True,False,True,False
pair,PRAD,shipped,slide_out,conch_v1,scaled,MEND157,2,1,6.0,6.0,0.9209874608150469,0.8853918495297806,0.03559561128526634,2.4061971026895073,2.0881714229807664,0.31802567970874085,MEND140;MEND141;MEND151;MEND152;MEND156;MEND162 | MEND142;MEND143;MEND148;MEND153;MEND158;MEND161,MEND142;MEND144;MEND145;MEND147;MEND148;MEND152,True,False,True,False
pair,PRAD,shipped,slide_out,conch_v1,scaled,MEND159,2,1,6.0,6.0,0.9694242738589209,0.964652489626556,0.004771784232364906,3.451323377421742,3.201378715452986,0.24994466196875598,MEND141;MEND144;MEND148;MEND149;MEND154;MEND161 | MEND146;MEND147;MEND151;MEND154;MEND157;MEND162,MEND141;MEND142;MEND143;MEND148;MEND149;MEND151,True,False,True,False
pair,PRAD,shipped,slide_out,conch_v1,scaled,MEND160,2,1,6.0,6.0,0.9493503309634714,0.9449865163030152,0.004363814660456211,2.3845690152951375,2.4005717231309474,-0.016002707835809815,MEND140;MEND146;MEND153;MEND156;MEND158;MEND159 | MEND141;MEND143;MEND144;MEND148;MEND152;MEND159,MEND141;MEND144;MEND148;MEND149;MEND151;MEND152,True,False,True,False
pair,PRAD,shipped,slide_out,conch_v1,scaled,MEND162,2,1,6.0,6.0,0.9056803372939825,0.91096972019931,-0.005289382905327544,1.359968764850608,1.43961482040744,-0.07964605555683191,MEND140;MEND142;MEND143;MEND153;MEND156;MEND159 | MEND140;MEND146;MEND147;MEND149;MEND151;MEND160,MEND140;MEND141;MEND144;MEND147;MEND150;MEND152,False,False,False,False
pair,PRAD,shipped,slide_out,conch_v15,abs,MEND156,2,1,6.0,6.0,0.7309144625773776,0.6871412492965672,0.04377321328081041,1.9944511192143701,1.6897471285392855,0.3047039906750846,MEND144;MEND145;MEND151;MEND153;MEND158;MEND159 | MEND145;MEND152;MEND157;MEND158;MEND160;MEND162,MEND142;MEND144;MEND146;MEND147;MEND150;MEND152,True,False,True,False
pair,PRAD,shipped,slide_out,conch_v15,abs,MEND157,2,1,6.0,6.0,0.8513009404388714,0.7560188087774294,0.09528213166144195,2.037132878552345,1.6709834218464197,0.36614945670592514,MEND140;MEND141;MEND151;MEND152;MEND156;MEND162 | MEND142;MEND143;MEND148;MEND153;MEND158;MEND161,MEND142;MEND144;MEND145;MEND147;MEND148;MEND152,True,False,True,False
pair,PRAD,shipped,slide_out,conch_v15,abs,MEND159,2,1,6.0,6.0,0.6779253112033194,0.5605446058091286,0.11738070539419088,1.946767335832992,1.5868863463196492,0.3598809895133428,MEND141;MEND144;MEND148;MEND149;MEND154;MEND161 | MEND146;MEND147;MEND151;MEND154;MEND157;MEND162,MEND141;MEND142;MEND143;MEND148;MEND149;MEND151,True,False,True,False
pair,PRAD,shipped,slide_out,conch_v15,abs,MEND160,2,1,6.0,6.0,0.9337778867369453,0.8409806325079677,0.09279725422897755,2.3791089507174554,1.649386858531737,0.7297220921857184,MEND140;MEND146;MEND153;MEND156;MEND158;MEND159 | MEND141;MEND143;MEND144;MEND148;MEND152;MEND159,MEND141;MEND144;MEND148;MEND149;MEND151;MEND152,True,False,True,False
pair,PRAD,shipped,slide_out,conch_v15,abs,MEND162,2,1,6.0,6.0,0.9560942889996167,0.9370103487926408,0.019083940206975902,1.9390294881557593,1.7886224692256187,0.15040701893014052,MEND140;MEND142;MEND143;MEND153;MEND156;MEND159 | MEND140;MEND146;MEND147;MEND149;MEND151;MEND160,MEND140;MEND141;MEND144;MEND147;MEND150;MEND152,False,False,False,False
pair,PRAD,shipped,slide_out,conch_v15,scaled,MEND156,2,1,6.0,6.0,0.7996904895891952,0.7960832864378166,0.003607203151378635,2.203541187822511,2.1429570831141795,0.06058410470833131,MEND144;MEND145;MEND151;MEND153;MEND158;MEND159 | MEND145;MEND152;MEND157;MEND158;MEND160;MEND162,MEND142;MEND144;MEND146;MEND147;MEND150;MEND152,True,False,True,False
pair,PRAD,shipped,slide_out,conch_v15,scaled,MEND157,2,1,6.0,6.0,0.9376551724137931,0.9089090909090908,0.02874608150470237,2.448228636131568,2.230832351647996,0.21739628448357218,MEND140;MEND141;MEND151;MEND152;MEND156;MEND162 | MEND142;MEND143;MEND148;MEND153;MEND158;MEND161,MEND142;MEND144;MEND145;MEND147;MEND148;MEND152,True,False,True,False
pair,PRAD,shipped,slide_out,conch_v15,scaled,MEND159,2,1,6.0,6.0,0.9743516597510373,0.9718879668049794,0.0024636929460579715,3.465151748944326,3.267203555831101,0.1979481931132252,MEND141;MEND144;MEND148;MEND149;MEND154;MEND161 | MEND146;MEND147;MEND151;MEND154;MEND157;MEND162,MEND141;MEND142;MEND143;MEND148;MEND149;MEND151,True,False,True,False
pair,PRAD,shipped,slide_out,conch_v15,scaled,MEND160,2,1,6.0,6.0,0.9579063495954891,0.9569845550379996,0.0009217945574895303,2.2832186930014173,2.2394379163388023,0.04378077666261504,MEND140;MEND146;MEND153;MEND156;MEND158;MEND159 | MEND141;MEND143;MEND144;MEND148;MEND152;MEND159,MEND141;MEND144;MEND148;MEND149;MEND151;MEND152,True,False,True,False
pair,PRAD,shipped,slide_out,conch_v15,scaled,MEND162,2,1,6.0,6.0,0.8737447297815255,0.896726715216558,-0.022981985435032493,1.264782581537956,1.4806213703595017,-0.2158387888215456,MEND140;MEND142;MEND143;MEND153;MEND156;MEND159 | MEND140;MEND146;MEND147;MEND149;MEND151;MEND160,MEND140;MEND141;MEND144;MEND147;MEND150;MEND152,False,False,False,False
pair,PRAD,shipped,slide_out,ctranspath,abs,MEND156,2,1,6.0,6.0,0.7436268992684298,0.6983849184018008,0.045241980866629006,2.0107379247993853,1.7209788150245762,0.2897591097748091,MEND144;MEND145;MEND151;MEND153;MEND158;MEND159 | MEND145;MEND152;MEND157;MEND158;MEND160;MEND162,MEND142;MEND144;MEND146;MEND147;MEND150;MEND152,True,False,True,False
pair,PRAD,shipped,slide_out,ctranspath,abs,MEND157,2,1,6.0,6.0,0.8611598746081504,0.7629278996865204,0.09823197492162994,2.0765865997710806,1.6768249332027458,0.3997616665683348,MEND140;MEND141;MEND151;MEND152;MEND156;MEND162 | MEND142;MEND143;MEND148;MEND153;MEND158;MEND161,MEND142;MEND144;MEND145;MEND147;MEND148;MEND152,True,False,True,False
pair,PRAD,shipped,slide_out,ctranspath,abs,MEND159,2,1,6.0,6.0,0.6718490663900415,0.5718257261410788,0.10002334024896264,1.9531894156269463,1.6339172885375175,0.31927212708942876,MEND141;MEND144;MEND148;MEND149;MEND154;MEND161 | MEND146;MEND147;MEND151;MEND154;MEND157;MEND162,MEND141;MEND142;MEND143;MEND148;MEND149;MEND151,True,False,True,False
pair,PRAD,shipped,slide_out,ctranspath,abs,MEND160,2,1,6.0,6.0,0.9191836234371169,0.8307771512625644,0.08840647217455255,2.436270934486238,1.7079713593708297,0.7282995751154084,MEND140;MEND146;MEND153;MEND156;MEND158;MEND159 | MEND141;MEND143;MEND144;MEND148;MEND152;MEND159,MEND141;MEND144;MEND148;MEND149;MEND151;MEND152,True,False,True,False
pair,PRAD,shipped,slide_out,ctranspath,abs,MEND162,2,1,6.0,6.0,0.9558681487159832,0.9471904944423152,0.008677654273668067,1.9597238656722211,1.8752879339137616,0.08443593175845954,MEND140;MEND142;MEND143;MEND153;MEND156;MEND159 | MEND140;MEND146;MEND147;MEND149;MEND151;MEND160,MEND140;MEND141;MEND144;MEND147;MEND150;MEND152,False,False,False,False
pair,PRAD,shipped,slide_out,ctranspath,scaled,MEND156,2,1,6.0,6.0,0.788655036578503,0.792718064153067,-0.004063027574564004,2.142190816877716,2.1252858564694774,0.016904960408238523,MEND144;MEND145;MEND151;MEND153;MEND158;MEND159 | MEND145;MEND152;MEND157;MEND158;MEND160;MEND162,MEND142;MEND144;MEND146;MEND147;MEND150;MEND152,True,False,True,False
pair,PRAD,shipped,slide_out,ctranspath,scaled,MEND157,2,1,6.0,6.0,0.9477523510971787,0.9225078369905956,0.025244514106583127,2.7528999847377436,2.3767310641880317,0.37616892054971185,MEND140;MEND141;MEND151;MEND152;MEND156;MEND162 | MEND142;MEND143;MEND148;MEND153;MEND158;MEND161,MEND142;MEND144;MEND145;MEND147;MEND148;MEND152,True,False,True,False
