task,label_set,encoder,design,score,fold,stratum_kind,stratum_value,n_spot_gene,n_covered,coverage,width_mean,pred_mean
CCRCC,shipped,hoptimus0,patient,abs,1,predicted_value_decile,7,91731,80975,0.8827441104969966,2.0996806621551514,0.7600080966949463
CCRCC,shipped,hoptimus0,patient,abs,1,predicted_value_decile,8,153948,124131,0.8063177176709019,2.040454149246216,0.9689966440200806
CCRCC,shipped,hoptimus0,patient,abs,1,predicted_value_decile,9,399773,263437,0.6589664634680181,1.859784483909607,1.3858067989349365
CCRCC,shipped,hoptimus0,patient,abs,2,predicted_value_decile,0,90728,77561,0.8548739088263821,2.5893149375915527,0.032306838780641556
CCRCC,shipped,hoptimus0,patient,abs,2,predicted_value_decile,1,124696,107351,0.8609017129659331,2.5198020935058594,0.1906430870294571
CCRCC,shipped,hoptimus0,patient,abs,2,predicted_value_decile,2,143910,124315,0.8638385101799736,2.47975754737854,0.2873709797859192
CCRCC,shipped,hoptimus0,patient,abs,2,predicted_value_decile,3,161148,140138,0.869622955295753,2.4623122215270996,0.37068381905555725
CCRCC,shipped,hoptimus0,patient,abs,2,predicted_value_decile,4,176096,155401,0.8824788751590041,2.458136558532715,0.45035555958747864
CCRCC,shipped,hoptimus0,patient,abs,2,predicted_value_decile,5,183428,163630,0.8920666419521556,2.400186777114868,0.5255163908004761
CCRCC,shipped,hoptimus0,patient,abs,2,predicted_value_decile,6,185149,164645,0.8892567607710546,2.308983325958252,0.603820264339447
CCRCC,shipped,hoptimus0,patient,abs,2,predicted_value_decile,7,204406,175373,0.8579640519358531,2.2433125972747803,0.7173270583152771
CCRCC,shipped,hoptimus0,patient,abs,2,predicted_value_decile,8,199962,157101,0.7856542743121193,1.9964133501052856,0.905881404876709
CCRCC,shipped,hoptimus0,patient,abs,2,predicted_value_decile,9,143877,101845,0.7078615762074549,1.9085670709609985,1.1659797430038452
CCRCC,shipped,hoptimus0,patient,abs,3,predicted_value_decile,0,17080,15377,0.9002927400468385,2.0977561473846436,0.06345928460359573
CCRCC,shipped,hoptimus0,patient,abs,3,predicted_value_decile,1,35722,31922,0.8936229774368737,2.0236899852752686,0.195474311709404
CCRCC,shipped,hoptimus0,patient,abs,3,predicted_value_decile,2,53043,47090,0.8877702995682748,1.976237177848816,0.2785772383213043
CCRCC,shipped,hoptimus0,patient,abs,3,predicted_value_decile,3,70014,61679,0.8809523809523809,1.9605480432510376,0.3565368950366974
CCRCC,shipped,hoptimus0,patient,abs,3,predicted_value_decile,4,87815,75966,0.8650686101463304,1.9557955265045166,0.4378800690174103
CCRCC,shipped,hoptimus0,patient,abs,3,predicted_value_decile,5,106741,91176,0.8541797434912546,1.9608420133590698,0.5256150364875793
CCRCC,shipped,hoptimus0,patient,abs,3,predicted_value_decile,6,125060,105330,0.8422357268511115,1.9534063339233398,0.620972216129303
CCRCC,shipped,hoptimus0,patient,abs,3,predicted_value_decile,7,158635,126535,0.7976486903898887,1.9143797159194946,0.7373252511024475
CCRCC,shipped,hoptimus0,patient,abs,3,predicted_value_decile,8,238871,157890,0.6609843806908331,1.884031057357788,0.9703809022903442
CCRCC,shipped,hoptimus0,patient,abs,3,predicted_value_decile,9,175319,85867,0.4897757801493278,1.8430265188217163,1.3337392807006836
CCRCC,shipped,hoptimus0,patient,abs,4,predicted_value_decile,0,155680,148947,0.9567510277492292,2.190558671951294,-0.0002877583319786936
CCRCC,shipped,hoptimus0,patient,abs,4,predicted_value_decile,1,190666,182935,0.9594526554288652,2.241908073425293,0.1737717241048813
CCRCC,shipped,hoptimus0,patient,abs,4,predicted_value_decile,2,212140,202777,0.9558640520411049,2.237245798110962,0.27439066767692566
CCRCC,shipped,hoptimus0,patient,abs,4,predicted_value_decile,3,227639,215802,0.9480010015858442,2.2164347171783447,0.357655793428421
CCRCC,shipped,hoptimus0,patient,abs,4,predicted_value_decile,4,241602,227807,0.9429019627320966,2.191896438598633,0.43419528007507324
CCRCC,shipped,hoptimus0,patient,abs,4,predicted_value_decile,5,262795,248131,0.94419985159535,2.1803619861602783,0.5117104053497314
CCRCC,shipped,hoptimus0,patient,abs,4,predicted_value_decile,6,286000,271086,0.9478531468531468,2.17905330657959,0.6007447242736816
CCRCC,shipped,hoptimus0,patient,abs,4,predicted_value_decile,7,276982,260848,0.9417507274840965,2.173032283782959,0.7221296429634094
CCRCC,shipped,hoptimus0,patient,abs,4,predicted_value_decile,8,209108,188992,0.9038009067084951,2.170124053955078,0.9082456827163696
CCRCC,shipped,hoptimus0,patient,abs,4,predicted_value_decile,9,149588,102505,0.6852488167500067,2.117865800857544,1.2313930988311768
CCRCC,shipped,hoptimus0,patient,abs,5,predicted_value_decile,0,379117,362971,0.9574115642400631,2.2726285457611084,-0.023441461846232414
CCRCC,shipped,hoptimus0,patient,abs,5,predicted_value_decile,1,319030,307281,0.9631727423753252,2.347905158996582,0.17579878866672516
CCRCC,shipped,hoptimus0,patient,abs,5,predicted_value_decile,2,292944,282647,0.9648499371893604,2.369277000427246,0.277238667011261
CCRCC,shipped,hoptimus0,patient,abs,5,predicted_value_decile,3,272210,263032,0.9662833841519415,2.372006893157959,0.35952749848365784
CCRCC,shipped,hoptimus0,patient,abs,5,predicted_value_decile,4,255839,247627,0.9679016881710764,2.37399959564209,0.4366512894630432
CCRCC,shipped,hoptimus0,patient,abs,5,predicted_value_decile,5,239595,231490,0.9661720820551347,2.3752191066741943,0.5167981386184692
CCRCC,shipped,hoptimus0,patient,abs,5,predicted_value_decile,6,224647,216534,0.9638855626827868,2.3545897006988525,0.6039015054702759
CCRCC,shipped,hoptimus0,patient,abs,5,predicted_value_decile,7,198290,188891,0.9525997276715921,2.295762300491333,0.7104447484016418
CCRCC,shipped,hoptimus0,patient,abs,5,predicted_value_decile,8,168071,151080,0.8989058195643508,2.2438559532165527,0.8642951846122742
CCRCC,shipped,hoptimus0,patient,abs,5,predicted_value_decile,9,148357,111362,0.7506352918972479,2.235639810562134,1.214810848236084
