task,label_set,design,score,stratum,stratum_value,agg_unit,n_cells,coverage_mean,coverage_sd,width_mean,width_median,detail,superseded_label_set
CCRCC,shipped,donor,abs,cal_shares_session_with_test,True,cell,864,0.8642708075597049,0.1443153774122629,2.129581012145231,2.1123671359817884,calibration_unit=donor | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,False
CCRCC,shipped,donor,scaled,cal_shares_session_with_test,True,cell,864,0.8738098831432775,0.1267127552463567,2.163507918320894,2.1524480736181126,calibration_unit=donor | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,False
CCRCC,shipped,patient,abs,cal_shares_session_with_test,True,cell,216,0.8562755815761778,0.09818135472653015,2.241713029049132,2.134828199717271,calibration_unit=patient | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,False
CCRCC,shipped,patient,scaled,cal_shares_session_with_test,True,cell,216,0.8724672680394582,0.061919736321473594,2.281936605394385,2.271762217483328,calibration_unit=patient | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,False
CCRCC,shipped,random,abs,cal_shares_session_with_test,True,cell,360,0.8809874361442861,0.003065770440121744,1.6441491668616661,1.6231693624327928,calibration_unit=spot | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,False
CCRCC,shipped,random,scaled,cal_shares_session_with_test,True,cell,360,0.8998873140515011,0.0015908734842510076,1.6307604305774084,1.6070858162901847,calibration_unit=spot | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,False
COAD,shipped,donor,abs,cal_shares_session_with_test,True,cell,144,0.8663109627208065,0.03109509957107045,3.3663424630679897,3.2984881841106044,calibration_unit=donor | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,False
COAD,shipped,donor,scaled,cal_shares_session_with_test,True,cell,144,0.8670479751945714,0.041849676504014506,5.524065776905618,4.098931737577874,calibration_unit=donor | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,False
COAD,shipped,patient,abs,cal_shares_session_with_test,True,cell,72,0.7206847690903608,0.11600998078953136,2.5391895092035326,2.516578882442507,calibration_unit=block;slide | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,False
COAD,shipped,patient,scaled,cal_shares_session_with_test,True,cell,72,0.6977053790620552,0.14266349895746014,2.8305022048338975,2.5391394878248255,calibration_unit=block;slide | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,False
COAD,shipped,random,abs,cal_shares_session_with_test,True,cell,120,0.8963215563182992,0.0029229958200632264,2.2380458509084433,2.187348667319595,calibration_unit=spot | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,False
COAD,shipped,random,scaled,cal_shares_session_with_test,True,cell,120,0.8998468970757945,0.001956866097616782,2.388148509347423,2.330751655771704,calibration_unit=spot | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,False
HCC,shipped,donor,abs,cal_shares_session_with_test,True,cell,72,0.749651142619571,0.045778391137313086,1.5886531787828488,1.617516814396473,calibration_unit=block | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,False
