task,label_set,encoder,design,score,fold,stratum_kind,stratum_value,n_spot_gene,n_covered,coverage,width_mean,pred_mean
CCRCC,shipped,uni_v2,patient,abs,0,predicted_value_decile,0,339000,320961,0.946787610619469,2.5128140449523926,0.0348079651594162
CCRCC,shipped,uni_v2,patient,abs,0,predicted_value_decile,1,352522,337941,0.9586380424484146,2.496995210647583,0.20230892300605774
CCRCC,shipped,uni_v2,patient,abs,0,predicted_value_decile,2,347641,334807,0.9630826053313619,2.4925878047943115,0.2975810170173645
CCRCC,shipped,uni_v2,patient,abs,0,predicted_value_decile,3,334959,323485,0.965745061335865,2.4670865535736084,0.3764495253562927
CCRCC,shipped,uni_v2,patient,abs,0,predicted_value_decile,4,318211,306382,0.962826552193356,2.4406700134277344,0.45137807726860046
CCRCC,shipped,uni_v2,patient,abs,0,predicted_value_decile,5,297308,286270,0.9628735183715205,2.4135303497314453,0.5304869413375854
CCRCC,shipped,uni_v2,patient,abs,0,predicted_value_decile,6,268779,259230,0.9644726708559821,2.3844544887542725,0.6214188933372498
CCRCC,shipped,uni_v2,patient,abs,0,predicted_value_decile,7,215956,207153,0.9592370668099057,2.3767011165618896,0.739923894405365
CCRCC,shipped,uni_v2,patient,abs,0,predicted_value_decile,8,159343,149326,0.9371356131113384,2.399653911590576,0.8959234356880188
CCRCC,shipped,uni_v2,patient,abs,0,predicted_value_decile,9,121931,103466,0.8485618915616209,2.4375030994415283,1.2088671922683716
CCRCC,shipped,uni_v2,patient,abs,1,predicted_value_decile,0,87553,80121,0.9151142736399667,2.0314042568206787,-0.008863513357937336
CCRCC,shipped,uni_v2,patient,abs,1,predicted_value_decile,1,44778,41347,0.9233775514761713,2.064551591873169,0.21486900746822357
CCRCC,shipped,uni_v2,patient,abs,1,predicted_value_decile,2,38957,35404,0.9087968786097492,2.0837173461914062,0.31726589798927307
CCRCC,shipped,uni_v2,patient,abs,1,predicted_value_decile,3,39612,35438,0.8946278905382208,2.1020870208740234,0.40293240547180176
CCRCC,shipped,uni_v2,patient,abs,1,predicted_value_decile,4,43746,38719,0.8850866364924793,2.1176881790161133,0.4833022654056549
CCRCC,shipped,uni_v2,patient,abs,1,predicted_value_decile,5,51133,45199,0.8839496998024758,2.1119253635406494,0.5608047246932983
CCRCC,shipped,uni_v2,patient,abs,1,predicted_value_decile,6,64552,57129,0.8850074358656587,2.0822834968566895,0.6403627395629883
CCRCC,shipped,uni_v2,patient,abs,1,predicted_value_decile,7,92417,79434,0.8595171883960743,2.042634963989258,0.750822126865387
CCRCC,shipped,uni_v2,patient,abs,1,predicted_value_decile,8,154141,119908,0.7779111333130057,1.9785480499267578,0.9440125226974487
CCRCC,shipped,uni_v2,patient,abs,1,predicted_value_decile,9,368461,248187,0.6735773935369008,1.8573217391967773,1.3268362283706665
CCRCC,shipped,uni_v2,patient,abs,2,predicted_value_decile,0,142036,118693,0.8356543411529471,2.3937675952911377,0.05491121485829353
CCRCC,shipped,uni_v2,patient,abs,2,predicted_value_decile,1,153838,130423,0.8477944331049546,2.3841745853424072,0.21517856419086456
CCRCC,shipped,uni_v2,patient,abs,2,predicted_value_decile,2,158565,135793,0.856386970642954,2.3583030700683594,0.3072842061519623
CCRCC,shipped,uni_v2,patient,abs,2,predicted_value_decile,3,162172,139937,0.8628924845226056,2.378600597381592,0.38831183314323425
CCRCC,shipped,uni_v2,patient,abs,2,predicted_value_decile,4,165460,144855,0.8754683911519401,2.3999738693237305,0.4658253788948059
CCRCC,shipped,uni_v2,patient,abs,2,predicted_value_decile,5,170596,150568,0.8825998264906563,2.4017586708068848,0.5397042036056519
CCRCC,shipped,uni_v2,patient,abs,2,predicted_value_decile,6,171456,150214,0.8761081560283688,2.3660144805908203,0.618022084236145
CCRCC,shipped,uni_v2,patient,abs,2,predicted_value_decile,7,184635,155905,0.8443956996235816,2.303374767303467,0.7259330749511719
CCRCC,shipped,uni_v2,patient,abs,2,predicted_value_decile,8,168010,129813,0.7726504374739599,2.0555334091186523,0.9093199372291565
CCRCC,shipped,uni_v2,patient,abs,2,predicted_value_decile,9,136632,94881,0.6944273669418585,1.9664322137832642,1.1880395412445068
CCRCC,shipped,uni_v2,patient,abs,3,predicted_value_decile,0,30124,27076,0.8988182180321338,1.9310929775238037,0.06552476435899734
CCRCC,shipped,uni_v2,patient,abs,3,predicted_value_decile,1,45716,41295,0.9032942514655701,1.9416182041168213,0.21251517534255981
