task,label_set,encoder,design,score,fold,stratum_kind,stratum_value,n_spot_gene,n_covered,coverage,width_mean,pred_mean
PRAD,shipped,hoptimus0,slide_out,abs,MEND139,predicted_value_decile,0,2745,2430,0.8852459016393442,2.158728837966919,0.11554806679487228
PRAD,shipped,hoptimus0,slide_out,abs,MEND139,predicted_value_decile,1,7171,6517,0.9087993306372891,2.1735424995422363,0.2629792094230652
PRAD,shipped,hoptimus0,slide_out,abs,MEND139,predicted_value_decile,2,14031,12812,0.913120946475661,2.1915090084075928,0.3575911521911621
PRAD,shipped,hoptimus0,slide_out,abs,MEND139,predicted_value_decile,3,25486,23399,0.9181119045750609,2.163163185119629,0.42209523916244507
PRAD,shipped,hoptimus0,slide_out,abs,MEND139,predicted_value_decile,4,38849,35831,0.922314602692476,2.111541748046875,0.49376380443573
PRAD,shipped,hoptimus0,slide_out,abs,MEND139,predicted_value_decile,5,47490,44430,0.9355653821857233,2.1054534912109375,0.6031825542449951
PRAD,shipped,hoptimus0,slide_out,abs,MEND139,predicted_value_decile,6,54331,51931,0.9558263238298578,2.1175527572631836,0.7500926852226257
PRAD,shipped,hoptimus0,slide_out,abs,MEND139,predicted_value_decile,7,70258,67056,0.9544251188476757,2.131282091140747,0.9303436279296875
PRAD,shipped,hoptimus0,slide_out,abs,MEND139,predicted_value_decile,8,114573,99769,0.8707898021348834,2.143099308013916,1.1644737720489502
PRAD,shipped,hoptimus0,slide_out,abs,MEND139,predicted_value_decile,9,187416,134128,0.715669953472489,2.149338483810425,1.5380723476409912
PRAD,shipped,hoptimus0,slide_out,abs,MEND140,predicted_value_decile,0,15219,14206,0.933438465076549,2.1432952880859375,0.09793172031641006
PRAD,shipped,hoptimus0,slide_out,abs,MEND140,predicted_value_decile,1,26027,24379,0.9366811388173819,2.067331314086914,0.25715890526771545
PRAD,shipped,hoptimus0,slide_out,abs,MEND140,predicted_value_decile,2,32163,30052,0.9343655753505581,2.0194833278656006,0.3481823801994324
PRAD,shipped,hoptimus0,slide_out,abs,MEND140,predicted_value_decile,3,37905,35408,0.9341247856483313,1.9871631860733032,0.4271959364414215
PRAD,shipped,hoptimus0,slide_out,abs,MEND140,predicted_value_decile,4,41695,38767,0.9297757524883079,1.967745304107666,0.5255607962608337
PRAD,shipped,hoptimus0,slide_out,abs,MEND140,predicted_value_decile,5,41827,38031,0.9092452243765988,1.9547926187515259,0.6345008611679077
PRAD,shipped,hoptimus0,slide_out,abs,MEND140,predicted_value_decile,6,34698,30322,0.8738832209349242,1.9665297269821167,0.7807642817497253
PRAD,shipped,hoptimus0,slide_out,abs,MEND140,predicted_value_decile,7,26230,22138,0.8439954250857796,1.9612244367599487,0.9336394667625427
PRAD,shipped,hoptimus0,slide_out,abs,MEND140,predicted_value_decile,8,19881,16088,0.8092148282279563,1.9228047132492065,1.1011561155319214
PRAD,shipped,hoptimus0,slide_out,abs,MEND140,predicted_value_decile,9,14605,11326,0.7754878466278672,1.8599721193313599,1.3829548358917236
PRAD,shipped,hoptimus0,slide_out,abs,MEND141,predicted_value_decile,0,13984,13500,0.9653890160183066,1.9955742359161377,0.09989482164382935
PRAD,shipped,hoptimus0,slide_out,abs,MEND141,predicted_value_decile,1,28561,27738,0.9711844823360527,2.0427908897399902,0.22262293100357056
PRAD,shipped,hoptimus0,slide_out,abs,MEND141,predicted_value_decile,2,39631,38507,0.9716383639070425,2.0660555362701416,0.30465468764305115
PRAD,shipped,hoptimus0,slide_out,abs,MEND141,predicted_value_decile,3,48398,46950,0.970081408322658,2.071321964263916,0.3933013677597046
PRAD,shipped,hoptimus0,slide_out,abs,MEND141,predicted_value_decile,4,50193,48810,0.9724463570617417,2.041513442993164,0.4821542799472809
PRAD,shipped,hoptimus0,slide_out,abs,MEND141,predicted_value_decile,5,38946,37586,0.9650798541570379,2.076809883117676,0.6304916739463806
PRAD,shipped,hoptimus0,slide_out,abs,MEND141,predicted_value_decile,6,20818,19469,0.9352003074262657,2.1570587158203125,0.8592513203620911
PRAD,shipped,hoptimus0,slide_out,abs,MEND141,predicted_value_decile,7,13093,11421,0.872298174597113,2.214393377304077,1.1091340780258179
PRAD,shipped,hoptimus0,slide_out,abs,MEND141,predicted_value_decile,8,10139,8327,0.8212841503106816,2.1433334350585938,1.2402747869491577
PRAD,shipped,hoptimus0,slide_out,abs,MEND141,predicted_value_decile,9,5337,4034,0.755855349447255,2.161550283432007,1.5418163537979126
PRAD,shipped,hoptimus0,slide_out,abs,MEND142,predicted_value_decile,0,5583,5474,0.9804764463550063,2.2899937629699707,0.14499516785144806
PRAD,shipped,hoptimus0,slide_out,abs,MEND142,predicted_value_decile,1,15214,14891,0.9787695543578283,2.2277872562408447,0.2803460955619812
PRAD,shipped,hoptimus0,slide_out,abs,MEND142,predicted_value_decile,2,27265,26589,0.975206308454062,2.2000668048858643,0.34944695234298706
PRAD,shipped,hoptimus0,slide_out,abs,MEND142,predicted_value_decile,3,43096,42005,0.974684425468721,2.1960883140563965,0.41537538170814514
PRAD,shipped,hoptimus0,slide_out,abs,MEND142,predicted_value_decile,4,70738,69131,0.9772823659136533,2.1938118934631348,0.4891573488712311
PRAD,shipped,hoptimus0,slide_out,abs,MEND142,predicted_value_decile,5,100336,97909,0.9758112741189603,2.17822265625,0.5870349407196045
PRAD,shipped,hoptimus0,slide_out,abs,MEND142,predicted_value_decile,6,89345,86664,0.9699927248307124,2.188058376312256,0.739118218421936
PRAD,shipped,hoptimus0,slide_out,abs,MEND142,predicted_value_decile,7,52291,49797,0.9523053680365646,2.264610528945923,0.9712551832199097
PRAD,shipped,hoptimus0,slide_out,abs,MEND142,predicted_value_decile,8,28945,25604,0.8845741924339264,2.288017988204956,1.2022626399993896
PRAD,shipped,hoptimus0,slide_out,abs,MEND142,predicted_value_decile,9,16737,13119,0.7838322279978491,2.1219122409820557,1.4490770101547241
PRAD,shipped,hoptimus0,slide_out,abs,MEND143,predicted_value_decile,0,26890,26149,0.97244328746746,1.9618358612060547,0.044680844992399216
PRAD,shipped,hoptimus0,slide_out,abs,MEND143,predicted_value_decile,1,63609,62302,0.9794525931864988,1.9362186193466187,0.17061910033226013
PRAD,shipped,hoptimus0,slide_out,abs,MEND143,predicted_value_decile,2,93225,91111,0.977323679270582,1.9101728200912476,0.2709093391895294
PRAD,shipped,hoptimus0,slide_out,abs,MEND143,predicted_value_decile,3,112812,110414,0.9787433960926143,1.8938488960266113,0.374677449464798
PRAD,shipped,hoptimus0,slide_out,abs,MEND143,predicted_value_decile,4,112397,110048,0.9791008656814684,1.887225866317749,0.497102290391922
PRAD,shipped,hoptimus0,slide_out,abs,MEND143,predicted_value_decile,5,83542,81564,0.9763232864906275,1.9040560722351074,0.6588388681411743
PRAD,shipped,hoptimus0,slide_out,abs,MEND143,predicted_value_decile,6,45688,44442,0.9727280686394677,1.9897541999816895,0.9112147092819214
PRAD,shipped,hoptimus0,slide_out,abs,MEND143,predicted_value_decile,7,20816,19528,0.9381245196003074,2.1212475299835205,1.2406286001205444
PRAD,shipped,hoptimus0,slide_out,abs,MEND143,predicted_value_decile,8,9384,8112,0.8644501278772379,2.1379027366638184,1.4081618785858154
PRAD,shipped,hoptimus0,slide_out,abs,MEND143,predicted_value_decile,9,4037,3339,0.8270993311865247,2.0636000633239746,1.5175834894180298
PRAD,shipped,hoptimus0,slide_out,abs,MEND144,predicted_value_decile,0,110494,106812,0.9666769236338625,2.190772771835327,0.06930410861968994
PRAD,shipped,hoptimus0,slide_out,abs,MEND144,predicted_value_decile,1,134534,131717,0.9790610551979425,2.128237247467041,0.23081091046333313
PRAD,shipped,hoptimus0,slide_out,abs,MEND144,predicted_value_decile,2,124696,122238,0.9802880605632899,2.0869791507720947,0.3292218744754791
PRAD,shipped,hoptimus0,slide_out,abs,MEND144,predicted_value_decile,3,103599,101423,0.978995936254211,2.0628855228424072,0.42298683524131775
PRAD,shipped,hoptimus0,slide_out,abs,MEND144,predicted_value_decile,4,72045,70508,0.9786661114581164,2.052612066268921,0.5282421112060547
PRAD,shipped,hoptimus0,slide_out,abs,MEND144,predicted_value_decile,5,39321,38446,0.9777472597339844,2.0607078075408936,0.6546757221221924
PRAD,shipped,hoptimus0,slide_out,abs,MEND144,predicted_value_decile,6,16667,16228,0.9736605267894642,2.0984950065612793,0.8110392689704895
PRAD,shipped,hoptimus0,slide_out,abs,MEND144,predicted_value_decile,7,5956,5591,0.9387172599059772,2.1194446086883545,0.9844064712524414
PRAD,shipped,hoptimus0,slide_out,abs,MEND144,predicted_value_decile,8,2575,2139,0.8306796116504854,2.0905473232269287,1.121163010597229
PRAD,shipped,hoptimus0,slide_out,abs,MEND144,predicted_value_decile,9,1213,768,0.6331409727947238,2.10620379447937,1.4117786884307861
PRAD,shipped,hoptimus0,slide_out,abs,MEND145,predicted_value_decile,0,28180,27638,0.9807665010645849,2.2303645610809326,0.07875115424394608
PRAD,shipped,hoptimus0,slide_out,abs,MEND145,predicted_value_decile,1,43199,42147,0.9756475844348249,2.146900177001953,0.2377714365720749
PRAD,shipped,hoptimus0,slide_out,abs,MEND145,predicted_value_decile,2,42416,40980,0.9661448509996228,2.1095547676086426,0.3397709131240845
PRAD,shipped,hoptimus0,slide_out,abs,MEND145,predicted_value_decile,3,34240,32808,0.9581775700934579,2.0873818397521973,0.4254380166530609
PRAD,shipped,hoptimus0,slide_out,abs,MEND145,predicted_value_decile,4,24338,23021,0.945887090147095,2.08717679977417,0.5215556621551514
PRAD,shipped,hoptimus0,slide_out,abs,MEND145,predicted_value_decile,5,15905,14763,0.9281986796604841,2.106938600540161,0.6351931691169739
PRAD,shipped,hoptimus0,slide_out,abs,MEND145,predicted_value_decile,6,11262,10204,0.9060557627419641,2.098130464553833,0.7485126256942749
PRAD,shipped,hoptimus0,slide_out,abs,MEND145,predicted_value_decile,7,8246,6997,0.8485326218772739,2.060441732406616,0.8652318716049194
PRAD,shipped,hoptimus0,slide_out,abs,MEND145,predicted_value_decile,8,3958,3022,0.7635169277412834,2.0879135131835938,1.0872074365615845
PRAD,shipped,hoptimus0,slide_out,abs,MEND145,predicted_value_decile,9,956,662,0.6924686192468619,2.1280457973480225,1.3905930519104004
PRAD,shipped,hoptimus0,slide_out,abs,MEND146,predicted_value_decile,0,37180,36067,0.9700645508337816,2.0124075412750244,0.08445776253938675
PRAD,shipped,hoptimus0,slide_out,abs,MEND146,predicted_value_decile,1,57813,56741,0.981457457665231,2.006497621536255,0.24683789908885956
PRAD,shipped,hoptimus0,slide_out,abs,MEND146,predicted_value_decile,2,60127,59015,0.9815058126964592,2.0039117336273193,0.36047786474227905
PRAD,shipped,hoptimus0,slide_out,abs,MEND146,predicted_value_decile,3,49694,48811,0.9822312552823278,1.9731206893920898,0.440494567155838
PRAD,shipped,hoptimus0,slide_out,abs,MEND146,predicted_value_decile,4,34374,33660,0.9792284866468842,1.9204095602035522,0.5075329542160034
PRAD,shipped,hoptimus0,slide_out,abs,MEND146,predicted_value_decile,5,21002,20328,0.9679078183030188,1.8423751592636108,0.5679498910903931
PRAD,shipped,hoptimus0,slide_out,abs,MEND146,predicted_value_decile,6,13334,12526,0.9394030298485075,1.8506466150283813,0.6957626342773438
PRAD,shipped,hoptimus0,slide_out,abs,MEND146,predicted_value_decile,7,10001,8858,0.8857114288571143,1.8774546384811401,0.8650999069213867
PRAD,shipped,hoptimus0,slide_out,abs,MEND146,predicted_value_decile,8,7840,6006,0.7660714285714286,1.8792470693588257,1.0687094926834106
PRAD,shipped,hoptimus0,slide_out,abs,MEND146,predicted_value_decile,9,3235,1981,0.6123647604327667,1.8778059482574463,1.3460378646850586
PRAD,shipped,hoptimus0,slide_out,abs,MEND147,predicted_value_decile,0,34095,33055,0.96949699369409,2.300279140472412,0.10820402204990387
PRAD,shipped,hoptimus0,slide_out,abs,MEND147,predicted_value_decile,1,42117,41067,0.9750694493909823,2.2520341873168945,0.26238396763801575
PRAD,shipped,hoptimus0,slide_out,abs,MEND147,predicted_value_decile,2,45077,44015,0.9764403132417863,2.2756009101867676,0.3705410957336426
PRAD,shipped,hoptimus0,slide_out,abs,MEND147,predicted_value_decile,3,44074,43009,0.9758360938421745,2.2737081050872803,0.45251142978668213
PRAD,shipped,hoptimus0,slide_out,abs,MEND147,predicted_value_decile,4,40570,39515,0.9739955632240572,2.2743027210235596,0.5322110652923584
PRAD,shipped,hoptimus0,slide_out,abs,MEND147,predicted_value_decile,5,38407,37276,0.9705522430806884,2.2533154487609863,0.6201240420341492
PRAD,shipped,hoptimus0,slide_out,abs,MEND147,predicted_value_decile,6,38428,37335,0.9715571978765484,2.2181129455566406,0.7294292449951172
PRAD,shipped,hoptimus0,slide_out,abs,MEND147,predicted_value_decile,7,34855,33332,0.9563046908621432,2.19913649559021,0.8854415416717529
PRAD,shipped,hoptimus0,slide_out,abs,MEND147,predicted_value_decile,8,24137,21835,0.9046277499274972,2.179381847381592,1.0820807218551636
PRAD,shipped,hoptimus0,slide_out,abs,MEND147,predicted_value_decile,9,8490,6483,0.7636042402826855,2.086672067642212,1.3250586986541748
PRAD,shipped,hoptimus0,slide_out,abs,MEND148,predicted_value_decile,0,103880,102176,0.9835964574509048,2.136584520339966,0.07385547459125519
PRAD,shipped,hoptimus0,slide_out,abs,MEND148,predicted_value_decile,1,56139,55581,0.990060385828034,2.1322667598724365,0.26588934659957886
