encoder,task,label_set,fold,cal_draw,calibration_unit,n_units_in_pool,n_cal_units,n_pool_spots,n_T_a1_natural,n_match_target,n_T_a1,n_blocks_chosen,n_blocks_total,n_block_spots,n_buffer_dropped,n_T_shared,n_C_unit_natural,n_C_matched,n_E,min_T_spots,status
uni_v2,CCRCC,shipped,INT20,2,donor,23,6,69360,45744,35996,35996,122,556,7907,4616,23473,23616,7907,4860,1000,ok
uni_v2,CCRCC,shipped,INT21,0,donor,23,6,69245,55332,35996,35996,121,571,7904,3821,24271,13913,7904,4975,1000,ok
uni_v2,CCRCC,shipped,INT21,1,donor,23,6,69245,58249,35996,35996,123,576,7709,3859,24428,10996,7709,4975,1000,ok
uni_v2,CCRCC,shipped,INT21,2,donor,23,6,69245,53487,35996,35996,119,556,7856,3712,24428,15758,7856,4975,1000,ok
uni_v2,CCRCC,shipped,INT22,0,donor,23,6,70391,52804,35996,35996,115,550,7671,3920,24405,17587,7671,3829,1000,ok
uni_v2,CCRCC,shipped,INT22,1,donor,23,6,70391,48964,35996,35996,122,552,7933,3861,24202,21427,7933,3829,1000,ok
uni_v2,CCRCC,shipped,INT22,2,donor,23,6,70391,47030,35996,35996,118,548,7936,4243,23817,23361,7936,3829,1000,ok
uni_v2,CCRCC,shipped,INT23,0,donor,23,6,69465,48013,35996,35996,124,557,7987,4368,23641,21452,7987,4755,1000,ok
uni_v2,CCRCC,shipped,INT23,1,donor,23,6,69465,51986,35996,35996,112,553,7801,4021,24174,17479,7801,4755,1000,ok
uni_v2,CCRCC,shipped,INT23,2,donor,23,6,69465,56196,35996,35996,126,577,7960,3741,24295,13269,7960,4755,1000,ok
uni_v2,CCRCC,shipped,INT24,0,donor,23,6,69710,50851,35996,35996,126,550,7964,4070,23962,18859,7964,4510,1000,ok
uni_v2,CCRCC,shipped,INT24,1,donor,23,6,69710,45551,35996,35996,122,547,7928,3920,24148,24159,7928,4510,1000,ok
uni_v2,CCRCC,shipped,INT24,2,donor,23,6,69710,51746,35996,35996,121,559,7713,3895,24388,17964,7713,4510,1000,ok
uni_v2,CCRCC,shipped,INT3,0,donor,23,6,72213,51869,35996,35996,120,562,7910,4064,24022,20344,7910,2007,1000,ok
uni_v2,CCRCC,shipped,INT3,1,donor,23,6,72213,52994,35996,35996,124,558,7884,3686,24426,19219,7884,2007,1000,ok
uni_v2,CCRCC,shipped,INT3,2,donor,23,6,72213,54979,35996,35996,125,575,7806,3857,24333,17234,7806,2007,1000,ok
uni_v2,CCRCC,shipped,INT4,0,donor,23,6,72871,59261,35996,35996,125,587,7820,3743,24433,13610,7820,1349,1000,ok
uni_v2,CCRCC,shipped,INT4,1,donor,23,6,72871,52249,35996,35996,117,557,7668,4041,24287,20622,7668,1349,1000,ok
uni_v2,CCRCC,shipped,INT4,2,donor,23,6,72871,54623,35996,35996,129,573,7814,4023,24159,18248,7814,1349,1000,ok
uni_v2,CCRCC,shipped,INT5,0,donor,23,6,73034,48438,35996,35996,122,563,7790,4052,24154,24596,7790,1186,1000,ok
uni_v2,CCRCC,shipped,INT5,1,donor,23,6,73034,55768,35996,35996,122,564,7847,3947,24202,17266,7847,1186,1000,ok
uni_v2,CCRCC,shipped,INT5,2,donor,23,6,73034,50704,35996,35996,125,554,7850,3982,24164,22330,7850,1186,1000,ok
uni_v2,CCRCC,shipped,INT6,0,donor,23,6,72542,54950,35996,35996,131,573,7945,3887,24164,17592,7945,1678,1000,ok
uni_v2,CCRCC,shipped,INT6,1,donor,23,6,72542,53120,35996,35996,117,563,7814,3971,24211,19422,7814,1678,1000,ok
uni_v2,CCRCC,shipped,INT6,2,donor,23,6,72542,52695,35996,35996,123,565,7920,3888,24188,19847,7920,1678,1000,ok
uni_v2,CCRCC,shipped,INT7,0,donor,23,6,71846,52929,35996,35996,122,568,7755,3748,24493,18917,7755,2374,1000,ok
uni_v2,CCRCC,shipped,INT7,1,donor,23,6,71846,47026,35996,35996,121,556,8090,4350,23556,24820,8090,2374,1000,ok
uni_v2,CCRCC,shipped,INT7,2,donor,23,6,71846,49223,35996,35996,118,559,7679,4143,24174,22623,7679,2374,1000,ok
uni_v2,CCRCC,shipped,INT8,0,donor,23,6,72271,49497,35996,35996,120,552,7833,4119,24044,22774,7833,1949,1000,ok
uni_v2,CCRCC,shipped,INT8,1,donor,23,6,72271,53800,35996,35996,129,567,7896,3801,24299,18471,7896,1949,1000,ok
uni_v2,CCRCC,shipped,INT8,2,donor,23,6,72271,50652,35996,35996,121,561,7727,3952,24317,21619,7727,1949,1000,ok
uni_v2,CCRCC,shipped,INT9,0,donor,23,6,72524,59915,35996,35996,124,577,7835,3498,24663,12609,7835,1696,1000,ok
uni_v2,CCRCC,shipped,INT9,1,donor,23,6,72524,51991,35996,35996,125,556,7845,3727,24424,20533,7845,1696,1000,ok
uni_v2,CCRCC,shipped,INT9,2,donor,23,6,72524,54910,35996,35996,120,566,7787,3900,24309,17614,7787,1696,1000,ok
uni_v2,COAD,shipped,COAD_Oliveira_P1,0,donor,3,1,12031,8496,3389,3389,15,71,728,270,2391,3535,728,3620,1000,ok
uni_v2,COAD,shipped,COAD_Oliveira_P1,1,donor,3,1,12031,8614,3389,3389,14,71,716,320,2353,3417,716,3620,1000,ok
uni_v2,COAD,shipped,COAD_Oliveira_P1,2,donor,3,1,12031,8496,3389,3389,17,71,754,358,2277,3535,754,3620,1000,ok
uni_v2,COAD,shipped,COAD_Oliveira_P2,0,donor,3,1,12116,8496,3389,3389,15,71,715,281,2393,3620,715,3535,1000,ok
uni_v2,COAD,shipped,COAD_Oliveira_P2,1,donor,3,1,12116,8699,3389,3389,17,69,749,310,2330,3417,749,3535,1000,ok
uni_v2,COAD,shipped,COAD_Oliveira_P2,2,donor,3,1,12116,8699,3389,3389,14,69,735,317,2337,3417,735,3535,1000,ok
uni_v2,COAD,shipped,COAD_Oliveira_P5,0,donor,3,1,12234,8699,3389,3389,14,68,706,293,2390,3535,706,3417,1000,ok
