task,label_set,encoder,design,score,fold,stratum_kind,stratum_value,n_spot_gene,n_covered,coverage,width_mean,pred_mean,superseded_label_set
IDC,audited,resnet50,slide_out,abs,NCBI783,predicted_value_decile,6,37295,31892,0.8551280332484247,5.096861362457275,2.393371343612671,True
IDC,audited,resnet50,slide_out,abs,NCBI783,predicted_value_decile,7,33092,28271,0.8543152423546476,4.968238353729248,2.529862403869629,True
IDC,audited,resnet50,slide_out,abs,NCBI783,predicted_value_decile,8,31658,26447,0.8353970560363889,4.437292575836182,2.4815683364868164,True
IDC,audited,resnet50,slide_out,abs,NCBI783,predicted_value_decile,9,43051,34497,0.8013054284453323,3.826303482055664,2.7699687480926514,True
IDC,audited,resnet50,slide_out,abs,NCBI785,predicted_value_decile,0,89506,53665,0.599568743994816,3.974611282348633,0.20326291024684906,True
IDC,audited,resnet50,slide_out,abs,NCBI785,predicted_value_decile,1,80352,61178,0.7613749502190362,4.1766510009765625,0.8354905247688293,True
IDC,audited,resnet50,slide_out,abs,NCBI785,predicted_value_decile,2,73601,59390,0.8069183842610834,4.441699028015137,1.144657850265503,True
IDC,audited,resnet50,slide_out,abs,NCBI785,predicted_value_decile,3,65304,53242,0.8152946220752174,4.5458526611328125,1.4186707735061646,True
IDC,audited,resnet50,slide_out,abs,NCBI785,predicted_value_decile,4,56223,45942,0.8171388933354677,4.569091320037842,1.6561906337738037,True
IDC,audited,resnet50,slide_out,abs,NCBI785,predicted_value_decile,5,49183,40231,0.8179858894333408,4.478986740112305,1.8575739860534668,True
IDC,audited,resnet50,slide_out,abs,NCBI785,predicted_value_decile,6,45361,36653,0.8080289235246136,4.445030212402344,2.1253490447998047,True
IDC,audited,resnet50,slide_out,abs,NCBI785,predicted_value_decile,7,45586,35937,0.7883341376738472,4.4512481689453125,2.4546172618865967,True
IDC,audited,resnet50,slide_out,abs,NCBI785,predicted_value_decile,8,45266,34795,0.768678478328105,4.386014938354492,2.842532157897949,True
IDC,audited,resnet50,slide_out,abs,NCBI785,predicted_value_decile,9,51118,34018,0.6654798701044642,4.67823600769043,4.178386211395264,True
IDC,audited,resnet50,slide_out,abs,TENX95,predicted_value_decile,0,116137,85909,0.7397211913515934,5.633950710296631,-0.03123065084218979,True
IDC,audited,resnet50,slide_out,abs,TENX95,predicted_value_decile,1,135964,110505,0.8127519049160071,5.714740753173828,0.6682697534561157,True
IDC,audited,resnet50,slide_out,abs,TENX95,predicted_value_decile,2,133505,114727,0.8593460919066702,5.506447792053223,1.0345343351364136,True
IDC,audited,resnet50,slide_out,abs,TENX95,predicted_value_decile,3,131199,118417,0.9025754769472328,5.466951847076416,1.3782321214675903,True
IDC,audited,resnet50,slide_out,abs,TENX95,predicted_value_decile,4,125855,117208,0.9312939493861984,5.438650608062744,1.6824958324432373,True
IDC,audited,resnet50,slide_out,abs,TENX95,predicted_value_decile,5,116997,111466,0.9527252835542792,5.359284400939941,1.9579514265060425,True
IDC,audited,resnet50,slide_out,abs,TENX95,predicted_value_decile,6,109115,105560,0.9674196948173945,5.253076076507568,2.2154006958007812,True
IDC,audited,resnet50,slide_out,abs,TENX95,predicted_value_decile,7,99428,96506,0.9706119000683912,5.133418560028076,2.4582574367523193,True
IDC,audited,resnet50,slide_out,abs,TENX95,predicted_value_decile,8,94809,91037,0.9602147475450643,5.012683868408203,2.720947504043579,True
IDC,audited,resnet50,slide_out,abs,TENX95,predicted_value_decile,9,100991,89753,0.8887227574734382,4.688329219818115,3.162830114364624,True
IDC,audited,resnet50,slide_out,abs,TENX99,predicted_value_decile,0,266134,244376,0.9182441927750682,5.038306713104248,-0.050790153443813324,True
IDC,audited,resnet50,slide_out,abs,TENX99,predicted_value_decile,1,257477,246317,0.9566563227006684,4.798314571380615,0.6995231509208679,True
IDC,audited,resnet50,slide_out,abs,TENX99,predicted_value_decile,2,274042,258555,0.9434867648024755,4.780399322509766,1.0770827531814575,True
IDC,audited,resnet50,slide_out,abs,TENX99,predicted_value_decile,3,289471,269090,0.9295922562191031,4.75722599029541,1.365299940109253,True
IDC,audited,resnet50,slide_out,abs,TENX99,predicted_value_decile,4,306382,278351,0.9085096382946779,4.764488220214844,1.6416507959365845,True
IDC,audited,resnet50,slide_out,abs,TENX99,predicted_value_decile,5,325264,289492,0.8900216439569089,4.7850775718688965,1.9301209449768066,True
IDC,audited,resnet50,slide_out,abs,TENX99,predicted_value_decile,6,341229,300063,0.8793596089429679,4.768670558929443,2.2276828289031982,True
IDC,audited,resnet50,slide_out,abs,TENX99,predicted_value_decile,7,354944,304369,0.8575127344031734,4.769733428955078,2.5667357444763184,True
IDC,audited,resnet50,slide_out,abs,TENX99,predicted_value_decile,8,361317,295403,0.8175729345699206,4.798451900482178,2.9937403202056885,True
IDC,audited,resnet50,slide_out,abs,TENX99,predicted_value_decile,9,337890,210911,0.6242001834916688,4.7077765464782715,3.8120555877685547,True
IDC,audited,resnet50,slide_out,abs,NCBI783,neoplastic_fraction_tertile,1,320400,280580,0.8757178526841448,4.802292346954346,1.6144341230392456,True
IDC,audited,resnet50,slide_out,abs,NCBI783,neoplastic_fraction_tertile,2,117600,95323,0.8105697278911564,4.802292823791504,1.6809192895889282,True
IDC,audited,resnet50,slide_out,abs,NCBI785,neoplastic_fraction_tertile,1,368250,283907,0.7709626612355737,4.379938125610352,1.3746826648712158,True
IDC,audited,resnet50,slide_out,abs,NCBI785,neoplastic_fraction_tertile,2,222750,163892,0.7357665544332211,4.379938125610352,2.1765270233154297,True
IDC,audited,resnet50,slide_out,abs,TENX95,neoplastic_fraction_tertile,1,668700,601494,0.8994975325257963,5.3501105308532715,1.5099471807479858,True
IDC,audited,resnet50,slide_out,abs,TENX95,neoplastic_fraction_tertile,2,475500,420055,0.8833964248159831,5.3501105308532715,1.8770557641983032,True
IDC,audited,resnet50,slide_out,abs,TENX99,neoplastic_fraction_tertile,1,2135550,1895391,0.8875423193088432,4.7924041748046875,1.6656311750411987,True
IDC,audited,resnet50,slide_out,abs,TENX99,neoplastic_fraction_tertile,2,931200,756065,0.811925472508591,4.792404651641846,2.617525339126587,True
