head,encoder,task,pearson_mean,pearson_std,n_splits
pca_ridge,hoptimus0,LUNG,0.559,0.046,2
pca_ridge,hoptimus0,LYMPH_IDC,0.2592,0.0467,4
pca_ridge,hoptimus0,PAAD,0.4911,0.049,3
pca_ridge,hoptimus0,PRAD,0.3848,0.0004,2
pca_ridge,hoptimus0,READ,0.2216,0.0673,2
pca_ridge,hoptimus0,SKCM,0.6455,0.0882,2
pca_ridge,hoptimus1,CCRCC,0.2533,0.0412,6
pca_ridge,hoptimus1,COAD,0.3195,0.0228,2
pca_ridge,hoptimus1,HCC,0.085,0.0299,2
pca_ridge,hoptimus1,IDC,0.6024,0.093,4
pca_ridge,hoptimus1,LUNG,0.578,0.017,2
pca_ridge,hoptimus1,LYMPH_IDC,0.2774,0.0454,4
pca_ridge,hoptimus1,PAAD,0.4965,0.0619,3
pca_ridge,hoptimus1,PRAD,0.3782,0.017,2
pca_ridge,hoptimus1,READ,0.242,0.0217,2
pca_ridge,hoptimus1,SKCM,0.6589,0.0679,2
pca_ridge,phikon,CCRCC,0.2423,0.0288,6
pca_ridge,phikon,COAD,0.2624,0.0024,2
pca_ridge,phikon,HCC,0.0603,0.0175,2
pca_ridge,phikon,IDC,0.5327,0.1055,4
pca_ridge,phikon,LUNG,0.5466,0.0064,2
pca_ridge,phikon,LYMPH_IDC,0.2372,0.0528,4
pca_ridge,phikon,PAAD,0.4424,0.0852,3
pca_ridge,phikon,PRAD,0.3421,0.1085,2
pca_ridge,phikon,READ,0.1532,0.1132,2
pca_ridge,phikon,SKCM,0.5356,0.0845,2
pca_ridge,resnet50,CCRCC,0.2252,0.0619,6
pca_ridge,resnet50,COAD,0.25,0.053,2
pca_ridge,resnet50,HCC,0.0605,0.0518,2
pca_ridge,resnet50,IDC,0.4738,0.0523,4
pca_ridge,resnet50,LUNG,0.4948,0.0135,2
pca_ridge,resnet50,LYMPH_IDC,0.2305,0.0533,4
pca_ridge,resnet50,PAAD,0.388,0.0934,3
pca_ridge,resnet50,PRAD,0.3044,0.0445,2
pca_ridge,resnet50,READ,0.0783,0.0791,2
pca_ridge,resnet50,SKCM,0.4822,0.162,2
pca_ridge,uni_v1,CCRCC,0.24,0.0433,6
pca_ridge,uni_v1,COAD,0.2616,0.0436,2
pca_ridge,uni_v1,HCC,0.0784,0.0022,2
pca_ridge,uni_v1,IDC,0.5735,0.0915,4
pca_ridge,uni_v1,LUNG,0.5464,0.0318,2
pca_ridge,uni_v1,LYMPH_IDC,0.2559,0.0509,4
pca_ridge,uni_v1,PAAD,0.4807,0.0864,3
pca_ridge,uni_v1,PRAD,0.2943,0.1203,2
pca_ridge,uni_v1,READ,0.1836,0.0699,2
pca_ridge,uni_v1,SKCM,0.6346,0.0508,2
pca_ridge,uni_v2,CCRCC,0.264,0.0512,6
pca_ridge,uni_v2,COAD,0.3016,0.0056,2
pca_ridge,uni_v2,HCC,0.0748,0.0069,2
pca_ridge,uni_v2,IDC,0.5898,0.0938,4
pca_ridge,uni_v2,LUNG,0.5588,0.0186,2
pca_ridge,uni_v2,LYMPH_IDC,0.2728,0.0461,4
pca_ridge,uni_v2,PAAD,0.5001,0.0486,3
pca_ridge,uni_v2,PRAD,0.3568,0.0699,2
pca_ridge,uni_v2,READ,0.2227,0.0532,2
pca_ridge,uni_v2,SKCM,0.6612,0.0213,2
pca_ridge,virchow,CCRCC,0.2586,0.0327,6
pca_ridge,virchow,COAD,0.3079,0.0004,2
pca_ridge,virchow,HCC,0.0832,0.0251,2
pca_ridge,virchow,IDC,0.5846,0.109,4
pca_ridge,virchow,LUNG,0.5663,0.0373,2
pca_ridge,virchow,LYMPH_IDC,0.261,0.0442,4
pca_ridge,virchow,PAAD,0.5159,0.0814,3
pca_ridge,virchow,PRAD,0.3378,0.0139,2
pca_ridge,virchow,READ,0.1981,0.0687,2
pca_ridge,virchow,SKCM,0.6242,0.0834,2
pca_ridge,virchow2,CCRCC,0.2719,0.0559,6
pca_ridge,virchow2,COAD,0.258,0.05,2
pca_ridge,virchow2,HCC,0.0942,0.0177,2
pca_ridge,virchow2,IDC,0.5971,0.0968,4
pca_ridge,virchow2,LUNG,0.5684,0.0228,2
pca_ridge,virchow2,LYMPH_IDC,0.2568,0.0386,4
pca_ridge,virchow2,PAAD,0.4778,0.0861,3
pca_ridge,virchow2,PRAD,0.3529,0.0492,2
pca_ridge,virchow2,READ,0.2074,0.0759,2
pca_ridge,virchow2,SKCM,0.6398,0.0545,2
pca_xgb,resnet50,CCRCC,0.163,0.038,6
pca_xgb,resnet50,COAD,0.2577,0.0,2
pca_xgb,resnet50,HCC,0.0235,0.03,2
pca_xgb,resnet50,IDC,0.4297,0.0384,4
pca_xgb,resnet50,LUNG,0.4934,0.0009,2
pca_xgb,resnet50,LYMPH_IDC,0.2268,0.0597,4
pca_xgb,resnet50,PAAD,0.372,0.074,3
pca_xgb,resnet50,PRAD,0.354,0.0375,2
pca_xgb,resnet50,READ,0.0188,0.1247,2
pca_xgb,resnet50,SKCM,0.4262,0.1141,2
raw_ridge,conch_v1,CCRCC,0.2356,0.0424,6
raw_ridge,conch_v1,COAD,0.247,0.0048,2
raw_ridge,conch_v1,HCC,0.0382,0.0088,2
raw_ridge,conch_v1,IDC,0.5278,0.092,4
raw_ridge,conch_v1,LUNG,0.4952,0.0299,2
raw_ridge,conch_v1,LYMPH_IDC,0.2462,0.0395,4
raw_ridge,conch_v1,PAAD,0.4225,0.0943,3
raw_ridge,conch_v1,PRAD,0.3604,0.0194,2
raw_ridge,conch_v1,READ,0.145,0.0645,2
raw_ridge,conch_v1,SKCM,0.5087,0.0417,2
raw_ridge,conch_v15,CCRCC,0.2124,0.0366,6
raw_ridge,conch_v15,COAD,0.243,0.053,2
raw_ridge,conch_v15,HCC,0.05,0.0203,2
raw_ridge,conch_v15,IDC,0.5487,0.0937,4
raw_ridge,conch_v15,LUNG,0.4903,0.0503,2
raw_ridge,conch_v15,LYMPH_IDC,0.2548,0.0557,4
raw_ridge,conch_v15,PAAD,0.415,0.0445,3
raw_ridge,conch_v15,PRAD,0.37,0.0229,2
raw_ridge,conch_v15,READ,0.1536,0.0641,2
raw_ridge,conch_v15,SKCM,0.4386,0.0135,2
raw_ridge,ctranspath,CCRCC,0.2219,0.0435,6
raw_ridge,ctranspath,COAD,0.202,0.0753,2
raw_ridge,ctranspath,HCC,0.0162,0.0017,2
raw_ridge,ctranspath,IDC,0.4963,0.0526,4
raw_ridge,ctranspath,LUNG,0.4257,0.0783,2
raw_ridge,ctranspath,LYMPH_IDC,0.2144,0.042,4
raw_ridge,ctranspath,PAAD,0.3869,0.0752,3
raw_ridge,ctranspath,PRAD,0.3054,0.0897,2
raw_ridge,ctranspath,READ,0.0858,0.1003,2
raw_ridge,ctranspath,SKCM,0.3474,0.152,2
raw_ridge,gigapath,CCRCC,0.2172,0.0523,6
raw_ridge,gigapath,COAD,0.1726,0.0842,2
raw_ridge,gigapath,HCC,0.0058,0.0164,2
raw_ridge,gigapath,IDC,0.5323,0.0937,4
raw_ridge,gigapath,LUNG,0.315,0.1232,2
raw_ridge,gigapath,LYMPH_IDC,0.193,0.0352,4
raw_ridge,gigapath,PAAD,0.3173,0.0196,3
raw_ridge,gigapath,PRAD,0.3034,0.0397,2
raw_ridge,gigapath,READ,0.1238,0.053,2
raw_ridge,gigapath,SKCM,0.223,0.0096,2
raw_ridge,hoptimus0,CCRCC,0.2343,0.0409,6
raw_ridge,hoptimus0,COAD,0.1626,0.0709,2
raw_ridge,hoptimus0,HCC,0.0192,0.0025,2
raw_ridge,hoptimus0,IDC,0.5788,0.1037,4
raw_ridge,hoptimus0,LUNG,0.3142,0.1169,2
raw_ridge,hoptimus0,LYMPH_IDC,0.1976,0.0298,4
raw_ridge,hoptimus0,PAAD,0.3359,0.0532,3
raw_ridge,hoptimus0,PRAD,0.2564,0.0008,2
raw_ridge,hoptimus0,READ,0.1224,0.0441,2
raw_ridge,hoptimus0,SKCM,0.2778,0.0074,2
raw_ridge,phikon,CCRCC,0.2531,0.0532,6
raw_ridge,phikon,COAD,0.1698,0.0793,2
raw_ridge,phikon,HCC,0.0385,0.0211,2
raw_ridge,phikon,IDC,0.5259,0.0913,4
raw_ridge,phikon,LUNG,0.4226,0.0818,2
raw_ridge,phikon,LYMPH_IDC,0.2151,0.0483,4
raw_ridge,phikon,PAAD,0.3594,0.0866,3
raw_ridge,phikon,PRAD,0.2489,0.1789,2
raw_ridge,phikon,READ,0.1134,0.106,2
raw_ridge,phikon,SKCM,0.3684,0.1493,2
raw_ridge,resnet50,CCRCC,0.2102,0.0602,6
raw_ridge,resnet50,COAD,0.2004,0.0858,2
raw_ridge,resnet50,HCC,0.0386,0.0275,2
raw_ridge,resnet50,IDC,0.4457,0.0436,4
raw_ridge,resnet50,LUNG,0.3998,0.0892,2
raw_ridge,resnet50,LYMPH_IDC,0.2033,0.0619,4
raw_ridge,resnet50,PAAD,0.343,0.0806,3
raw_ridge,resnet50,PRAD,0.2759,0.0873,2
raw_ridge,resnet50,READ,0.067,0.091,2
raw_ridge,resnet50,SKCM,0.4138,0.1153,2
raw_ridge,uni_v1,CCRCC,0.2396,0.0608,6
raw_ridge,uni_v1,COAD,0.1842,0.0717,2
raw_ridge,uni_v1,HCC,0.0164,0.0021,2
raw_ridge,uni_v1,IDC,0.563,0.0892,4
raw_ridge,uni_v1,LUNG,0.371,0.1555,2
raw_ridge,uni_v1,LYMPH_IDC,0.2237,0.0333,4
raw_ridge,uni_v1,PAAD,0.377,0.0683,3
raw_ridge,uni_v1,PRAD,0.257,0.1158,2
raw_ridge,uni_v1,READ,0.1238,0.061,2
raw_ridge,uni_v1,SKCM,0.3432,0.0785,2
raw_ridge,uni_v2,CCRCC,0.2333,0.0569,6
raw_ridge,uni_v2,COAD,0.1826,0.0807,2
raw_ridge,uni_v2,HCC,0.0144,0.0029,2
raw_ridge,uni_v2,IDC,0.5739,0.0851,4
raw_ridge,uni_v2,LUNG,0.2896,0.1784,2
raw_ridge,uni_v2,LYMPH_IDC,0.2074,0.0228,4
raw_ridge,uni_v2,PAAD,0.3484,0.0161,3
raw_ridge,uni_v2,PRAD,0.3376,0.0746,2
raw_ridge,uni_v2,READ,0.1187,0.0611,2
raw_ridge,uni_v2,SKCM,0.1974,0.0564,2
raw_ridge,virchow,CCRCC,0.2313,0.0407,6
raw_ridge,virchow,COAD,0.1542,0.0334,2
raw_ridge,virchow,HCC,0.0316,0.0129,2
raw_ridge,virchow,IDC,0.556,0.0991,4
raw_ridge,virchow,LUNG,0.2912,0.075,2
raw_ridge,virchow,LYMPH_IDC,0.1706,0.0175,4
raw_ridge,virchow,PAAD,0.2738,0.0262,3
raw_ridge,virchow,PRAD,0.2721,0.0257,2
raw_ridge,virchow,READ,0.068,0.0672,2
raw_ridge,virchow,SKCM,0.3718,0.0219,2
raw_ridge,virchow2,CCRCC,0.2147,0.0444,6
raw_ridge,virchow2,COAD,0.1395,0.0537,2
raw_ridge,virchow2,HCC,0.0368,0.0145,2
raw_ridge,virchow2,IDC,0.5534,0.1027,4
raw_ridge,virchow2,LUNG,0.2688,0.0678,2
raw_ridge,virchow2,LYMPH_IDC,0.1981,0.0136,4
raw_ridge,virchow2,PAAD,0.2182,0.0201,3
raw_ridge,virchow2,PRAD,0.2794,0.0508,2
raw_ridge,virchow2,READ,0.104,0.0641,2
raw_ridge,virchow2,SKCM,0.376,0.0145,2
raw_xgb,conch_v1,CCRCC,0.1711,0.0595,6
raw_xgb,conch_v1,COAD,0.3183,0.0045,2
raw_xgb,conch_v1,HCC,0.0407,0.0156,2
raw_xgb,conch_v1,IDC,0.5164,0.0687,4
raw_xgb,conch_v1,LUNG,0.5584,0.0107,2
raw_xgb,conch_v1,LYMPH_IDC,0.2562,0.0711,4
raw_xgb,conch_v1,PAAD,0.4375,0.0837,3
raw_xgb,conch_v1,PRAD,0.3796,0.0179,2
raw_xgb,conch_v1,READ,0.1421,0.0986,2
raw_xgb,conch_v1,SKCM,0.5754,0.0718,2
raw_xgb,conch_v15,CCRCC,0.1751,0.0429,6
raw_xgb,conch_v15,COAD,0.3126,0.0258,2
raw_xgb,conch_v15,HCC,0.048,0.0016,2
raw_xgb,conch_v15,IDC,0.519,0.0955,4
raw_xgb,conch_v15,LUNG,0.5636,0.0252,2
raw_xgb,conch_v15,LYMPH_IDC,0.2575,0.0705,4
raw_xgb,conch_v15,PAAD,0.4317,0.0776,3
raw_xgb,conch_v15,PRAD,0.3748,0.0125,2
raw_xgb,conch_v15,READ,0.1318,0.0883,2
raw_xgb,conch_v15,SKCM,0.5864,0.0349,2
raw_xgb,ctranspath,CCRCC,0.189,0.0421,6
raw_xgb,ctranspath,COAD,0.2953,0.0123,2
raw_xgb,ctranspath,HCC,0.0444,0.0072,2
raw_xgb,ctranspath,IDC,0.4755,0.0619,4
raw_xgb,ctranspath,LUNG,0.5368,0.0163,2
raw_xgb,ctranspath,LYMPH_IDC,0.239,0.0665,4
raw_xgb,ctranspath,PAAD,0.4275,0.0805,3
raw_xgb,ctranspath,PRAD,0.3634,0.0383,2
raw_xgb,ctranspath,READ,0.0648,0.1247,2
raw_xgb,ctranspath,SKCM,0.5257,0.1047,2
raw_xgb,gigapath,CCRCC,0.2186,0.0437,6
raw_xgb,gigapath,COAD,0.2788,0.0227,2
raw_xgb,gigapath,HCC,0.0572,0.0008,2
raw_xgb,gigapath,IDC,0.5211,0.0735,4
raw_xgb,gigapath,LUNG,0.5514,0.0175,2
raw_xgb,gigapath,LYMPH_IDC,0.2463,0.0602,4
raw_xgb,gigapath,PAAD,0.4444,0.0698,3
raw_xgb,gigapath,PRAD,0.3738,0.0141,2
raw_xgb,gigapath,READ,0.1597,0.1042,2
raw_xgb,gigapath,SKCM,0.5284,0.0708,2
raw_xgb,hoptimus0,CCRCC,0.2419,0.0394,6
raw_xgb,hoptimus0,COAD,0.2917,0.0068,2
raw_xgb,hoptimus0,HCC,0.0676,0.0211,2
raw_xgb,hoptimus0,IDC,0.5554,0.0904,4
raw_xgb,hoptimus0,LUNG,0.5638,0.0105,2
raw_xgb,hoptimus0,LYMPH_IDC,0.2571,0.0613,4
raw_xgb,hoptimus0,PAAD,0.445,0.0681,3
raw_xgb,hoptimus0,PRAD,0.384,0.0118,2
