head,encoder,task,split,pearson
pca_ridge,hoptimus0,IDC,0,0.4767
pca_ridge,hoptimus0,IDC,1,0.6455
pca_ridge,hoptimus0,IDC,2,0.5652
pca_ridge,hoptimus0,IDC,3,0.7031
pca_ridge,hoptimus0,LUNG,0,0.5264
pca_ridge,hoptimus0,LUNG,1,0.5915
pca_ridge,hoptimus0,LYMPH_IDC,0,0.319
pca_ridge,hoptimus0,LYMPH_IDC,1,0.2242
pca_ridge,hoptimus0,LYMPH_IDC,2,0.2736
pca_ridge,hoptimus0,LYMPH_IDC,3,0.2199
pca_ridge,hoptimus0,PAAD,0,0.453
pca_ridge,hoptimus0,PAAD,1,0.5463
pca_ridge,hoptimus0,PAAD,2,0.4739
pca_ridge,hoptimus0,PRAD,0,0.385
pca_ridge,hoptimus0,PRAD,1,0.3845
pca_ridge,hoptimus0,READ,0,0.2692
pca_ridge,hoptimus0,READ,1,0.174
pca_ridge,hoptimus0,SKCM,0,0.7079
pca_ridge,hoptimus0,SKCM,1,0.5831
pca_ridge,hoptimus1,CCRCC,0,0.2039
pca_ridge,hoptimus1,CCRCC,1,0.26
pca_ridge,hoptimus1,CCRCC,2,0.256
pca_ridge,hoptimus1,CCRCC,3,0.2738
pca_ridge,hoptimus1,CCRCC,4,0.2113
pca_ridge,hoptimus1,CCRCC,5,0.3149
pca_ridge,hoptimus1,COAD,0,0.3034
pca_ridge,hoptimus1,COAD,1,0.3356
pca_ridge,hoptimus1,HCC,0,0.0639
pca_ridge,hoptimus1,HCC,1,0.1062
pca_ridge,hoptimus1,IDC,0,0.4893
pca_ridge,hoptimus1,IDC,1,0.6516
pca_ridge,hoptimus1,IDC,2,0.5684
pca_ridge,hoptimus1,IDC,3,0.7004
pca_ridge,hoptimus1,LUNG,0,0.5659
pca_ridge,hoptimus1,LUNG,1,0.59
pca_ridge,hoptimus1,LYMPH_IDC,0,0.3326
pca_ridge,hoptimus1,LYMPH_IDC,1,0.2382
pca_ridge,hoptimus1,LYMPH_IDC,2,0.2964
pca_ridge,hoptimus1,LYMPH_IDC,3,0.2423
pca_ridge,hoptimus1,PAAD,0,0.4382
pca_ridge,hoptimus1,PAAD,1,0.5614
pca_ridge,hoptimus1,PAAD,2,0.4898
pca_ridge,hoptimus1,PRAD,0,0.3661
pca_ridge,hoptimus1,PRAD,1,0.3902
pca_ridge,hoptimus1,READ,0,0.2574
pca_ridge,hoptimus1,READ,1,0.2267
pca_ridge,hoptimus1,SKCM,0,0.7069
pca_ridge,hoptimus1,SKCM,1,0.6109
pca_ridge,phikon,CCRCC,0,0.199
pca_ridge,phikon,CCRCC,1,0.2296
pca_ridge,phikon,CCRCC,2,0.2434
pca_ridge,phikon,CCRCC,3,0.2869
pca_ridge,phikon,CCRCC,4,0.2416
pca_ridge,phikon,CCRCC,5,0.2534
pca_ridge,phikon,COAD,0,0.2607
pca_ridge,phikon,COAD,1,0.2641
pca_ridge,phikon,HCC,0,0.0479
pca_ridge,phikon,HCC,1,0.0727
pca_ridge,phikon,IDC,0,0.4026
pca_ridge,phikon,IDC,1,0.587
pca_ridge,phikon,IDC,2,0.4975
pca_ridge,phikon,IDC,3,0.6435
pca_ridge,phikon,LUNG,0,0.542
pca_ridge,phikon,LUNG,1,0.5511
pca_ridge,phikon,LYMPH_IDC,0,0.3142
pca_ridge,phikon,LYMPH_IDC,1,0.1954
pca_ridge,phikon,LYMPH_IDC,2,0.2253
pca_ridge,phikon,LYMPH_IDC,3,0.2141
pca_ridge,phikon,PAAD,0,0.3705
pca_ridge,phikon,PAAD,1,0.5365
pca_ridge,phikon,PAAD,2,0.4203
pca_ridge,phikon,PRAD,0,0.4188
pca_ridge,phikon,PRAD,1,0.2654
pca_ridge,phikon,READ,0,0.2333
pca_ridge,phikon,READ,1,0.0732
pca_ridge,phikon,SKCM,0,0.5953
pca_ridge,phikon,SKCM,1,0.4758
pca_ridge,resnet50,CCRCC,0,0.1408
pca_ridge,resnet50,CCRCC,1,0.2426
pca_ridge,resnet50,CCRCC,2,0.1567
pca_ridge,resnet50,CCRCC,3,0.263
pca_ridge,resnet50,CCRCC,4,0.2539
pca_ridge,resnet50,CCRCC,5,0.2943
pca_ridge,resnet50,COAD,0,0.2125
pca_ridge,resnet50,COAD,1,0.2875
pca_ridge,resnet50,HCC,0,0.0239
pca_ridge,resnet50,HCC,1,0.0971
pca_ridge,resnet50,IDC,0,0.4081
pca_ridge,resnet50,IDC,1,0.5138
pca_ridge,resnet50,IDC,2,0.4555
pca_ridge,resnet50,IDC,3,0.518
pca_ridge,resnet50,LUNG,0,0.4853
pca_ridge,resnet50,LUNG,1,0.5044
pca_ridge,resnet50,LYMPH_IDC,0,0.2948
pca_ridge,resnet50,LYMPH_IDC,1,0.1968
pca_ridge,resnet50,LYMPH_IDC,2,0.2524
pca_ridge,resnet50,LYMPH_IDC,3,0.1779
pca_ridge,resnet50,PAAD,0,0.3299
pca_ridge,resnet50,PAAD,1,0.4957
pca_ridge,resnet50,PAAD,2,0.3383
pca_ridge,resnet50,PRAD,0,0.3358
pca_ridge,resnet50,PRAD,1,0.2729
pca_ridge,resnet50,READ,0,0.1342
pca_ridge,resnet50,READ,1,0.0224
pca_ridge,resnet50,SKCM,0,0.5967
pca_ridge,resnet50,SKCM,1,0.3676
pca_ridge,uni_v1,CCRCC,0,0.1984
pca_ridge,uni_v1,CCRCC,1,0.2618
pca_ridge,uni_v1,CCRCC,2,0.1972
pca_ridge,uni_v1,CCRCC,3,0.2392
pca_ridge,uni_v1,CCRCC,4,0.2307
pca_ridge,uni_v1,CCRCC,5,0.3125
pca_ridge,uni_v1,COAD,0,0.2308
pca_ridge,uni_v1,COAD,1,0.2925
pca_ridge,uni_v1,HCC,0,0.08
pca_ridge,uni_v1,HCC,1,0.0769
pca_ridge,uni_v1,IDC,0,0.4586
pca_ridge,uni_v1,IDC,1,0.6183
pca_ridge,uni_v1,IDC,2,0.5477
pca_ridge,uni_v1,IDC,3,0.6695
pca_ridge,uni_v1,LUNG,0,0.5239
pca_ridge,uni_v1,LUNG,1,0.5689
pca_ridge,uni_v1,LYMPH_IDC,0,0.3103
pca_ridge,uni_v1,LYMPH_IDC,1,0.2033
pca_ridge,uni_v1,LYMPH_IDC,2,0.287
pca_ridge,uni_v1,LYMPH_IDC,3,0.2229
pca_ridge,uni_v1,PAAD,0,0.4241
pca_ridge,uni_v1,PAAD,1,0.5801
pca_ridge,uni_v1,PAAD,2,0.4379
pca_ridge,uni_v1,PRAD,0,0.3794
pca_ridge,uni_v1,PRAD,1,0.2092
pca_ridge,uni_v1,READ,0,0.233
pca_ridge,uni_v1,READ,1,0.1342
pca_ridge,uni_v1,SKCM,0,0.6705
pca_ridge,uni_v1,SKCM,1,0.5987
pca_ridge,uni_v2,CCRCC,0,0.2205
pca_ridge,uni_v2,CCRCC,1,0.2597
pca_ridge,uni_v2,CCRCC,2,0.2279
pca_ridge,uni_v2,CCRCC,3,0.3513
pca_ridge,uni_v2,CCRCC,4,0.2287
pca_ridge,uni_v2,CCRCC,5,0.2958
pca_ridge,uni_v2,COAD,0,0.2976
pca_ridge,uni_v2,COAD,1,0.3055
pca_ridge,uni_v2,HCC,0,0.0699
pca_ridge,uni_v2,HCC,1,0.0796
pca_ridge,uni_v2,IDC,0,0.4737
pca_ridge,uni_v2,IDC,1,0.6369
pca_ridge,uni_v2,IDC,2,0.5598
pca_ridge,uni_v2,IDC,3,0.6887
pca_ridge,uni_v2,LUNG,0,0.5456
pca_ridge,uni_v2,LUNG,1,0.5719
pca_ridge,uni_v2,LYMPH_IDC,0,0.3234
pca_ridge,uni_v2,LYMPH_IDC,1,0.2191
pca_ridge,uni_v2,LYMPH_IDC,2,0.2957
pca_ridge,uni_v2,LYMPH_IDC,3,0.2529
pca_ridge,uni_v2,PAAD,0,0.4654
pca_ridge,uni_v2,PAAD,1,0.5556
pca_ridge,uni_v2,PAAD,2,0.4793
pca_ridge,uni_v2,PRAD,0,0.4062
pca_ridge,uni_v2,PRAD,1,0.3073
pca_ridge,uni_v2,READ,0,0.2603
pca_ridge,uni_v2,READ,1,0.1851
pca_ridge,uni_v2,SKCM,0,0.6763
pca_ridge,uni_v2,SKCM,1,0.6462
pca_ridge,virchow,CCRCC,0,0.2207
pca_ridge,virchow,CCRCC,1,0.2386
pca_ridge,virchow,CCRCC,2,0.2474
pca_ridge,virchow,CCRCC,3,0.3067
pca_ridge,virchow,CCRCC,4,0.2484
pca_ridge,virchow,CCRCC,5,0.2899
pca_ridge,virchow,COAD,0,0.3082
pca_ridge,virchow,COAD,1,0.3077
pca_ridge,virchow,HCC,0,0.0654
pca_ridge,virchow,HCC,1,0.1009
pca_ridge,virchow,IDC,0,0.454
pca_ridge,virchow,IDC,1,0.6377
pca_ridge,virchow,IDC,2,0.5437
pca_ridge,virchow,IDC,3,0.7032
pca_ridge,virchow,LUNG,0,0.5399
pca_ridge,virchow,LUNG,1,0.5927
pca_ridge,virchow,LYMPH_IDC,0,0.3172
pca_ridge,virchow,LYMPH_IDC,1,0.2199
pca_ridge,virchow,LYMPH_IDC,2,0.2746
pca_ridge,virchow,LYMPH_IDC,3,0.2323
pca_ridge,virchow,PAAD,0,0.4495
pca_ridge,virchow,PAAD,1,0.6067
pca_ridge,virchow,PAAD,2,0.4914
pca_ridge,virchow,PRAD,0,0.328
pca_ridge,virchow,PRAD,1,0.3476
pca_ridge,virchow,READ,0,0.2467
pca_ridge,virchow,READ,1,0.1495
pca_ridge,virchow,SKCM,0,0.6832
pca_ridge,virchow,SKCM,1,0.5653
pca_ridge,virchow2,CCRCC,0,0.2378
pca_ridge,virchow2,CCRCC,1,0.2565
pca_ridge,virchow2,CCRCC,2,0.2663
pca_ridge,virchow2,CCRCC,3,0.3485
pca_ridge,virchow2,CCRCC,4,0.1976
pca_ridge,virchow2,CCRCC,5,0.3247
pca_ridge,virchow2,COAD,0,0.2227
pca_ridge,virchow2,COAD,1,0.2934
pca_ridge,virchow2,HCC,0,0.0816
pca_ridge,virchow2,HCC,1,0.1067
pca_ridge,virchow2,IDC,0,0.4811
pca_ridge,virchow2,IDC,1,0.6422
pca_ridge,virchow2,IDC,2,0.5615
pca_ridge,virchow2,IDC,3,0.7036
pca_ridge,virchow2,LUNG,0,0.5523
pca_ridge,virchow2,LUNG,1,0.5845
pca_ridge,virchow2,LYMPH_IDC,0,0.2976
pca_ridge,virchow2,LYMPH_IDC,1,0.2168
