head,encoder,avg_paper9,n_tasks_paper9,avg_all10,n_tasks_all
pca_ridge,hoptimus1,0.4229,9.0,0.3891,10.0
pca_ridge,hoptimus0,0.415,9.0,0.3814,10.0
pca_ridge,uni_v2,0.4142,9.0,0.3803,10.0
pca_ridge,virchow,0.406,9.0,0.3738,10.0
pca_ridge,virchow2,0.4033,9.0,0.3724,10.0
pca_ridge,gigapath,0.3875,9.0,0.3558,10.0
pca_ridge,uni_v1,0.3856,9.0,0.3549,10.0
pca_ridge,conch_v15,0.3792,9.0,0.3481,10.0
pca_ridge,conch_v1,0.3696,9.0,0.3378,10.0
pca_ridge,phikon,0.3661,9.0,0.3355,10.0
pca_ridge,ctranspath,0.3468,9.0,0.3174,10.0
pca_ridge,resnet50,0.3252,9.0,0.2988,10.0
pca_xgb,resnet50,0.3046,9.0,0.2765,10.0
raw_ridge,conch_v1,0.3543,9.0,0.3227,10.0
raw_ridge,conch_v15,0.3474,9.0,0.3176,10.0
raw_ridge,ctranspath,0.2984,9.0,0.2702,10.0
raw_ridge,uni_v1,0.2981,9.0,0.2699,10.0
raw_ridge,phikon,0.2974,9.0,0.2715,10.0
raw_ridge,resnet50,0.2843,9.0,0.2598,10.0
raw_ridge,uni_v2,0.2765,9.0,0.2503,10.0
raw_ridge,hoptimus0,0.2756,9.0,0.2499,10.0
raw_ridge,gigapath,0.2664,9.0,0.2403,10.0
raw_ridge,virchow,0.2654,9.0,0.2421,10.0
raw_ridge,virchow2,0.2613,9.0,0.2389,10.0
raw_xgb,virchow,0.3967,9.0,0.364,10.0
raw_xgb,hoptimus0,0.3955,9.0,0.3627,10.0
raw_xgb,uni_v2,0.3932,9.0,0.3609,10.0
raw_xgb,virchow2,0.3919,9.0,0.3593,10.0
raw_xgb,uni_v1,0.381,9.0,0.3488,10.0
raw_xgb,conch_v1,0.3728,9.0,0.3396,10.0
raw_xgb,conch_v15,0.3725,9.0,0.34,10.0
raw_xgb,gigapath,0.3692,9.0,0.338,10.0
raw_xgb,phikon,0.3577,9.0,0.3265,10.0
raw_xgb,ctranspath,0.3463,9.0,0.3161,10.0
raw_xgb,resnet50,0.3278,9.0,0.2989,10.0
