head,encoder,task,pearson_mean,pearson_std,n_splits,leaderboard,diff_vs_leaderboard,config_role,compare_to_leaderboard
raw_xgb,ctranspath,HCC,0.0444,0.0072,2,,,A14 candidate - selected,False
raw_xgb,ctranspath,IDC,0.4755,0.0619,4,0.4993,-0.0238,A14 candidate - selected,False
raw_xgb,ctranspath,LUNG,0.5368,0.0163,2,0.5137,0.0231,A14 candidate - selected,False
raw_xgb,ctranspath,LYMPH_IDC,0.239,0.0665,4,0.2409,-0.0019,A14 candidate - selected,False
raw_xgb,ctranspath,PAAD,0.4275,0.0805,3,0.4314,-0.0039,A14 candidate - selected,False
raw_xgb,ctranspath,PRAD,0.3634,0.0383,2,0.3551,0.0083,A14 candidate - selected,False
raw_xgb,ctranspath,READ,0.0648,0.1247,2,0.0968,-0.032,A14 candidate - selected,False
raw_xgb,ctranspath,SKCM,0.5257,0.1047,2,0.5097,0.016,A14 candidate - selected,False
raw_xgb,gigapath,CCRCC,0.2186,0.0437,6,0.243,-0.0244,A14 candidate - selected,False
raw_xgb,gigapath,COAD,0.2788,0.0227,2,0.2992,-0.0204,A14 candidate - selected,False
raw_xgb,gigapath,HCC,0.0572,0.0008,2,,,A14 candidate - selected,False
raw_xgb,gigapath,IDC,0.5211,0.0735,4,0.5515,-0.0304,A14 candidate - selected,False
raw_xgb,gigapath,LUNG,0.5514,0.0175,2,0.5412,0.0102,A14 candidate - selected,False
raw_xgb,gigapath,LYMPH_IDC,0.2463,0.0602,4,0.25,-0.0037,A14 candidate - selected,False
raw_xgb,gigapath,PAAD,0.4444,0.0698,3,0.4746,-0.0302,A14 candidate - selected,False
raw_xgb,gigapath,PRAD,0.3738,0.0141,2,0.3699,0.0039,A14 candidate - selected,False
raw_xgb,gigapath,READ,0.1597,0.1042,2,0.1961,-0.0364,A14 candidate - selected,False
raw_xgb,gigapath,SKCM,0.5284,0.0708,2,0.5619,-0.0335,A14 candidate - selected,False
raw_xgb,hoptimus0,CCRCC,0.2419,0.0394,6,0.2676,-0.0257,A14 candidate - selected,False
raw_xgb,hoptimus0,COAD,0.2917,0.0068,2,0.3086,-0.0169,A14 candidate - selected,False
raw_xgb,hoptimus0,HCC,0.0676,0.0211,2,,,A14 candidate - selected,False
raw_xgb,hoptimus0,IDC,0.5554,0.0904,4,0.5976,-0.0422,A14 candidate - selected,False
raw_xgb,hoptimus0,LUNG,0.5638,0.0105,2,0.559,0.0048,A14 candidate - selected,False
raw_xgb,hoptimus0,LYMPH_IDC,0.2571,0.0613,4,0.2591,-0.002,A14 candidate - selected,False
raw_xgb,hoptimus0,PAAD,0.445,0.0681,3,0.4911,-0.0461,A14 candidate - selected,False
raw_xgb,hoptimus0,PRAD,0.384,0.0118,2,0.3848,-0.0008,A14 candidate - selected,False
raw_xgb,hoptimus0,READ,0.1714,0.1059,2,0.2216,-0.0502,A14 candidate - selected,False
raw_xgb,hoptimus0,SKCM,0.6491,0.0434,2,0.6454,0.0037,A14 candidate - selected,False
raw_xgb,phikon,CCRCC,0.2129,0.043,6,0.2423,-0.0294,A14 candidate - selected,False
raw_xgb,phikon,COAD,0.2785,0.0153,2,0.2623,0.0162,A14 candidate - selected,False
raw_xgb,phikon,HCC,0.046,0.0202,2,,,A14 candidate - selected,False
raw_xgb,phikon,IDC,0.4707,0.0784,4,0.5327,-0.062,A14 candidate - selected,False
raw_xgb,phikon,LUNG,0.5398,0.0189,2,0.5466,-0.0068,A14 candidate - selected,False
raw_xgb,phikon,LYMPH_IDC,0.244,0.0713,4,0.2373,0.0067,A14 candidate - selected,False
raw_xgb,phikon,PAAD,0.4007,0.076,3,0.4425,-0.0418,A14 candidate - selected,False
raw_xgb,phikon,PRAD,0.3945,0.0149,2,0.342,0.0525,A14 candidate - selected,False
raw_xgb,phikon,READ,0.1485,0.1134,2,0.1532,-0.0047,A14 candidate - selected,False
raw_xgb,phikon,SKCM,0.5297,0.0906,2,0.5355,-0.0058,A14 candidate - selected,False
raw_xgb,resnet50,CCRCC,0.1814,0.0541,6,0.2252,-0.0438,A14 candidate - selected,False
raw_xgb,resnet50,COAD,0.2924,0.0202,2,0.25,0.0424,A14 candidate - selected,False
raw_xgb,resnet50,HCC,0.0388,0.0078,2,,,A14 candidate - selected,False
raw_xgb,resnet50,IDC,0.4648,0.0423,4,0.4739,-0.0091,A14 candidate - selected,False
raw_xgb,resnet50,LUNG,0.5009,0.0144,2,0.4949,0.006,A14 candidate - selected,False
raw_xgb,resnet50,LYMPH_IDC,0.2294,0.0569,4,0.2305,-0.0011,A14 candidate - selected,False
raw_xgb,resnet50,PAAD,0.4023,0.076,3,0.388,0.0143,A14 candidate - selected,False
raw_xgb,resnet50,PRAD,0.3422,0.0269,2,0.3044,0.0378,A14 candidate - selected,False
raw_xgb,resnet50,READ,0.0614,0.0981,2,0.0783,-0.0169,A14 candidate - selected,False
raw_xgb,resnet50,SKCM,0.4754,0.117,2,0.4821,-0.0067,A14 candidate - selected,False
raw_xgb,uni_v1,CCRCC,0.2341,0.042,6,0.24,-0.0059,A14 candidate - selected,False
raw_xgb,uni_v1,COAD,0.2922,0.0252,2,0.2614,0.0308,A14 candidate - selected,False
raw_xgb,uni_v1,HCC,0.0584,0.0127,2,,,A14 candidate - selected,False
raw_xgb,uni_v1,IDC,0.5375,0.067,4,0.589,-0.0515,A14 candidate - selected,False
raw_xgb,uni_v1,LUNG,0.5337,0.0131,2,0.5464,-0.0127,A14 candidate - selected,False
raw_xgb,uni_v1,LYMPH_IDC,0.2461,0.0591,4,0.2559,-0.0098,A14 candidate - selected,False
raw_xgb,uni_v1,PAAD,0.4478,0.0702,3,0.4807,-0.0329,A14 candidate - selected,False
raw_xgb,uni_v1,PRAD,0.3511,0.0296,2,0.2943,0.0568,A14 candidate - selected,False
raw_xgb,uni_v1,READ,0.1628,0.093,2,0.1836,-0.0208,A14 candidate - selected,False
raw_xgb,uni_v1,SKCM,0.624,0.0369,2,0.6346,-0.0106,A14 candidate - selected,False
raw_xgb,uni_v2,CCRCC,0.2293,0.0384,6,0.264,-0.0347,A14 candidate - selected,False
raw_xgb,uni_v2,COAD,0.3284,0.0255,2,0.3015,0.0269,A14 candidate - selected,False
raw_xgb,uni_v2,HCC,0.0698,0.0205,2,,,A14 candidate - selected,False
raw_xgb,uni_v2,IDC,0.5484,0.0898,4,0.5898,-0.0414,A14 candidate - selected,False
raw_xgb,uni_v2,LUNG,0.5626,0.0079,2,0.5587,0.0039,A14 candidate - selected,False
raw_xgb,uni_v2,LYMPH_IDC,0.2575,0.0606,4,0.2727,-0.0152,A14 candidate - selected,False
raw_xgb,uni_v2,PAAD,0.4538,0.0687,3,0.5001,-0.0463,A14 candidate - selected,False
raw_xgb,uni_v2,PRAD,0.3912,0.0104,2,0.3569,0.0343,A14 candidate - selected,False
raw_xgb,uni_v2,READ,0.1646,0.094,2,0.2223,-0.0577,A14 candidate - selected,False
raw_xgb,uni_v2,SKCM,0.6034,0.0445,2,0.6606,-0.0572,A14 candidate - selected,False
raw_xgb,virchow,CCRCC,0.2398,0.0362,6,0.2586,-0.0188,A14 candidate - selected,False
raw_xgb,virchow,COAD,0.3366,0.0201,2,0.3079,0.0287,A14 candidate - selected,False
raw_xgb,virchow,HCC,0.0696,0.004,2,,,A14 candidate - selected,False
raw_xgb,virchow,IDC,0.551,0.0925,4,0.5846,-0.0336,A14 candidate - selected,False
raw_xgb,virchow,LUNG,0.5692,0.0013,2,0.5664,0.0028,A14 candidate - selected,False
raw_xgb,virchow,LYMPH_IDC,0.2563,0.0591,4,0.261,-0.0047,A14 candidate - selected,False
raw_xgb,virchow,PAAD,0.4736,0.0712,3,0.5159,-0.0423,A14 candidate - selected,False
raw_xgb,virchow,PRAD,0.371,0.0161,2,0.3378,0.0332,A14 candidate - selected,False
raw_xgb,virchow,READ,0.1492,0.096,2,0.1981,-0.0489,A14 candidate - selected,False
raw_xgb,virchow,SKCM,0.6236,0.0352,2,0.6243,-0.0007,A14 candidate - selected,False
raw_xgb,virchow2,CCRCC,0.2507,0.0396,6,0.2719,-0.0212,A14 candidate - selected,False
raw_xgb,virchow2,COAD,0.2912,0.0313,2,0.2581,0.0331,A14 candidate - selected,False
raw_xgb,virchow2,HCC,0.0658,0.0006,2,,,A14 candidate - selected,False
raw_xgb,virchow2,IDC,0.5491,0.0834,4,0.5971,-0.048,A14 candidate - selected,False
raw_xgb,virchow2,LUNG,0.5762,0.0158,2,0.5685,0.0077,A14 candidate - selected,False
raw_xgb,virchow2,LYMPH_IDC,0.2602,0.058,4,0.2568,0.0034,A14 candidate - selected,False
raw_xgb,virchow2,PAAD,0.4486,0.0676,3,0.4779,-0.0293,A14 candidate - selected,False
raw_xgb,virchow2,PRAD,0.3769,0.0052,2,0.3529,0.024,A14 candidate - selected,False
raw_xgb,virchow2,READ,0.1796,0.1096,2,0.2074,-0.0278,A14 candidate - selected,False
raw_xgb,virchow2,SKCM,0.595,0.0144,2,0.6402,-0.0452,A14 candidate - selected,False
