head,encoder,task,gene,pearson_mean
pca_ridge,conch_v1,CCRCC,TMEM91,0.4299
pca_ridge,conch_v1,CCRCC,CD109,0.3648
pca_ridge,conch_v1,CCRCC,CPE,0.3622
pca_ridge,conch_v1,CCRCC,SCARB1,0.361
pca_ridge,conch_v1,CCRCC,BTF3,0.3282
pca_ridge,conch_v1,CCRCC,SLC39A14,0.3238
pca_ridge,conch_v1,CCRCC,CKB,0.3231
pca_ridge,conch_v1,CCRCC,KRTCAP2,0.3085
pca_ridge,conch_v1,CCRCC,YWHAE,0.2978
pca_ridge,conch_v1,CCRCC,STK39,0.2966
pca_ridge,conch_v1,CCRCC,LY6E,0.2929
pca_ridge,conch_v1,CCRCC,HNRNPK,0.2865
pca_ridge,conch_v1,CCRCC,H3F3A,0.2837
pca_ridge,conch_v1,CCRCC,VMP1,0.2791
pca_ridge,conch_v1,CCRCC,SLC15A4,0.2741
pca_ridge,conch_v1,CCRCC,NOL3,0.2686
pca_ridge,conch_v1,CCRCC,DERL1,0.2634
pca_ridge,conch_v1,CCRCC,BLVRB,0.2504
pca_ridge,conch_v1,CCRCC,SEMA4B,0.2492
pca_ridge,conch_v1,CCRCC,PXN,0.2408
pca_ridge,conch_v1,CCRCC,CIB1,0.2378
pca_ridge,conch_v1,CCRCC,HMOX1,0.2235
pca_ridge,conch_v1,CCRCC,LAPTM4B,0.2082
pca_ridge,conch_v1,CCRCC,FLNB,0.2063
pca_ridge,conch_v1,CCRCC,RXRA,0.2059
pca_ridge,conch_v1,CCRCC,GADD45B,0.2037
pca_ridge,conch_v1,CCRCC,CHST15,0.1963
pca_ridge,conch_v1,CCRCC,PARP10,0.1915
pca_ridge,conch_v1,CCRCC,LRRC41,0.1899
pca_ridge,conch_v1,CCRCC,NAMPT,0.1872
pca_ridge,conch_v1,CCRCC,AKAP8,0.1797
pca_ridge,conch_v1,CCRCC,NOTCH3,0.1742
pca_ridge,conch_v1,CCRCC,IFI6,0.1731
pca_ridge,conch_v1,CCRCC,TRBC1,0.1727
pca_ridge,conch_v1,CCRCC,HTRA1,0.1711
pca_ridge,conch_v1,CCRCC,NT5DC2,0.1684
pca_ridge,conch_v1,CCRCC,CPD,0.1679
pca_ridge,conch_v1,CCRCC,EGFL7,0.1576
pca_ridge,conch_v1,CCRCC,PTGS1,0.1559
pca_ridge,conch_v1,CCRCC,TP53INP1,0.1331
pca_ridge,conch_v1,CCRCC,GPNMB,0.1327
pca_ridge,conch_v1,CCRCC,ISG15,0.1314
pca_ridge,conch_v1,CCRCC,TM2D3,0.129
pca_ridge,conch_v1,CCRCC,IRF7,0.1253
pca_ridge,conch_v1,CCRCC,TFRC,0.1219
pca_ridge,conch_v1,CCRCC,IFI27,0.1213
pca_ridge,conch_v1,CCRCC,HSPA1A,0.0963
pca_ridge,conch_v1,CCRCC,DNAJB12,0.0906
pca_ridge,conch_v1,CCRCC,CD14,0.0807
pca_ridge,conch_v1,CCRCC,S100A9,0.0793
pca_ridge,conch_v1,COAD,TYMS,0.7833
pca_ridge,conch_v1,COAD,CEACAM6,0.6457
pca_ridge,conch_v1,COAD,CCL20,0.5102
pca_ridge,conch_v1,COAD,DMBT1,0.4706
pca_ridge,conch_v1,COAD,FCRL1,0.4677
pca_ridge,conch_v1,COAD,SPIB,0.4655
pca_ridge,conch_v1,COAD,MS4A1,0.4624
pca_ridge,conch_v1,COAD,CCR7,0.4234
pca_ridge,conch_v1,COAD,OLFM4,0.4192
pca_ridge,conch_v1,COAD,CXCL13,0.4138
pca_ridge,conch_v1,COAD,BANK1,0.3935
pca_ridge,conch_v1,COAD,COL11A1,0.3651
pca_ridge,conch_v1,COAD,LCN2,0.3536
pca_ridge,conch_v1,COAD,HEPACAM2,0.3504
pca_ridge,conch_v1,COAD,TCL1A,0.3313
pca_ridge,conch_v1,COAD,CHI3L2,0.3292
pca_ridge,conch_v1,COAD,RETNLB,0.3276
pca_ridge,conch_v1,COAD,CHGB,0.316
pca_ridge,conch_v1,COAD,CXCL10,0.3103
pca_ridge,conch_v1,COAD,UGT2B17,0.2851
pca_ridge,conch_v1,COAD,AREG,0.2823
pca_ridge,conch_v1,COAD,TMIGD1,0.2822
pca_ridge,conch_v1,COAD,GATA2,0.2794
pca_ridge,conch_v1,COAD,ITLN1,0.2787
pca_ridge,conch_v1,COAD,IL1B,0.2661
pca_ridge,conch_v1,COAD,OTOP2,0.2519
pca_ridge,conch_v1,COAD,PI3,0.2436
pca_ridge,conch_v1,COAD,INSL5,0.2341
pca_ridge,conch_v1,COAD,MS4A12,0.2316
pca_ridge,conch_v1,COAD,SCGN,0.2173
pca_ridge,conch_v1,COAD,AQP8,0.2009
pca_ridge,conch_v1,COAD,GCG,0.1878
pca_ridge,conch_v1,COAD,NXPE4,0.1714
pca_ridge,conch_v1,COAD,DUOX2,0.1604
pca_ridge,conch_v1,COAD,CTSE,0.1525
pca_ridge,conch_v1,COAD,CALB2,0.142
pca_ridge,conch_v1,COAD,SLC26A3,0.1392
pca_ridge,conch_v1,COAD,CHGA,0.1319
pca_ridge,conch_v1,COAD,CEACAM7,0.104
pca_ridge,conch_v1,COAD,PRPH,0.0955
pca_ridge,conch_v1,COAD,CA4,0.092
pca_ridge,conch_v1,COAD,CLCA4,0.0742
pca_ridge,conch_v1,COAD,CD177,0.048
pca_ridge,conch_v1,COAD,MMP1,0.0422
pca_ridge,conch_v1,COAD,GUCA2B,0.0267
pca_ridge,conch_v1,COAD,SCG2,0.0121
pca_ridge,conch_v1,COAD,CLCA1,0.0066
pca_ridge,conch_v1,COAD,CA1,-0.0467
pca_ridge,conch_v1,COAD,GUCA2A,-0.0917
pca_ridge,conch_v1,COAD,MMP3,-0.1981
pca_ridge,conch_v1,HCC,IGLC2,0.1538
pca_ridge,conch_v1,HCC,ELN,0.15
pca_ridge,conch_v1,HCC,IGKC,0.1366
pca_ridge,conch_v1,HCC,MYL9,0.1339
pca_ridge,conch_v1,HCC,AEBP1,0.1333
pca_ridge,conch_v1,HCC,TAGLN,0.1305
pca_ridge,conch_v1,HCC,MGP,0.1202
pca_ridge,conch_v1,HCC,PRELP,0.1197
pca_ridge,conch_v1,HCC,SPARCL1,0.1164
pca_ridge,conch_v1,HCC,RBP7,0.1163
pca_ridge,conch_v1,HCC,MFAP4,0.1105
pca_ridge,conch_v1,HCC,FBLN2,0.1071
pca_ridge,conch_v1,HCC,ACTA2,0.0998
pca_ridge,conch_v1,HCC,S100A4,0.0938
pca_ridge,conch_v1,HCC,CCL21,0.0836
pca_ridge,conch_v1,HCC,TPM2,0.0786
pca_ridge,conch_v1,HCC,HAMP,0.0765
pca_ridge,conch_v1,HCC,CAVIN3,0.0765
pca_ridge,conch_v1,HCC,LTBP2,0.0762
pca_ridge,conch_v1,HCC,PPP1R14A,0.0749
pca_ridge,conch_v1,HCC,AC092069.1,0.0723
pca_ridge,conch_v1,HCC,NDUFA4L2,0.0588
pca_ridge,conch_v1,HCC,LRRC75A,0.0578
pca_ridge,conch_v1,HCC,GJA4,0.0557
pca_ridge,conch_v1,HCC,TCEAL9,0.0537
pca_ridge,conch_v1,HCC,RND1,0.053
pca_ridge,conch_v1,HCC,IGFBP5,0.0509
pca_ridge,conch_v1,HCC,JAG1,0.0496
pca_ridge,conch_v1,HCC,IGLC1,0.0461
pca_ridge,conch_v1,HCC,IGHG1,0.0421
pca_ridge,conch_v1,HCC,FBLN5,0.0418
pca_ridge,conch_v1,HCC,CXCL9,0.0395
pca_ridge,conch_v1,HCC,PDE9A,0.0272
pca_ridge,conch_v1,HCC,IGHA1,0.0261
pca_ridge,conch_v1,HCC,CCN1,0.0217
pca_ridge,conch_v1,HCC,CXCL10,0.0174
pca_ridge,conch_v1,HCC,CYP2E1,0.0158
pca_ridge,conch_v1,HCC,ETNPPL,0.0133
pca_ridge,conch_v1,HCC,HBB,0.0103
pca_ridge,conch_v1,HCC,ASPM,0.0063
pca_ridge,conch_v1,HCC,TRBC2,-0.0026
pca_ridge,conch_v1,HCC,C11orf96,-0.0047
pca_ridge,conch_v1,HCC,IGHM,-0.0052
pca_ridge,conch_v1,HCC,PHKG1,-0.0077
pca_ridge,conch_v1,HCC,PTGDS,-0.0147
pca_ridge,conch_v1,HCC,MCAM,-0.0161
pca_ridge,conch_v1,HCC,TSPAN13,-0.0201
pca_ridge,conch_v1,HCC,MUSTN1,-0.0455
pca_ridge,conch_v1,HCC,BEST1,-0.0891
pca_ridge,conch_v1,HCC,PDZK1IP1,-0.1683
pca_ridge,conch_v1,IDC,TACSTD2,0.8598
pca_ridge,conch_v1,IDC,FASN,0.8111
pca_ridge,conch_v1,IDC,GATA3,0.8081
pca_ridge,conch_v1,IDC,ERBB2,0.8015
pca_ridge,conch_v1,IDC,TOP2A,0.7455
pca_ridge,conch_v1,IDC,PTPRC,0.7447
pca_ridge,conch_v1,IDC,SCD,0.7434
pca_ridge,conch_v1,IDC,DST,0.7321
pca_ridge,conch_v1,IDC,SERHL2,0.7202
pca_ridge,conch_v1,IDC,ABCC11,0.7198
pca_ridge,conch_v1,IDC,CD3E,0.6867
pca_ridge,conch_v1,IDC,KLF5,0.6865
pca_ridge,conch_v1,IDC,IL2RG,0.6777
pca_ridge,conch_v1,IDC,MYLK,0.6592
pca_ridge,conch_v1,IDC,IL7R,0.6366
pca_ridge,conch_v1,IDC,CYTIP,0.6271
