head,encoder,task,gene,pearson_mean
pca_ridge,conch_v1,IDC,SLAMF7,0.6205
pca_ridge,conch_v1,IDC,AQP1,0.5962
pca_ridge,conch_v1,IDC,ESR1,0.5922
pca_ridge,conch_v1,IDC,TRAC,0.5809
pca_ridge,conch_v1,IDC,CEACAM6,0.5631
pca_ridge,conch_v1,IDC,CCR7,0.5598
pca_ridge,conch_v1,IDC,OXTR,0.5592
pca_ridge,conch_v1,IDC,MS4A1,0.5509
pca_ridge,conch_v1,IDC,CLIC6,0.5455
pca_ridge,conch_v1,IDC,KRT5,0.5417
pca_ridge,conch_v1,IDC,KRT14,0.5411
pca_ridge,conch_v1,IDC,SERPINA3,0.5406
pca_ridge,conch_v1,IDC,PTN,0.5378
pca_ridge,conch_v1,IDC,VWF,0.5355
pca_ridge,conch_v1,IDC,TENT5C,0.5333
pca_ridge,conch_v1,IDC,MYH11,0.5322
pca_ridge,conch_v1,IDC,PTGDS,0.5098
pca_ridge,conch_v1,IDC,ANKRD30A,0.5051
pca_ridge,conch_v1,IDC,ADIPOQ,0.4991
pca_ridge,conch_v1,IDC,KRT6B,0.4641
pca_ridge,conch_v1,IDC,SFRP1,0.4403
pca_ridge,conch_v1,IDC,PIGR,0.4192
pca_ridge,conch_v1,IDC,SCGB2A1,0.3942
pca_ridge,conch_v1,IDC,ADH1B,0.3721
pca_ridge,conch_v1,IDC,AQP3,0.3712
pca_ridge,conch_v1,IDC,KIT,0.3687
pca_ridge,conch_v1,IDC,TCL1A,0.3522
pca_ridge,conch_v1,IDC,MYBPC1,0.3067
pca_ridge,conch_v1,IDC,MMP1,0.2589
pca_ridge,conch_v1,IDC,CEACAM8,0.2524
pca_ridge,conch_v1,IDC,MUC6,0.2301
pca_ridge,conch_v1,IDC,MMP12,0.206
pca_ridge,conch_v1,IDC,OPRPN,0.1417
pca_ridge,conch_v1,IDC,TPSAB1,0.1356
pca_ridge,conch_v1,LUNG,PTPRC,0.8539
pca_ridge,conch_v1,LUNG,CAPN8,0.8301
pca_ridge,conch_v1,LUNG,MET,0.8023
pca_ridge,conch_v1,LUNG,GPRC5A,0.7994
pca_ridge,conch_v1,LUNG,CDK1,0.7975
pca_ridge,conch_v1,LUNG,PECAM1,0.7952
pca_ridge,conch_v1,LUNG,COL5A2,0.7856
pca_ridge,conch_v1,LUNG,TOP2A,0.7818
pca_ridge,conch_v1,LUNG,CD2,0.7764
pca_ridge,conch_v1,LUNG,CTSK,0.7752
pca_ridge,conch_v1,LUNG,CXCR4,0.7726
pca_ridge,conch_v1,LUNG,MKI67,0.7342
pca_ridge,conch_v1,LUNG,MALL,0.721
pca_ridge,conch_v1,LUNG,CD163,0.6903
pca_ridge,conch_v1,LUNG,UBE2C,0.6869
pca_ridge,conch_v1,LUNG,PLA2G7,0.6747
pca_ridge,conch_v1,LUNG,CCR7,0.6531
pca_ridge,conch_v1,LUNG,ACE2,0.6482
pca_ridge,conch_v1,LUNG,CD79A,0.6395
pca_ridge,conch_v1,LUNG,MS4A1,0.6233
pca_ridge,conch_v1,LUNG,MZB1,0.6109
pca_ridge,conch_v1,LUNG,ALDH1A3,0.5943
pca_ridge,conch_v1,LUNG,SNTN,0.5799
pca_ridge,conch_v1,LUNG,CXCL9,0.5417
pca_ridge,conch_v1,LUNG,CD19,0.5342
pca_ridge,conch_v1,LUNG,SPIB,0.5178
pca_ridge,conch_v1,LUNG,CCL19,0.5134
pca_ridge,conch_v1,LUNG,LIF,0.4878
pca_ridge,conch_v1,LUNG,MEDAG,0.4798
pca_ridge,conch_v1,LUNG,CNN1,0.4697
pca_ridge,conch_v1,LUNG,FGFBP1,0.4477
pca_ridge,conch_v1,LUNG,SRPX,0.4385
pca_ridge,conch_v1,LUNG,CXCL10,0.4327
pca_ridge,conch_v1,LUNG,INMT,0.4064
pca_ridge,conch_v1,LUNG,OGN,0.4048
pca_ridge,conch_v1,LUNG,DNAAF1,0.3928
pca_ridge,conch_v1,LUNG,MARCO,0.3523
pca_ridge,conch_v1,LUNG,CD1A,0.3509
pca_ridge,conch_v1,LUNG,TCL1A,0.3271
pca_ridge,conch_v1,LUNG,SOX2,0.3227
pca_ridge,conch_v1,LUNG,CD274,0.3211
pca_ridge,conch_v1,LUNG,DMBT1,0.3094
pca_ridge,conch_v1,LUNG,FCER1A,0.3093
pca_ridge,conch_v1,LUNG,BBOX1,0.3071
pca_ridge,conch_v1,LUNG,CYP2A7,0.3059
pca_ridge,conch_v1,LUNG,PCSK2,0.3006
pca_ridge,conch_v1,LUNG,MCEMP1,0.2504
pca_ridge,conch_v1,LUNG,SNCG,0.1557
pca_ridge,conch_v1,LUNG,CTSG,0.1539
pca_ridge,conch_v1,LUNG,SERPINB2,0.144
pca_ridge,conch_v1,LYMPH_IDC,CYP4Z1,0.4161
pca_ridge,conch_v1,LYMPH_IDC,FABP4,0.4149
pca_ridge,conch_v1,LYMPH_IDC,RSF1,0.3968
pca_ridge,conch_v1,LYMPH_IDC,PDZK1IP1,0.3913
pca_ridge,conch_v1,LYMPH_IDC,PTRH2,0.3754
pca_ridge,conch_v1,LYMPH_IDC,AAMDC,0.3688
pca_ridge,conch_v1,LYMPH_IDC,QSOX1,0.3626
pca_ridge,conch_v1,LYMPH_IDC,SHANK2,0.36
pca_ridge,conch_v1,LYMPH_IDC,ANO8,0.3458
pca_ridge,conch_v1,LYMPH_IDC,CD22,0.3455
pca_ridge,conch_v1,LYMPH_IDC,RAB38,0.3321
pca_ridge,conch_v1,LYMPH_IDC,AKR1E2,0.3317
pca_ridge,conch_v1,LYMPH_IDC,NARS2,0.3195
pca_ridge,conch_v1,LYMPH_IDC,EPHB3,0.3188
pca_ridge,conch_v1,LYMPH_IDC,ANKS1B,0.3172
pca_ridge,conch_v1,LYMPH_IDC,PARD6B,0.3157
pca_ridge,conch_v1,LYMPH_IDC,GTPBP3,0.3088
pca_ridge,conch_v1,LYMPH_IDC,CD72,0.3041
pca_ridge,conch_v1,LYMPH_IDC,POLD3,0.3028
pca_ridge,conch_v1,LYMPH_IDC,CROT,0.2898
pca_ridge,conch_v1,LYMPH_IDC,CCNO,0.2855
pca_ridge,conch_v1,LYMPH_IDC,HAUS8,0.2802
pca_ridge,conch_v1,LYMPH_IDC,SERPINI1,0.2787
pca_ridge,conch_v1,LYMPH_IDC,PATZ1,0.2786
pca_ridge,conch_v1,LYMPH_IDC,SCRN1,0.2782
pca_ridge,conch_v1,LYMPH_IDC,ZMAT5,0.2602
pca_ridge,conch_v1,LYMPH_IDC,MX1,0.2435
pca_ridge,conch_v1,LYMPH_IDC,SPP1,0.2404
pca_ridge,conch_v1,LYMPH_IDC,TCF7,0.2394
pca_ridge,conch_v1,LYMPH_IDC,MAPK8IP2,0.2332
pca_ridge,conch_v1,LYMPH_IDC,CXCL10,0.2297
pca_ridge,conch_v1,LYMPH_IDC,IGHV3-11,0.2231
pca_ridge,conch_v1,LYMPH_IDC,SNCG,0.2012
pca_ridge,conch_v1,LYMPH_IDC,CLNS1A,0.1908
pca_ridge,conch_v1,LYMPH_IDC,IFI44L,0.1859
pca_ridge,conch_v1,LYMPH_IDC,DAPK1,0.1833
pca_ridge,conch_v1,LYMPH_IDC,AREG,0.1813
pca_ridge,conch_v1,LYMPH_IDC,NUDT1,0.1745
pca_ridge,conch_v1,LYMPH_IDC,CXCL11,0.1734
pca_ridge,conch_v1,LYMPH_IDC,MX2,0.1441
pca_ridge,conch_v1,LYMPH_IDC,IFIT2,0.1405
pca_ridge,conch_v1,LYMPH_IDC,CCL28,0.1374
pca_ridge,conch_v1,LYMPH_IDC,TMEM64,0.1288
pca_ridge,conch_v1,LYMPH_IDC,CSTA,0.1199
pca_ridge,conch_v1,LYMPH_IDC,MYH11,0.1126
pca_ridge,conch_v1,LYMPH_IDC,HAAO,0.1069
pca_ridge,conch_v1,LYMPH_IDC,IGLV9-49,0.1062
pca_ridge,conch_v1,LYMPH_IDC,OASL,0.0956
pca_ridge,conch_v1,LYMPH_IDC,RSAD2,0.0835
pca_ridge,conch_v1,LYMPH_IDC,IGHV6-1,0.0793
pca_ridge,conch_v1,PAAD,EPCAM,0.8686
pca_ridge,conch_v1,PAAD,CD2,0.6924
pca_ridge,conch_v1,PAAD,CD3E,0.6864
pca_ridge,conch_v1,PAAD,IL7R,0.6811
pca_ridge,conch_v1,PAAD,CD8A,0.662
pca_ridge,conch_v1,PAAD,PTPRC,0.6468
pca_ridge,conch_v1,PAAD,CXCL6,0.6255
pca_ridge,conch_v1,PAAD,CCL5,0.6105
pca_ridge,conch_v1,PAAD,IRF8,0.578
pca_ridge,conch_v1,PAAD,GZMK,0.56
pca_ridge,conch_v1,PAAD,MS4A1,0.5598
pca_ridge,conch_v1,PAAD,CXCR4,0.5494
pca_ridge,conch_v1,PAAD,CD79A,0.5474
pca_ridge,conch_v1,PAAD,GPR183,0.543
pca_ridge,conch_v1,PAAD,CXCL2,0.542
pca_ridge,conch_v1,PAAD,LIF,0.5328
pca_ridge,conch_v1,PAAD,ANPEP,0.5175
pca_ridge,conch_v1,PAAD,AIF1,0.512
pca_ridge,conch_v1,PAAD,MKI67,0.4998
pca_ridge,conch_v1,PAAD,SELL,0.4898
pca_ridge,conch_v1,PAAD,CDK1,0.4884
pca_ridge,conch_v1,PAAD,GZMA,0.488
pca_ridge,conch_v1,PAAD,UBE2C,0.4793
pca_ridge,conch_v1,PAAD,CD27,0.4759
pca_ridge,conch_v1,PAAD,ACTA2,0.4744
pca_ridge,conch_v1,PAAD,BANK1,0.4391
pca_ridge,conch_v1,PAAD,PLA2G7,0.4197
pca_ridge,conch_v1,PAAD,CPA3,0.4095
pca_ridge,conch_v1,PAAD,FCGR3A,0.4077
pca_ridge,conch_v1,PAAD,DERL3,0.4014
pca_ridge,conch_v1,PAAD,CCR7,0.3901
pca_ridge,conch_v1,PAAD,CD14,0.39
pca_ridge,conch_v1,PAAD,ACE2,0.3865
pca_ridge,conch_v1,PAAD,CCL19,0.3827
pca_ridge,conch_v1,PAAD,CD19,0.3777
pca_ridge,conch_v1,PAAD,TNFRSF17,0.374
pca_ridge,conch_v1,PAAD,FOXP3,0.3682
pca_ridge,conch_v1,PAAD,CD1C,0.3334
pca_ridge,conch_v1,PAAD,VSIG4,0.3108
pca_ridge,conch_v1,PAAD,ESR1,0.3067
pca_ridge,conch_v1,PAAD,KLRC1,0.2922
pca_ridge,conch_v1,PAAD,LILRA4,0.2678
pca_ridge,conch_v1,PAAD,HPGDS,0.2593
pca_ridge,conch_v1,PAAD,DMBT1,0.2458
pca_ridge,conch_v1,PAAD,TCL1A,0.236
pca_ridge,conch_v1,PAAD,CXCL9,0.2335
pca_ridge,conch_v1,PAAD,PDCD1,0.228
pca_ridge,conch_v1,PAAD,CD1A,0.2252
pca_ridge,conch_v1,PAAD,CXCL10,0.2093
pca_ridge,conch_v1,PAAD,MARCO,0.1314
pca_ridge,conch_v1,PRAD,SEC11C,0.5789
pca_ridge,conch_v1,PRAD,XBP1,0.551
pca_ridge,conch_v1,PRAD,AMD1,0.5274
pca_ridge,conch_v1,PRAD,MPC2,0.4792
pca_ridge,conch_v1,PRAD,SPON2,0.4591
pca_ridge,conch_v1,PRAD,SNHG8,0.4581
pca_ridge,conch_v1,PRAD,COX5A,0.4499
pca_ridge,conch_v1,PRAD,PDIA4,0.4387
pca_ridge,conch_v1,PRAD,GLO1,0.4335
pca_ridge,conch_v1,PRAD,PERP,0.4234
pca_ridge,conch_v1,PRAD,MT1E,0.4133
pca_ridge,conch_v1,PRAD,MT1X,0.4123
pca_ridge,conch_v1,PRAD,COX17,0.4117
pca_ridge,conch_v1,PRAD,PCBD1,0.4068
pca_ridge,conch_v1,PRAD,RPN1,0.3916
pca_ridge,conch_v1,PRAD,C1orf43,0.3856
pca_ridge,conch_v1,PRAD,NUDT4,0.3763
pca_ridge,conch_v1,PRAD,ZFAS1,0.3744
pca_ridge,conch_v1,PRAD,MAOA,0.3739
pca_ridge,conch_v1,PRAD,TXNL4A,0.3683
pca_ridge,conch_v1,PRAD,RPL37A,0.3649
pca_ridge,conch_v1,PRAD,REXO2,0.3632
pca_ridge,conch_v1,PRAD,GNG5,0.3618
pca_ridge,conch_v1,PRAD,TMCO1,0.3591
pca_ridge,conch_v1,PRAD,CAT,0.359
pca_ridge,conch_v1,PRAD,COX7B,0.3588
pca_ridge,conch_v1,PRAD,HSPD1,0.3577
pca_ridge,conch_v1,PRAD,RPS29,0.3532
pca_ridge,conch_v1,PRAD,SVIP,0.3507
pca_ridge,conch_v1,PRAD,SELENOT,0.338
pca_ridge,conch_v1,PRAD,SNRPE,0.3344
pca_ridge,conch_v1,PRAD,CCDC47,0.3315
pca_ridge,conch_v1,PRAD,C8orf59,0.3268
pca_ridge,conch_v1,PRAD,SLIRP,0.3256
pca_ridge,conch_v1,PRAD,EIF3H,0.3124
pca_ridge,conch_v1,PRAD,DNAJC3,0.3086
pca_ridge,conch_v1,PRAD,IMPDH2,0.3069
pca_ridge,conch_v1,PRAD,SPCS3,0.2951
pca_ridge,conch_v1,PRAD,MIF,0.2868
pca_ridge,conch_v1,PRAD,SRRM1,0.2823
pca_ridge,conch_v1,PRAD,TOB1,0.2734
pca_ridge,conch_v1,PRAD,SNHG9,0.2723
pca_ridge,conch_v1,PRAD,SGK1,0.2671
pca_ridge,conch_v1,PRAD,MRPL33,0.2636
pca_ridge,conch_v1,PRAD,EIF3E,0.2402
pca_ridge,conch_v1,PRAD,C6orf48,0.2223
pca_ridge,conch_v1,PRAD,HLA-DRA,0.2132
pca_ridge,conch_v1,PRAD,NUCB2,0.2074
pca_ridge,conch_v1,PRAD,RSL24D1,0.196
pca_ridge,conch_v1,PRAD,SOD2,0.1931
pca_ridge,conch_v1,READ,CD177,0.4761
pca_ridge,conch_v1,READ,GUCA2A,0.4608
pca_ridge,conch_v1,READ,CA2,0.4057
pca_ridge,conch_v1,READ,MMP28,0.3552
pca_ridge,conch_v1,READ,PADI2,0.3491
pca_ridge,conch_v1,READ,SLC26A3,0.313
pca_ridge,conch_v1,READ,MT1M,0.2797
pca_ridge,conch_v1,READ,CA1,0.2769
pca_ridge,conch_v1,READ,CLCA1,0.2666
pca_ridge,conch_v1,READ,PDE9A,0.2415
pca_ridge,conch_v1,READ,BTNL3,0.2336
pca_ridge,conch_v1,READ,SMPDL3A,0.2007
pca_ridge,conch_v1,READ,MT1F,0.1953
pca_ridge,conch_v1,READ,EGLN3,0.1953
pca_ridge,conch_v1,READ,MXI1,0.1889
pca_ridge,conch_v1,READ,CCL21,0.1888
pca_ridge,conch_v1,READ,SPHK1,0.1837
pca_ridge,conch_v1,READ,SECTM1,0.1837
pca_ridge,conch_v1,READ,SLC26A2,0.1757
pca_ridge,conch_v1,READ,P3H3,0.1718
pca_ridge,conch_v1,READ,LOX,0.1694
pca_ridge,conch_v1,READ,EFEMP1,0.1631
pca_ridge,conch_v1,READ,FRZB,0.16
pca_ridge,conch_v1,READ,LAMA3,0.1559
pca_ridge,conch_v1,READ,UBD,0.1541
pca_ridge,conch_v1,READ,ANGPTL2,0.1482
pca_ridge,conch_v1,READ,ADAMDEC1,0.1403
pca_ridge,conch_v1,READ,IGHG2,0.1265
pca_ridge,conch_v1,READ,PTGDS,0.1253
pca_ridge,conch_v1,READ,CCL14,0.1245
pca_ridge,conch_v1,READ,IGHG4,0.121
pca_ridge,conch_v1,READ,MMP7,0.1129
pca_ridge,conch_v1,READ,ITGB2,0.1059
pca_ridge,conch_v1,READ,PLAAT3,0.104
pca_ridge,conch_v1,READ,APOC1,0.1009
pca_ridge,conch_v1,READ,TSPAN9,0.0912
pca_ridge,conch_v1,READ,CLU,0.086
pca_ridge,conch_v1,READ,CXCL9,0.0799
pca_ridge,conch_v1,READ,CHI3L1,0.073
pca_ridge,conch_v1,READ,AC010883.3,0.0572
pca_ridge,conch_v1,READ,CXCL10,0.0506
pca_ridge,conch_v1,READ,CEMIP,0.0427
pca_ridge,conch_v1,READ,CXCL8,0.0338
pca_ridge,conch_v1,READ,MMP9,0.0318
pca_ridge,conch_v1,READ,SGK1,0.0286
pca_ridge,conch_v1,READ,HMOX1,0.028
pca_ridge,conch_v1,READ,SPP1,0.0249
pca_ridge,conch_v1,READ,TPSB2,0.0227
pca_ridge,conch_v1,READ,ITIH5,0.0032
pca_ridge,conch_v1,READ,PRRG3,0.0014
pca_ridge,conch_v1,SKCM,VIM,0.8337
pca_ridge,conch_v1,SKCM,TYRP1,0.7913
pca_ridge,conch_v1,SKCM,KRTDAP,0.7701
pca_ridge,conch_v1,SKCM,LYZ,0.7554
pca_ridge,conch_v1,SKCM,MAL2,0.7459
pca_ridge,conch_v1,SKCM,WDFY4,0.7418
pca_ridge,conch_v1,SKCM,CD52,0.741
pca_ridge,conch_v1,SKCM,BIRC3,0.741
pca_ridge,conch_v1,SKCM,SERPINB2,0.7252
pca_ridge,conch_v1,SKCM,AQP3,0.7206
pca_ridge,conch_v1,SKCM,SBSN,0.7199
pca_ridge,conch_v1,SKCM,ITM2A,0.709
pca_ridge,conch_v1,SKCM,S100A14,0.6933
pca_ridge,conch_v1,SKCM,SERPINB5,0.689
pca_ridge,conch_v1,SKCM,CRABP2,0.6876
pca_ridge,conch_v1,SKCM,LCK,0.6876
pca_ridge,conch_v1,SKCM,GZMK,0.6824
pca_ridge,conch_v1,SKCM,TP63,0.6791
pca_ridge,conch_v1,SKCM,CAPNS2,0.6741
pca_ridge,conch_v1,SKCM,DMKN,0.6696
pca_ridge,conch_v1,SKCM,LY6D,0.6695
pca_ridge,conch_v1,SKCM,ACER1,0.6631
pca_ridge,conch_v1,SKCM,DSP,0.6593
pca_ridge,conch_v1,SKCM,SLPI,0.6549
pca_ridge,conch_v1,SKCM,RHOV,0.6516
pca_ridge,conch_v1,SKCM,POSTN,0.641
pca_ridge,conch_v1,SKCM,AHNAK2,0.6372
pca_ridge,conch_v1,SKCM,KRT5,0.6339
pca_ridge,conch_v1,SKCM,KRT16,0.6227
pca_ridge,conch_v1,SKCM,MIR205HG,0.6165
pca_ridge,conch_v1,SKCM,DSC1,0.6164
pca_ridge,conch_v1,SKCM,COL17A1,0.6127
pca_ridge,conch_v1,SKCM,VWF,0.6082
pca_ridge,conch_v1,SKCM,KRT17,0.5842
pca_ridge,conch_v1,SKCM,FGFBP1,0.5683
pca_ridge,conch_v1,SKCM,IDO1,0.5682
