encoder,held_task,n_genes_shared,n_ctrl_excluded,n_train_across,n_test,n_folds_within,pearson_within,pearson_across,across_task_shift,train_tasks,n_spots_task,train_ratio
resnet50,COAD,14,61,51347,15651,2,0.4543934315443039,0.2750401198863983,0.1793533116579055,IDC|LUNG|PAAD|SKCM,15651,6.561497667880647
resnet50,IDC,14,61,31462,35536,4,0.5462446883320808,0.4144665896892547,0.131778098642826,COAD|LUNG|PAAD|SKCM,35536,1.180474260843464
resnet50,LUNG,14,61,61792,5206,2,0.617887556552887,0.5519554615020752,0.0659320950508117,COAD|IDC|PAAD|SKCM,5206,23.738762965808682
resnet50,PAAD,14,61,59427,7571,3,0.4580477774143219,0.4328547120094299,0.0251930654048919,COAD|IDC|LUNG|SKCM,7571,11.773940034341566
resnet50,SKCM,14,61,63964,3034,2,0.5384208410978317,0.6595925092697144,-0.1211716681718826,COAD|IDC|LUNG|PAAD,3034,42.16479894528675
phikon,COAD,14,61,51347,15651,2,0.5459293723106384,0.5105934143066406,0.0353359580039978,IDC|LUNG|PAAD|SKCM,15651,6.561497667880647
phikon,IDC,14,61,31462,35536,4,0.5772224217653275,0.5112224817276001,0.0659999400377273,COAD|LUNG|PAAD|SKCM,35536,1.180474260843464
phikon,LUNG,14,61,61792,5206,2,0.6706909537315369,0.6502998471260071,0.0203911066055297,COAD|IDC|PAAD|SKCM,5206,23.738762965808682
phikon,PAAD,14,61,59427,7571,3,0.4854124983151753,0.5199359655380249,-0.0345234672228495,COAD|IDC|LUNG|SKCM,7571,11.773940034341566
phikon,SKCM,14,61,63964,3034,2,0.6023097336292267,0.6947885751724243,-0.0924788415431976,COAD|IDC|LUNG|PAAD,3034,42.16479894528675
uni_v1,COAD,14,61,51347,15651,2,0.5630833506584167,0.519305408000946,0.0437779426574707,IDC|LUNG|PAAD|SKCM,15651,6.561497667880647
uni_v1,IDC,14,61,31462,35536,4,0.6250028237700462,0.4878633320331573,0.1371394917368888,COAD|LUNG|PAAD|SKCM,35536,1.180474260843464
uni_v1,LUNG,14,61,61792,5206,2,0.6746312081813812,0.6564832925796509,0.0181479156017303,COAD|IDC|PAAD|SKCM,5206,23.738762965808682
uni_v1,PAAD,14,61,59427,7571,3,0.5304671128590902,0.5532079339027405,-0.0227408210436502,COAD|IDC|LUNG|SKCM,7571,11.773940034341566
uni_v1,SKCM,14,61,63964,3034,2,0.6310199499130249,0.7016237378120422,-0.0706037878990173,COAD|IDC|LUNG|PAAD,3034,42.16479894528675
hoptimus0,COAD,14,61,51347,15651,2,0.602083683013916,0.5490306615829468,0.0530530214309692,IDC|LUNG|PAAD|SKCM,15651,6.561497667880647
hoptimus0,IDC,14,61,31462,35536,4,0.6408601179718971,0.5363088250160217,0.1045512929558754,COAD|LUNG|PAAD|SKCM,35536,1.180474260843464
hoptimus0,LUNG,14,61,61792,5206,2,0.6992068588733673,0.6720191836357117,0.0271876752376556,COAD|IDC|PAAD|SKCM,5206,23.738762965808682
hoptimus0,PAAD,14,61,59427,7571,3,0.5558507442474365,0.567289412021637,-0.0114386677742004,COAD|IDC|LUNG|SKCM,7571,11.773940034341566
hoptimus0,SKCM,14,61,63964,3034,2,0.6870652139186859,0.7103011012077332,-0.0232358872890472,COAD|IDC|LUNG|PAAD,3034,42.16479894528675
