encoder,arm,task,held_out,n_train,n_test,n_genes,pearson,train_sources,note
uni_v1,within_task_leave_cohort_out,IDC,NCBI,28521.0,7015.0,50,0.5363261699676514,TENX,"same tissue, same 541-gene Xenium panel; differs only by institution"
uni_v1,within_task_leave_cohort_out,IDC,TENX,7015.0,28521.0,50,0.4597831070423126,NCBI,"same tissue, same 541-gene Xenium panel; differs only by institution"
uni_v1,across_task_xenium,ALL_XENIUM,,,,0,,,INFEASIBLE: only 0 genes shared across the five Xenium panels (need >= 10); a score on so few genes is not comparable to the 50-gene benchmark numbers
