encoder,held_task,n_genes_shared,n_ctrl_excluded,n_train_across,n_test,n_folds_within,n_train_within,pearson_within,pearson_across,pearson_across_matched,across_task_shift,across_task_shift_matched,train_tasks
resnet50,COAD,14,61,51347,15651,2,7825,0.4543934315443039,0.2750401198863983,0.31478774547576904,0.17935331165790558,0.13960568606853485,IDC|LUNG|PAAD|SKCM
resnet50,IDC,14,61,31462,35536,4,26652,0.5462446883320808,0.41446658968925476,0.34636642038822174,0.13177809864282608,0.1998782679438591,COAD|LUNG|PAAD|SKCM
resnet50,LUNG,14,61,61792,5206,2,2603,0.617887556552887,0.5519554615020752,0.5534042418003082,0.06593209505081177,0.06448331475257874,COAD|IDC|PAAD|SKCM
resnet50,PAAD,14,61,59427,7571,3,5047,0.4580477774143219,0.43285471200942993,0.48189495007197064,0.025193065404891968,-0.02384717265764874,COAD|IDC|LUNG|SKCM
resnet50,SKCM,14,61,63964,3034,2,1517,0.5384208410978317,0.6595925092697144,0.5964057594537735,-0.12117166817188263,-0.05798491835594177,COAD|IDC|LUNG|PAAD
