encoder,held_task,n_genes_shared,n_ctrl_excluded,n_train_across,n_test,n_folds_within,n_train_within,pearson_within,pearson_across,pearson_across_matched,across_task_shift,across_task_shift_matched,train_tasks,size_ratio
phikon,COAD,14,61,51347,15651,2,7825,0.5459293723106384,0.5105934143066406,0.5102672874927521,0.0353359580039978,0.0356620848178863,IDC|LUNG|PAAD|SKCM,6.561916932907348
phikon,IDC,14,61,31462,35536,4,26652,0.5772224217653275,0.5112224817276001,0.4694786667823791,0.0659999400377273,0.1077437549829483,COAD|LUNG|PAAD|SKCM,1.180474260843464
phikon,LUNG,14,61,61792,5206,2,2603,0.6706909537315369,0.6502998471260071,0.6686322391033173,0.0203911066055297,0.0020587146282196,COAD|IDC|PAAD|SKCM,23.738762965808682
phikon,PAAD,14,61,59427,7571,3,5047,0.4854124983151753,0.5199359655380249,0.513512372970581,-0.0345234672228495,-0.0280998746554057,COAD|IDC|LUNG|SKCM,11.774717654051912
phikon,SKCM,14,61,63964,3034,2,1517,0.6023097336292267,0.6947885751724243,0.6447428464889526,-0.0924788415431976,-0.0424331128597259,COAD|IDC|LUNG|PAAD,42.16479894528675
uni_v1,COAD,14,61,51347,15651,2,7825,0.5630833506584167,0.519305408000946,0.5220803916454315,0.0437779426574707,0.0410029590129852,IDC|LUNG|PAAD|SKCM,6.561916932907348
uni_v1,IDC,14,61,31462,35536,4,26652,0.6250028237700462,0.4878633320331573,0.4626408070325851,0.1371394917368888,0.1623620167374611,COAD|LUNG|PAAD|SKCM,1.180474260843464
uni_v1,LUNG,14,61,61792,5206,2,2603,0.6746312081813812,0.6564832925796509,0.695886492729187,0.0181479156017303,-0.0212552845478057,COAD|IDC|PAAD|SKCM,23.738762965808682
uni_v1,PAAD,14,61,59427,7571,3,5047,0.5304671128590902,0.5532079339027405,0.5500161250432333,-0.0227408210436502,-0.019549012184143,COAD|IDC|LUNG|SKCM,11.774717654051912
uni_v1,SKCM,14,61,63964,3034,2,1517,0.6310199499130249,0.7016237378120422,0.6576352119445801,-0.0706037878990173,-0.0266152620315551,COAD|IDC|LUNG|PAAD,42.16479894528675
hoptimus0,COAD,14,61,51347,15651,2,7825,0.602083683013916,0.5490306615829468,0.5809969305992126,0.0530530214309692,0.0210867524147033,IDC|LUNG|PAAD|SKCM,6.561916932907348
hoptimus0,IDC,14,61,31462,35536,4,26652,0.6408601179718971,0.5363088250160217,0.529702678322792,0.1045512929558754,0.111157439649105,COAD|LUNG|PAAD|SKCM,1.180474260843464
hoptimus0,LUNG,14,61,61792,5206,2,2603,0.6992068588733673,0.6720191836357117,0.708776444196701,0.0271876752376556,-0.0095695853233337,COAD|IDC|PAAD|SKCM,23.738762965808682
hoptimus0,PAAD,14,61,59427,7571,3,5047,0.5558507442474365,0.567289412021637,0.5623900890350342,-0.0114386677742004,-0.0065393447875976,COAD|IDC|LUNG|SKCM,11.774717654051912
hoptimus0,SKCM,14,61,63964,3034,2,1517,0.6870652139186859,0.7103011012077332,0.6778475046157837,-0.0232358872890472,0.0092177093029022,COAD|IDC|LUNG|PAAD,42.16479894528675
resnet50,COAD,14,61,51347,15651,2,7825,0.4543934315443039,0.2750401198863983,0.314787745475769,0.1793533116579055,0.1396056860685348,IDC|LUNG|PAAD|SKCM,6.561916932907348
resnet50,IDC,14,61,31462,35536,4,26652,0.5462446883320808,0.4144665896892547,0.3463664203882217,0.131778098642826,0.1998782679438591,COAD|LUNG|PAAD|SKCM,1.180474260843464
resnet50,LUNG,14,61,61792,5206,2,2603,0.617887556552887,0.5519554615020752,0.5534042418003082,0.0659320950508117,0.0644833147525787,COAD|IDC|PAAD|SKCM,23.738762965808682
resnet50,PAAD,14,61,59427,7571,3,5047,0.4580477774143219,0.4328547120094299,0.4818949500719706,0.0251930654048919,-0.0238471726576487,COAD|IDC|LUNG|SKCM,11.774717654051912
resnet50,SKCM,14,61,63964,3034,2,1517,0.5384208410978317,0.6595925092697144,0.5964057594537735,-0.1211716681718826,-0.0579849183559417,COAD|IDC|LUNG|PAAD,42.16479894528675
