arm,level,slide,donor,gene,n_spots,theta,theta_pred,se_iid,iid_lo,iid_hi,G,df_cluster,note,se_cluster,cluster_lo,cluster_hi
hoptimus0,slide,NCBI783,NCBI783,GATA3,2920,-0.45546480719706317,-0.5436659253645304,0.01757684611830888,-0.4843761462851314,-0.4265534681089949,1,0,one donor per slide: no donor degrees of freedom,,,
hoptimus0,slide,NCBI785,NCBI785,GATA3,3940,-0.7007098334486358,-0.8581369191498918,0.011729315699490787,-0.7200028409186021,-0.6814168259786695,1,0,one donor per slide: no donor degrees of freedom,,,
hoptimus0,slide,TENX95,IDC_shipped_patient_2,GATA3,7628,0.5257781039985859,0.5689211269684542,0.013734255008989102,0.5031872648335738,0.5483689431635981,1,0,one donor per slide: no donor degrees of freedom,,,
hoptimus0,slide,TENX99,IDC_shipped_patient_1,GATA3,20445,0.8720996598345037,0.9571183061334032,0.0074317472544025535,0.8598755234085129,0.8843237962604944,1,0,one donor per slide: no donor degrees of freedom,,,
hoptimus0,pooled_spot,ALL,ALL,GATA3,34933,0.37160424591531294,,0.005611581141473206,0.36237401632182825,0.3808344755087976,4,3,all donors labelled; U empty,0.23034441502505132,-0.1704798778154586,0.9136883696460845
hoptimus0,pooled_donor,ALL,ALL,GATA3,34933,0.5846822219682947,,0.0016380425932183303,0.5819878816677385,0.5873765622688508,4,3,all donors labelled; U empty,0.1091861907868989,0.3277274329851111,0.8416370109514782
uni_v2,slide,NCBI783,NCBI783,GATA3,2920,-0.45546480719706317,-0.3482518112475008,0.01757684611830888,-0.4843761462851314,-0.4265534681089949,1,0,one donor per slide: no donor degrees of freedom,,,
uni_v2,slide,NCBI785,NCBI785,GATA3,3940,-0.7007098334486358,-0.8050015972346732,0.011729315699490787,-0.7200028409186021,-0.6814168259786695,1,0,one donor per slide: no donor degrees of freedom,,,
uni_v2,slide,TENX95,IDC_shipped_patient_2,GATA3,7628,0.5257781039985859,0.5531876579246923,0.013734255008989102,0.5031872648335738,0.5483689431635981,1,0,one donor per slide: no donor degrees of freedom,,,
uni_v2,slide,TENX99,IDC_shipped_patient_1,GATA3,20445,0.8720996598345037,0.9263026870852845,0.0074317472544025535,0.8598755234085129,0.8843237962604944,1,0,one donor per slide: no donor degrees of freedom,,,
uni_v2,pooled_spot,ALL,ALL,GATA3,34933,0.37160424591531294,,0.005611581141473206,0.36237401632182825,0.3808344755087976,4,3,all donors labelled; U empty,0.23034441502505132,-0.1704798778154586,0.9136883696460845
uni_v2,pooled_donor,ALL,ALL,GATA3,34933,0.5846822219682947,,0.0016380425932183303,0.5819878816677385,0.5873765622688508,4,3,all donors labelled; U empty,0.1091861907868989,0.3277274329851111,0.8416370109514782
resnet50,slide,NCBI783,NCBI783,GATA3,2920,-0.45546480719706317,-0.5510063760631901,0.01757684611830888,-0.4843761462851314,-0.4265534681089949,1,0,one donor per slide: no donor degrees of freedom,,,
resnet50,slide,NCBI785,NCBI785,GATA3,3940,-0.7007098334486358,-0.5271963873048826,0.011729315699490787,-0.7200028409186021,-0.6814168259786695,1,0,one donor per slide: no donor degrees of freedom,,,
resnet50,slide,TENX95,IDC_shipped_patient_2,GATA3,7628,0.5257781039985859,0.47583551168347815,0.013734255008989102,0.5031872648335738,0.5483689431635981,1,0,one donor per slide: no donor degrees of freedom,,,
resnet50,slide,TENX99,IDC_shipped_patient_1,GATA3,20445,0.8720996598345037,0.7863511824371563,0.0074317472544025535,0.8598755234085129,0.8843237962604944,1,0,one donor per slide: no donor degrees of freedom,,,
resnet50,pooled_spot,ALL,ALL,GATA3,34933,0.37160424591531294,,0.005611581141473206,0.36237401632182825,0.3808344755087976,4,3,all donors labelled; U empty,0.23034441502505132,-0.1704798778154586,0.9136883696460845
resnet50,pooled_donor,ALL,ALL,GATA3,34933,0.5846822219682947,,0.0016380425932183303,0.5819878816677385,0.5873765622688508,4,3,all donors labelled; U empty,0.1091861907868989,0.3277274329851111,0.8416370109514782
permuted,slide,NCBI783,NCBI783,GATA3,2920,-0.45546480719706317,-0.7694550924341697,0.01757684611830888,-0.4843761462851314,-0.4265534681089949,1,0,one donor per slide: no donor degrees of freedom,,,
permuted,slide,NCBI785,NCBI785,GATA3,3940,-0.7007098334486358,-1.2019901123363705,0.011729315699490787,-0.7200028409186021,-0.6814168259786695,1,0,one donor per slide: no donor degrees of freedom,,,
permuted,slide,TENX95,IDC_shipped_patient_2,GATA3,7628,0.5257781039985859,0.010558523188075458,0.013734255008989102,0.5031872648335738,0.5483689431635981,1,0,one donor per slide: no donor degrees of freedom,,,
permuted,slide,TENX99,IDC_shipped_patient_1,GATA3,20445,0.8720996598345037,0.33969169085720674,0.0074317472544025535,0.8598755234085129,0.8843237962604944,1,0,one donor per slide: no donor degrees of freedom,,,
permuted,pooled_spot,ALL,ALL,GATA3,34933,0.37160424591531294,,0.005611581141473206,0.36237401632182825,0.3808344755087976,4,3,all donors labelled; U empty,0.23034441502505132,-0.1704798778154586,0.9136883696460845
permuted,pooled_donor,ALL,ALL,GATA3,34933,0.5846822219682947,,0.0016380425932183303,0.5819878816677385,0.5873765622688508,4,3,all donors labelled; U empty,0.1091861907868989,0.3277274329851111,0.8416370109514782
