check,variant,estimand,population,arm,statistic,value,tol,passed,detail,evaluable
1_U_empty_pp_equals_classical,CCRCC,theta3,spot,resnet50,max|theta_pp - theta_classical|,0.0,1e-10,True,"lambda_basis=U_empty, G_L=24, G_U=0",True
2_perfect_predictions_pp_equals_full,CCRCC,theta3,spot,identity,max|theta_pp - theta_full| at the identity lambda,1.1102230246251565e-16,1e-10,True,"lambda=0.753890 (population weight of U), n_L=6",True
2b_perfect_predictions_at_estimated_lambda,CCRCC,theta3,spot,identity,"max|theta_pp - theta_full| at the estimated lambda (reported, not a pass/fail identity)",0.07289897002983273,,True,"lambda_hat median 0.714677, identity lambda 0.753890, basis=spot_iid",True
3_one_spot_per_donor_cluster_eq_iid,CCRCC,theta3,spot,resnet50/classical,max|se_cluster - se_iid|/se_iid,3.97701560841702e-16,1e-09,True,"n_L=6, G=24, one spot per donor, 50/50 genes comparable",True
3_one_spot_per_donor_cluster_eq_iid,CCRCC,theta3,spot,resnet50/pp,max|se_cluster - se_iid|/se_iid,1.763995266094521e-15,1e-09,True,"n_L=6, G=24, one spot per donor, 50/50 genes comparable",True
1_U_empty_pp_equals_classical,CCRCC,theta3,donor,resnet50,max|theta_pp - theta_classical|,0.0,1e-10,True,"lambda_basis=U_empty, G_L=24, G_U=0",True
2_perfect_predictions_pp_equals_full,CCRCC,theta3,donor,identity,max|theta_pp - theta_full| at the identity lambda,5.551115123125783e-17,1e-10,True,"lambda=0.750000 (population weight of U), n_L=6",True
2b_perfect_predictions_at_estimated_lambda,CCRCC,theta3,donor,identity,"max|theta_pp - theta_full| at the estimated lambda (reported, not a pass/fail identity)",0.053083582076790675,,True,"lambda_hat median 0.643180, identity lambda 0.750000, basis=donor_pairs",True
3_one_spot_per_donor_cluster_eq_iid,CCRCC,theta3,donor,resnet50/classical,max|se_cluster - se_iid|/se_iid,0.0,1e-09,True,"n_L=6, G=24, one spot per donor, 50/50 genes comparable",True
3_one_spot_per_donor_cluster_eq_iid,CCRCC,theta3,donor,resnet50/pp,max|se_cluster - se_iid|/se_iid,0.0,1e-09,True,"n_L=6, G=24, one spot per donor, 50/50 genes comparable",True
1_U_empty_pp_equals_classical,CCRCC,theta2,spot,resnet50,max|theta_pp - theta_classical|,0.0,1e-10,True,"lambda_basis=U_empty, G_L=24, G_U=0",True
2_perfect_predictions_pp_equals_full,CCRCC,theta2,spot,identity,max|theta_pp - theta_full| at the identity lambda,3.3306690738754696e-16,1e-10,True,"lambda=0.753890 (population weight of U), n_L=6",True
