key,value,unit,source,note
donor_design_pearson_mean_over_genes_LYMPH_IDC_resnet50,-0.02841354626498918,pearson,b1_pred_quality__<enc>.csv,
donor_design_pearson_mean_over_genes_LYMPH_IDC_uni_v2,-0.004196752843388879,pearson,b1_pred_quality__<enc>.csv,
donor_design_pearson_mean_over_genes_PRAD_hoptimus0,0.3576742069014242,pearson,b1_pred_quality__<enc>.csv,
donor_design_pearson_mean_over_genes_PRAD_permuted,0.003329474543247458,pearson,b1_pred_quality__<enc>.csv,
donor_design_pearson_mean_over_genes_PRAD_resnet50,0.275976632058931,pearson,b1_pred_quality__<enc>.csv,
donor_design_pearson_mean_over_genes_PRAD_uni_v2,0.3352567970009816,pearson,b1_pred_quality__<enc>.csv,
se_ratio_cluster_over_iid_theta3_CCRCC_donor_nL6,44.923911995541275,ratio,b1_estimates.csv,"median over 50 genes, arm resnet50"
rho_implied_theta3_CCRCC_donor_nL6,0.7269521257077769,share,b1_estimates.csv,
n_eff_implied_theta3_CCRCC_donor_nL6,8.2538532895961,donor-equivalents,b1_estimates.csv,
m_bar_theta3_CCRCC_donor_nL6,2775.8333333333335,spots per donor,b1_estimates.csv,
se_ratio_cluster_over_iid_theta3_CCRCC_donor_nL8,67.55082583886369,ratio,b1_estimates.csv,"median over 50 genes, arm resnet50"
rho_implied_theta3_CCRCC_donor_nL8,1.1336909528253603,share,b1_estimates.csv,
n_eff_implied_theta3_CCRCC_donor_nL8,7.0565970547745955,donor-equivalents,b1_estimates.csv,
m_bar_theta3_CCRCC_donor_nL8,4025.125,spots per donor,b1_estimates.csv,
se_ratio_cluster_over_iid_theta3_CCRCC_donor_nL12,54.85978101717659,ratio,b1_estimates.csv,"median over 50 genes, arm resnet50"
rho_implied_theta3_CCRCC_donor_nL12,0.9283195111847592,share,b1_estimates.csv,
n_eff_implied_theta3_CCRCC_donor_nL12,12.926766128249085,donor-equivalents,b1_estimates.csv,
m_bar_theta3_CCRCC_donor_nL12,3241.9166666666665,spots per donor,b1_estimates.csv,
se_ratio_cluster_over_iid_theta3_CCRCC_spot_nL6,28.99215181322414,ratio,b1_estimates.csv,"median over 50 genes, arm resnet50"
rho_implied_theta3_CCRCC_spot_nL6,0.30255698104276635,share,b1_estimates.csv,
n_eff_implied_theta3_CCRCC_spot_nL6,19.831006407633524,donor-equivalents,b1_estimates.csv,
m_bar_theta3_CCRCC_spot_nL6,2775.8333333333335,spots per donor,b1_estimates.csv,
se_ratio_cluster_over_iid_theta3_CCRCC_spot_nL8,35.76695617229262,ratio,b1_estimates.csv,"median over 50 genes, arm resnet50"
rho_implied_theta3_CCRCC_spot_nL8,0.317652951110177,share,b1_estimates.csv,
n_eff_implied_theta3_CCRCC_spot_nL8,25.184720226667807,donor-equivalents,b1_estimates.csv,
m_bar_theta3_CCRCC_spot_nL8,4025.125,spots per donor,b1_estimates.csv,
se_ratio_cluster_over_iid_theta3_CCRCC_spot_nL12,31.99145080620186,ratio,b1_estimates.csv,"median over 50 genes, arm resnet50"
rho_implied_theta3_CCRCC_spot_nL12,0.31548341931917334,share,b1_estimates.csv,
