task,ours_b1,a0_h1_ours,r1b_intercept_f64,abs_diff_vs_a0,abs_diff_vs_r1b,tol,passed,encoder,a0_source
CCRCC,0.26767961216092945,0.2676796121609294,0.2676796121609294,5.551115123125783e-17,5.551115123125783e-17,1e-06,True,hoptimus0,results/round3/A0_smoke/h1_by_task__hoptimus0__h1.csv
IDC,0.5975835469075116,0.5975835469075116,0.5975835469075116,0.0,0.0,1e-06,True,hoptimus0,results/round3/A0_smoke/h1_by_task__hoptimus0__h1.csv
LYMPH_IDC,0.25919238116769855,0.2591923811676985,0.2591923811676985,5.551115123125783e-17,5.551115123125783e-17,1e-06,True,hoptimus0,results/round3/A0_smoke/h1_by_task__hoptimus0__h1.csv
PRAD,0.3851802341442762,0.3851802341442762,0.3851802341442762,0.0,0.0,1e-06,True,hoptimus0,results/round3/A0_smoke/h1_by_task__hoptimus0__h1.csv
