task,ours_b1,a0_h1_ours,r1b_intercept_f64,abs_diff_vs_a0,abs_diff_vs_r1b,tol,passed,encoder,a0_source
CCRCC,0.2638985452231452,0.2638985452233266,0.2638985452233265,1.8141044222375058e-13,1.8129941992128806e-13,1e-06,True,uni_v2,results/round3/A0_smoke/h1_by_task__uni_v2__h1.csv
IDC,0.5897248747050421,0.589724874705042,0.589724874705042,1.1102230246251565e-16,1.1102230246251565e-16,1e-06,True,uni_v2,results/round3/A0_smoke/h1_by_task__uni_v2__h1.csv
LYMPH_IDC,0.27270950894911405,0.2727095089501672,0.2727095089501672,1.0531575611594235e-12,1.0531575611594235e-12,1e-06,True,uni_v2,results/round3/A0_smoke/h1_by_task__uni_v2__h1.csv
PRAD,0.3570661227745653,0.3570661227859278,0.3570661227859278,1.1362522034374933e-11,1.1362522034374933e-11,1e-06,True,uni_v2,results/round3/A0_smoke/h1_by_task__uni_v2__h1.csv
