,dataset,resnet50_mean,resnet50_std
0,CCRCC,0.18143333333333334,0.04936505736742225
1,LUNG,0.5009,0.010199999999999987
2,LYMPH_IDC,0.22945,0.04930261149269885
3,HCC,0.0388,0.005499999999999998
