encoder,task,n_slides,chance,balanced_acc,off_diagonal_mass,slides,TENX95_off_diag,TENX95_onto_partner,TENX95_frac_onto_partner,TENX95_chance_share,TENX99_off_diag,TENX99_onto_partner,TENX99_frac_onto_partner,TENX99_chance_share,tenx_pair_mass,tenx_pair_frac_of_off_diag
hoptimus0,IDC,4,0.25,0.9972230473645426,17,NCBI783;NCBI785;TENX95;TENX99,5.0,5.0,1.0,0.3333333333333333,1.0,0.0,0.0,0.3333333333333333,5.0,0.29411764705882354
hoptimus0,PAAD,3,0.3333333333333333,0.9994791666666667,1,TENX116;TENX126;TENX140,,,,,,,,,,
hoptimus0,LUNG,2,0.5,0.9991909385113269,1,TENX118;TENX141,,,,,,,,,,
hoptimus0,SKCM,2,0.5,0.9909115263545643,9,TENX115;TENX117,,,,,,,,,,
