file,rows,rows_tagged,sha256_before,sha256_after,action
results/round3/A1_coverage/a1_by_slide__virchow__main.csv,3590,192,1a1b8e6dd1c347859f287bea656cc2dd40346cadd7dceee499bea31c7feeebc7,8a8c08132c95a1c0e6a5663da616e66169c7b48f366616cdf8e9d378bd5820df,tagged
results/round3/A1_coverage/a1_by_slide__virchow__slideout.csv,186,24,da439df3b212dbaa8e6128f88dc82bf9b40088682c0e815c069a53acd3725bec,f8a03ecbf37f832daf80981191e213525291e88c7f683c896f5bc455449a11be,tagged
results/round3/A1_coverage/a1_by_task__conch_v15__main.csv,66,6,8afc27c7b5c27f65bd6256802709d75c3adc6eecfe5f7906d9b7aa0cf0ec0c58,fb62a388e4c1fb5ac64bb0feb05df6a76abb5a931eea0503b36df7c80002a8f0,tagged
results/round3/A1_coverage/a1_by_task__conch_v15__slideout.csv,6,2,f49c7d9017d93713c18992f27bfdb085e9269625a5881d436ee20365b4bfd2aa,6a2042c638c51cf3c9a3c1a92996ff3de1b8d3dc5015073b11718bea2ee88756,tagged
results/round3/A1_coverage/a1_by_task__conch_v1__main.csv,66,6,48fbe689821e6615143266c539e312c0d01d5fa9d91720112275f9d42c584cc9,f9905af968e71d62d7bcb9b4340e5a75e9c8bbe7319a532f3a28a01357a471e2,tagged
results/round3/A1_coverage/a1_by_task__conch_v1__slideout.csv,6,2,e05cb6812695dc22568359fce700a37d5d805d713b9058f106c06a2a63389371,6a4537393da07b92483792f7649cd273f38f14ffbe51713d7d6e0b87ecf4a1a4,tagged
results/round3/A1_coverage/a1_by_task__ctranspath__main.csv,66,6,f742192b48370833825d3bb67b28ed2c9fb8b1e93720960f099c8089032263b8,5a39a218dc9f99fa8b6ba1e4edf80cc12000ef4689ebf1edafd714afa40e53a3,tagged
results/round3/A1_coverage/a1_by_task__ctranspath__slideout.csv,6,2,459cd0eece1816111e78126ac2fe4e3ff0a2930620e860f23cbd2348790faa4d,abe8cdde553d632d54ace1d399be20cdbb29e0637fa8fe0f96bd83cd5302007a,tagged
results/round3/A1_coverage/a1_by_task__gigapath__main.csv,66,6,2982311b80696e917d49142f58927e8ea7518801e147dcbbadf6cb9211e3d351,a74996a4ac010f9692cead945e2a0bc27c2464e8c881ef62702c68aefb8e6cf7,tagged
results/round3/A1_coverage/a1_by_task__gigapath__slideout.csv,6,2,ac6c01f4f0dbb911bbb61ecb405983843b0047dc995fca1b10ee6b53ce2d0e28,2574f16dd9bc36b1d4dee22d2fe868f0b3b92de674e489ab066493a03cf0614a,tagged
results/round3/A1_coverage/a1_by_task__hoptimus0__main.csv,66,6,3872d9dee3e89b3ce1cd0bb4998657d5560104130d794f3dd70a7d72037a9ae1,3a7266c66c464ddc5d5c9d7b5888a08cda4c4641de966edd852cf57e6f7ea712,tagged
results/round3/A1_coverage/a1_by_task__hoptimus0__slideout.csv,6,2,08457b2083cee011093e2a43462a6a93f394a6801eed44e98c76d2d3a1b19f37,85b5fddeae336b0bd792708b13ec9572bfd11f2286e3fa2acd0fd1126739149d,tagged
results/round3/A1_coverage/a1_by_task__hoptimus1__main.csv,66,6,d080894f786653de0e17dcab8663a65b092b2c94caf628f720d5dd6113623bd9,260c9dc99c3f4725d22bd9382b279e3103496e12a25a9a3a999a0ad6ff089479,tagged
results/round3/A1_coverage/a1_by_task__hoptimus1__slideout.csv,6,2,d51eb39b3cd2237da96c0e13f844e1eae118403d1a9c68b43bb7c0119b67522a,988964cfe5a3d3a3d1c3bab5bb8c5bf85595fd9e9417ff7485e8554f713b3931,tagged
results/round3/A1_coverage/a1_by_task__phikon__main.csv,66,6,de75e2cd9666c3e48f203e74d1ff22e9f95c4e63d9121ccde0075468ac5111d8,4af91ac1d99c631250aac742b3eed35c19c87590a8a82ebcb57a5633428786ce,tagged
results/round3/A1_coverage/a1_by_task__phikon__slideout.csv,6,2,59163c50141582efff07ea55e5a7823037b8187df4ac8ea732335dc0507b6a69,dd1760ceaffc8a94c3dc506431ab09c937160c7bcc8436a2f887a0708984ff1c,tagged
results/round3/A1_coverage/a1_by_task__resnet50__main.csv,66,6,2ed41802d5b913fed4768d135d7fea623c1608c275f9284800312140afdded43,a83164ddc7830f844f0fc8225b7c9a75d4f825fdb298832dc1464147b6565d0a,tagged
results/round3/A1_coverage/a1_by_task__resnet50__slideout.csv,6,2,936e2bfd2c48698b7036675eb09014b3e5ab4e42339d3489d1324d6aeedd7af4,9578a57ed427a6b12aa8a224764c706d85f974ad679b4de64f1e892e717cdb2f,tagged
results/round3/A1_coverage/a1_by_task__uni_v1__main.csv,66,6,e1aeb946ac401a28dfaff16d2d515a8b97d7d8219ff113bd53d7de55cb53af5f,8bfa0d2e95a703d885bc4d7b4256d8e8c0b13b6375539f4a3ad1c8728313ae6c,tagged
results/round3/A1_coverage/a1_by_task__uni_v1__slideout.csv,6,2,7e499a78f18d6f6d99fc3f81f55335a879672404e493086d25da949ab7631850,7b083862b8269e06eead4832fb27bf44e582978300db2a391c845f92762d0e1d,tagged
results/round3/A1_coverage/a1_by_task__uni_v2__main.csv,66,6,3742ae752b8aa03b07e8c4e5db45663810e7a7027b826f3cf8c097a652b76dd6,24e66b3091c32fc11bc55ee7f8d9535737d131deb4d23bc22f2391a1ed835872,tagged
results/round3/A1_coverage/a1_by_task__uni_v2__slideout.csv,6,2,9bd22f8c700a98698232548c53a93536fc6fe1f796172078b7d333d599607e83,40ed476095df4cf2e1ccd151bfdf277934aa4942cb40f590b00840f631d42e94,tagged
results/round3/A1_coverage/a1_by_task__virchow2__main.csv,66,6,c6c1d01969065aceacd19fafe39ade5b941cea9843b849c0bac2d4d131d26336,27d4f2b5dce7429e7f3a19afd92f6547f99ee1a52759442a1c85a1a18ed0cb29,tagged
results/round3/A1_coverage/a1_by_task__virchow2__slideout.csv,6,2,607180bd66d99fc82ccb4692e468eed3f44d4784b71465aa6578d2c53f643e65,c339950c4939e7e7161f6bef82c0babd65207904b826d89aa029f165e3ade639,tagged
results/round3/A1_coverage/a1_by_task__virchow__main.csv,66,6,7b6f18ea5db549f02d50134f5f063e74573b2f5204a28922dca565070bc00ead,d71a492994e2117ce4038861964f167db8e6003cbb2421c127d4a9533a58c16a,tagged
results/round3/A1_coverage/a1_by_task__virchow__slideout.csv,6,2,12d99a9774227bbbdfd35c417b5cfa7bea4baef7584386c5670832a106027ce6,cae460a2717093356074b490a5cd3769923fb2c823bf0772543d160f0985e6ea,tagged
results/round3/A1_coverage/a1_cal_dispersion__conch_v15__main.csv,236,22,bbd9f19c11c3a12dbd73c8d014032b40babd878b8fbb5477f0b5b86b6f2fc66c,68de993c932c95369e5699ea1f0de433da5746224822bc52e7efb50d35a91890,tagged
results/round3/A1_coverage/a1_cal_dispersion__conch_v15__slideout.csv,62,8,98f8b6e931b82a2499e067b2082692fef56a985af21c9ce2e35e4249ecf15efe,e202413948d0476e08271b90e1809d7ba8e2d0a1cb1bf8db00e5a618552de162,tagged
results/round3/A1_coverage/a1_cal_dispersion__conch_v1__main.csv,236,22,6ef8ec881463e4ac0df64435d4e0f185828f5590394bd9e8a9ea31c69a37d310,9cdbf8f9b6fd834ffad3c2384a8a949f95ad215d16e2943b153b2b82310fe6fc,tagged
results/round3/A1_coverage/a1_cal_dispersion__conch_v1__slideout.csv,62,8,337b6b8bab148bc93b022a30ce107bf222dedcc3abdd85a435a3509693da302d,b9150973158083cb3de001a9dc3b8d06d620d129f877806db2e91f74ce0ca2bf,tagged
results/round3/A1_coverage/a1_cal_dispersion__ctranspath__main.csv,236,22,f9ed47c33a6421783e3d9fa123f7cd5d47a747387f3bffe56e012ac90df2f2ba,511b12b210cb01a5565593087c485581f9c277e74e86c8392594aed4105b288d,tagged
results/round3/A1_coverage/a1_cal_dispersion__ctranspath__slideout.csv,62,8,208f4e749d6f44a64374c65a2d493c54010b46a201f492d429b5cd4fc9039122,f4b7415203986d26698ead20f28c4fcd7bcaebb91edb2b8587ca02ac00d7cccb,tagged
results/round3/A1_coverage/a1_cal_dispersion__gigapath__main.csv,236,22,5d2b4a9a5309a956bcbd2ca2f2b007c31eb33aa15d9f325a7196fe16bef54960,b6ec45c6f8272d0ee88c21c444a734b0d578fbd74f2aca730b8d2fd7aebc860d,tagged
