quantity,before,after
A3_report_numbers.csv rows,388,388
columns,"name,value,rule,source","name,value,rule,source"
"cells differing (string compare, all columns)",0,0
max abs difference over numeric value column,0.0,0.0
value-identical,True,True
byte-identical,True,True
sha256,18fad2058b4262bd6919eef2c286162d415cd81d2f03969403a5df8f9ce2bf13,18fad2058b4262bd6919eef2c286162d415cd81d2f03969403a5df8f9ce2bf13
