,dataset,conch_v15_mean,conch_v15_std
0,IDC,0.5487,0.08118167896760943
1,PRAD,0.37,0.016199999999999992
2,PAAD,0.41503333333333337,0.03635100487683326
3,SKCM,0.43855,0.009550000000000003
4,COAD,0.24305000000000002,0.03745000000000001
5,READ,0.1536,0.04530000000000001
6,CCRCC,0.21235000000000004,0.033456177805202644
7,LUNG,0.4903,0.03560000000000002
8,LYMPH_IDC,0.2548,0.048207416441871265
9,HCC,0.05005,0.014349999999999998
